rec,verdict,reason_code,note,doi,title
322,MAYBE,,보행자 대상 소음영향 추정·행태 아웃컴 불확실,10.3390/app142311212,"Estimation of the Occurrence and Significance of Noise Effects on Pedestrians Using Acoustic Variables Related to Sound Energy in Urban Environments"
323,EXCLUDE,E4,장소 기능별 사운드스케이프 선호만 다룸,10.2478/mgrsd-2018-0027,"Urban soundscape preferences in relation to the function of a place: Case studies in Warsaw"
324,MAYBE,,음향 보행신호 횡단상황·아웃컴은 안전감·선호 중심,10.1080/09638288.2023.2200260,"Evaluation of three pedestrian phasing with audible pedestrian signals configurations in Quebec City (Canada): an exploratory study of blind or visually impaired persons’ sense of safety, preferences, and expectations"
325,EXCLUDE,E4,표정 코딩 기반 정서반응만 측정,10.1016/j.scs.2025.106918,"Characterizing urban soundscapes via facial action coding system"
326,EXCLUDE,E4,공원 방문객 주관적 웰빙만 아웃컴,10.47836/pjssh.31.4.14,"Influence of Perceived Soundscape and Sound Environment on Subjective Well-being of Park Visitors"
327,MAYBE,,카페 테라스 음환경 평가·이용행태 포함 가능,10.1177/09574565221114660,"Evaluation of the soundscapes through the cafe terraces before and after the COVID-19 lockdown in coastal cities in Algeria"
328,MAYBE,,도시 음경 사회생태 관계·인간 행태 여부 불명,10.1016/j.baae.2025.12.007,"Social-ecological relationships on biodiverse and health-promoting city soundscapes"
329,MAYBE,,녹지 음경 다양성·이용활동 요인 포함 가능,10.1016/j.ufug.2025.128929,"Soundscape diversity in urban green spaces: Spatial-temporal variations, influencing factors and optimization strategies"
330,EXCLUDE,E3,녹지이용 만족척도 개발·음환경 변수 없음,10.1007/s11205-025-03536-7,"Measuring the Psychological Benefits of Green Space Usage: Development and Validation of the Green Space Use Satisfaction Scale"
331,MAYBE,,공원 음경 선호·문화서비스 이용 포함 가능,10.3390/buildings15132360,"Soundscape Preferences and Cultural Ecosystem Services in the Grand Canal National Cultural Park: A Case Study of Tongzhou Forest Park"
332,EXCLUDE,E4,수로 교통소음 예측모델·행태 아웃컴 없음,10.1016/j.envres.2020.109437,"Evaluation of urban inland waterway traffic noise using a modified Nord 2000 prediction model"
333,MAYBE,,ISO 음환경 분류 공원 적용·행태 포함 불명,10.1080/08941920.2022.2085350,"Toward Healthier Parks and People through Integrated Soundscape Research: Applying the International Organization for Standardization Acoustic Environment Taxonomy across Contexts"
334,MAYBE,,녹지 이용행태 측정·음환경 변수 포함 불명,10.1080/23748834.2024.2348296,"An examination of urban green spaces usage behaviours and self-perceived mental health benefits: findings from two urban green neighbourhoods in Pakistan"
335,MAYBE,,도시 보행 중 증강 발소리 시스템 평가,10.1515/icom-2022-0020,"EnvironZen: Immersive Soundscapes via Augmented Footstep Sounds in Urban Areas"
336,EXCLUDE,E4,도심항공교통 수용 의도만 아웃컴,10.1016/j.tra.2025.104856,"Social-psychological determinants and nonlinear thresholds: behavioral insights into urban air mobility adoption as an airport shuttle"
337,MAYBE,,차로 축소로 주행속도·음환경 동시 변화 측정,10.3390/buildings12010031,"Effect of Lane Narrowing Implemented on an Urban Dual Carriageway on Speed Reduction and Acoustic Environment"
338,EXCLUDE,E3,공원 방문의도 분석·음환경 변수 없음,10.3389/fpsyg.2025.1647976,"Social media-driven behavioral mechanisms for sustainable park governance: a analysis of visitation intentions"
339,MAYBE,,역사도시 음경 특성 분석·행태 포함 불명,10.3390/buildings13123091,"Assessing the Soundscape Characteristics of Historical Urban Environments: An Analysis of the Historical Erbil Citadel and Its Environments"
340,EXCLUDE,E4,시각환경이 음경 지각에 미치는 영향만,10.1016/j.buildenv.2025.113903,"Impact of visual environment on soundscape in urban commercial spaces"
341,EXCLUDE,E3,시각품질·체류의향 연구·음환경 변수 없음,10.3390/land14081631,"Effect of Visual Quality of Street Space on Tourists’ Stay Willingness in Traditional Villages—Empirical Evidence from Huangcun Village Based on Street View Images and Machine Learning"
342,MAYBE,,사원 음경·냄새경관 유산·참배활동 포함 가능,10.3390/su17167564,"Sensory Heritage Is Vital for Sustainable Cities: A Case Study of Soundscape and Smellscape at Wong Tai Sin"
343,MAYBE,,여성 보행행태 영향요인·소음 포함 여부 불명,10.1016/j.cities.2025.106467,"Women's walking behavior: Investigating contributing factors in urban contexts"
344,EXCLUDE,E4,수목 혼식 소음저감 측정·행태 없음,10.3390/buildings15234266,"Effect of Coniferous Tree–Shrub Mixtures on Traffic Noise Reduction in Public Spaces"
