rec,verdict,reason_code,note,doi,title
108,MAYBE,,"행태맵 기반 공간점유 관찰, 음환경 변수 확인 필요",10.1057/udi.2010.20,"Analysis of patterns of spatial occupancy in urban open space using behaviour maps and GIS"
109,EXCLUDE,E4,"사운드스케이프 인지·범주화만, 행태 아웃컴 없음",10.1016/j.landurbplan.2021.104241,"Urban soundscape categorization based on individual recognition, perception, and assessment of sound environments"
110,EXCLUDE,E4,"교통소음 노출·건강영향 정량화, 행태 없음",10.1186/s12940-015-0009-8,"Quantification of the exposure and effects of road traffic noise in a dense Asian city: a comparison with western cities"
111,EXCLUDE,E4,"주거 사운드스케이프 만족도 지각만",10.1016/j.landurbplan.2021.104351,"Comprehensive audio-visual environmental effects on residential soundscapes and satisfaction: Partial least square structural equation modeling approach"
112,MAYBE,,"PPGIS 경관가치·사운드스케이프 매핑, 이용행태 확인 필요",10.1016/j.landurbplan.2022.104617,"Developing a Multi-sensory Public Participation GIS (MSPPGIS) method for integrating landscape values and soundscapes of urban green infrastructure"
113,EXCLUDE,E4,"식생·교통소음의 공원 음환경 영향만",10.1016/j.apgeog.2018.02.017,"The influence of vegetation and surrounding traffic noise parameters on the sound environment of urban parks"
114,EXCLUDE,E4,"고층주거 교통소음 노출 측정만",10.1007/s11356-019-04640-1,"Traffic noise exposure of high-rise residential buildings in urban area"
115,EXCLUDE,E4,"자연음 쾌적성·적합성 지각 평가만",10.1016/j.scs.2020.102475,"Effects of contexts in urban residential areas on the pleasantness and appropriateness of natural sounds"
116,EXCLUDE,E4,"혼합현실 사운드스케이프 평가, 지각만",10.1016/j.buildenv.2021.107688,"A mixed-reality approach to soundscape assessment of outdoor urban environments augmented with natural sounds"
117,EXCLUDE,E3,"공원 쓰레기투기 행동, 음환경 변수 없음",10.1016/j.ijgeop.2022.11.002,"Explaining littering prevention among park visitors using the Theory of Planned Behavior and Norm Activation Model"
118,EXCLUDE,E4,"교통소음 성가심·조용면 노출, 행태 없음",10.3390/ijerph10062258,"Road Traffic Noise and Annoyance: A Quantification of the Effect of Quiet Side Exposure at Dwellings"
119,EXCLUDE,E4,"항공기소음 마스킹 음질 지각만",10.1121/1.5079310,"Improving the soundscape quality of urban areas exposed to aircraft noise by adding moving water and vegetation"
