rec,verdict,reason_code,behavior_hint,note,doi,title
1,RETRIEVE,,역방향: 군중밀도→음환경,"보행가로 군중밀도가 음환경 형성, 역방향 구조 적합",10.1016/j.scitotenv.2014.12.060,"The influence of crowd density on the sound environment of commercial pedestrian streets"
7,RETRIEVE,,공원 체류시간,"공원 체류길이별 사운드스케이프 지각, 체류 행태 변수 존재",10.1016/j.jort.2023.100728,"Do soundscape perceptions vary over length of stay within urban parks?"
10,UNCERTAIN,,,"초록 미확보, 보행자 대상이나 결과변수 지각/행태 불명",10.1016/j.buildenv.2025.113572,"Percentile-level examination of ten acoustic indicators pinpoints urban noise factors affecting noise effects on pedestrians"
17,UNCERTAIN,,,"초록 미확보, 음향쾌적성 연구의 이용행태 병기 여부 불명",10.1016/j.apacoust.2004.07.011,"Acoustic comfort evaluation in urban open public spaces"
18,UNCERTAIN,,,"초록 대신 학위논문 서지만 확보, 행태 측정 여부 불명",10.1177/001391656900100104,"The Sonic Environment of Cities"
21,RETRIEVE,,자기보고 광장 이용선택,"음선호가 광장 이용 선택에 영향, 자기보고 이용행태 포함",10.1080/13574800500062395,"Soundscape and Sound Preferences in Urban Squares: A Case Study in Sheffield"
25,RETRIEVE,,도움행동(사회적 상호작용),"현장실험 포함, 소음수준 높을수록 도움행동 감소",10.1037/0022-3514.32.4.571,"Environmental noise level as a determinant of helping behavior."
34,UNCERTAIN,,,"초록 미확보, 음환경 시공간 변동의 활동·용도 연계 불명",10.1016/j.landurbplan.2013.03.008,"Spatiotemporal variability of soundscapes in a multiple functional urban area"
40,UNCERTAIN,,,"초록 미확보, 공원 이용경험 연구의 음환경 변수 불명",10.1016/j.landurbplan.2015.11.002,"Staying in touch with nature and well-being in different income groups: The experience of urban parks in Bogotá"
42,EXCLUDE,E3,,"공원이용 관찰은 있으나 예측변수는 근린사회·도시형태, 음환경 없음",10.1177/0013916512470134,"Park Use Among Youth and Adults"
61,EXCLUDE,E4,,"결과가 vibrancy 지각 점수뿐, 관찰가능 행태 아웃컴 없음",10.3390/ijerph15081712,"Towards an Urban Vibrancy Model: A Soundscape Approach"
63,UNCERTAIN,,,"초록 미확보, 공원방문 컨조인트의 음환경 속성 포함 불명",10.1016/j.landurbplan.2016.12.004,"Park attributes that encourage park visitation among adolescents: A conjoint analysis"
67,EXCLUDE,E4,,"보행은 과제일 뿐 결과는 EEG 정서지표, 행태 아웃컴 없음",10.1007/s11524-017-0191-9,"The Aging Urban Brain: Analyzing Outdoor Physical Activity Using the Emotiv Affectiv Suite in Older People"
76,EXCLUDE,E3,,"보행행태는 측정하나 환경변수에 음환경 전혀 없음",10.1186/1476-072x-13-28,"How do changes to the built environment influence walking behaviors? a longitudinal study within a university campus in Hong Kong"
80,RETRIEVE,,중정 이용·옥외활동 방해,"주거단지 중정 이용도와 소음방해 옥외활동 보고 포함",10.3390/ijerph7093359,"Attractive ""Quiet"" Courtyards: A Potential Modifier of Urban Residents' Responses to Road Traffic Noise?"
88,EXCLUDE,E3,,"가로경관 지각·보행잠재력 추정뿐, 음환경 변수와 실측 행태 없음",10.1016/j.cities.2023.104472,"Measuring streetscape perceptions from driveways and sidewalks to inform pedestrian-oriented street renewal in Düsseldorf"
90,RETRIEVE,,보행속도(음악 템포),"실제 도시 경로에서 음악 템포가 보행속도 변화시킴",10.3389/fpsyg.2014.01361,"Tempo and walking speed with music in the urban context"
92,EXCLUDE,E4,,"경로생성 시스템과 유용성 설문뿐, 실제 행태 측정 없음",10.3390/s18113794,"A System for Generating Customized Pleasant Pedestrian Routes Based on OpenStreetMap Data"
98,EXCLUDE,E4,,"자전거도로 이용자 대상이나 결과는 음지각·경험 평가뿐",10.3390/ijerph15061118,"Influence of Personal Factors on Sound Perception and Overall Experience in Urban Green Areas. A Case Study of a Cycling Path Highly Exposed to Road Traffic Noise"
100,UNCERTAIN,,,"초록 미확보, 음환경 변수와 행태 유형 모두 확인 불가",10.1016/j.jort.2023.100621,"National forest park visitors’ connectedness to nature and pro-environmental behavior: The effects of cultural ecosystem service, place and event attachment"
105,EXCLUDE,E3,,"보행속도 관찰이나 설명변수는 도시규모·혼잡, 음환경 없음",10.1177/0013916589212001,"The Pace of Pedestrian Flows in Cities"
106,UNCERTAIN,,,"초록 미확보, 발소리 평가 연구로 행태 측정 여부 불명",10.1016/j.scs.2016.03.002,"Differences in soundscape appreciation of walking sounds from different footpath materials in urban parks"
108,UNCERTAIN,,,"초록 미확보, 행태맵 관찰은 있으나 음환경 변수 불명",10.1057/udi.2010.20,"Analysis of patterns of spatial occupancy in urban open space using behaviour maps and GIS"
112,EXCLUDE,E4,,"경관가치·사운드 핫스팟 매핑뿐, 방문·활동 등 행태 없음",10.1016/j.landurbplan.2022.104617,"Developing a Multi-sensory Public Participation GIS (MSPPGIS) method for integrating landscape values and soundscapes of urban green infrastructure"
123,RETRIEVE,,역방향: 활동변화→사운드스케이프,"봉쇄기 인간활동 변화가 음원구성 변화시킴, 활동지표 전문 확인",10.1121/10.0008928,"Investigating urban soundscapes of the COVID-19 lockdown: A predictive soundscape modeling approach"
125,UNCERTAIN,,,"초록 미확보, 활동 매개변수와 음환경 포함 여부 불명",10.1016/j.jtrangeo.2022.103435,"Residential and workplace neighborhood environments and life satisfaction: Exploring chain-mediation effects of activity and place satisfaction"
126,RETRIEVE,,보행자 소음영향 반응,"가로 보행자 현장설문, 소음영향 항목에 활동방해 포함 가능",10.1016/j.scitotenv.2022.159406,"Effects of noise on pedestrians in urban environments where road traffic is the main source of sound"
128,RETRIEVE,,자전거 이용행태(자기보고),"자전거 이용행태 측정, 21개 지각항목 중 소음 포함 확인 필요",10.1016/j.tbs.2021.05.006,"How does the individual perception of local conditions affect cycling? An analysis of the impact of built and non-built environment factors on cycling behaviour and attitudes in an urban setting"
137,RETRIEVE,,역방향: 광장무 참여·활동,"가로 광장무 활동이 음환경 형성, 참여빈도 측정",10.3390/ijerph16050840,"An Investigation of Soundscape Factors Influencing Perceptions of Square Dancing in Urban Streets: A Case Study in a County Level City in China"
140,EXCLUDE,E3,,"공유자전거 이용량 실측이나 가로경관 지각뿐 음환경 변수 없음",10.1016/j.scs.2024.105525,"Beyond built environment: Unveiling the interplay of streetscape perceptions and cycling behavior"
