rec,verdict,reason_code,behavior_hint,note,doi,title
142,UNCERTAIN,,,"초록 미확보, 사운드스케이프 경제가치 연구, 방문행태 사용 여부 불명",10.1016/j.ufug.2017.08.018,"Acoustic and economic valuation of soundscape: An application to the ‘Retiro’ Urban Forest Park"
143,EXCLUDE,E3,,"교통·대기오염 노출 시간이용 연구, 음환경 변수 없음",10.1007/s11869-017-0532-6,"Evaluation of daily time spent in transportation and traffic-influenced microenvironments by urban Canadians"
144,EXCLUDE,E3,,"러닝 강도 예측변수 전부 시각·토지이용, 음향 변수 없음",10.1177/23998083231185589,"The effects of street environment features on road running: An analysis using crowdsourced fitness tracker data and machine learning"
150,EXCLUDE,E3,,"방문객 활동·선호 변화 설문, 음환경 변수 없음",10.1111/1477-8947.12025,"Improving visitor management approaches for the changing preferences and behaviours of country park visitors in<scp>H</scp>ong<scp>K</scp>ong"
151,EXCLUDE,E3,,"초록 미확보, 제목상 노출=시각환경, 음환경 변수 없음",10.1016/j.ufug.2024.128291,"How does visual environment affect outdoor jogging behavior? Insights from large-scale city images and GPS trajectories"
153,UNCERTAIN,,,"초록 미확보, 소음지각이 결과, 행태 아웃컴 여부 불명",10.1016/j.compenvurbsys.2024.102204,"Machine-based understanding of noise perception in urban environments using mobility-based sensing data"
156,EXCLUDE,E3,,"수변·시각 환경 변수만 사용, 음환경 변수 없음",10.1016/j.scs.2024.105929,"Healthy urban blue space design: Exploring the associations of blue space quality with recreational running and cycling using crowdsourced data"
166,RETRIEVE,,보행속도 실측,"자연도 높은 구간 소음 짜증 낮고 보행속도 느림",10.3390/land10050459,"Environmental Features Influence Walking Speed: The Effect of Urban Greenery"
168,EXCLUDE,E3,,"녹지 속성(수변·접근성·식생) 중심, 음환경 변수 없음",10.3389/fevo.2022.804443,"Changes in Green Space Use During a COVID-19 Lockdown Are Associated With Both Individual and Green Space Characteristics"
170,EXCLUDE,E4,,"전문가 평가 보행성 지수 산출, 실제 보행 아웃컴 없음",10.3390/su141610306,"Walkable Cities: Using the Smart Pedestrian Net Method for Evaluating a Pedestrian Network in Guimarães, Portugal"
171,UNCERTAIN,,,"초록 미확보, 인간활동음 지수, 행태 측정 여부 불명",10.1016/j.scitotenv.2021.149869,"Effects of a human sound-based index on the soundscapes of urban open spaces"
175,RETRIEVE,,공원 방문빈도,"공원 소리수준 인상 변수 포함, 방문빈도 예측 모형",10.3390/ijerph15040815,"How Urban Parks Offer Opportunities for Physical Activity in Dublin, Ireland"
180,EXCLUDE,E3,,"공원 이용 기록·시각화 방법론, 음환경 변수 없음",10.1016/j.compenvurbsys.2010.05.007,"Digital representation of park use and visual analysis of visitor activities"
182,UNCERTAIN,,,"초록 미확보, 가로환경 변수에 소음 포함 여부 불명",10.1016/j.jtrangeo.2025.104179,"Deciphering urban cycling: Analyzing the nonlinear impact of street environments on cycling volume using crowdsourced tracker data and machine learning"
184,RETRIEVE,,동반자 유무·사회적 동반,"초록 미확보, 동반 상황→사운드스케이프 평가 역방향 후보",10.1016/j.scs.2021.102860,"The influence of companion factors on soundscape evaluations in urban public spaces"
