rec,verdict,reason_code,note,doi,title
215,MAYBE,,"역사지구 사운드스케이프 설계 · 행태 결과 불명",10.1186/s40494-024-01515-8,"Enhancing authenticity in historic districts via soundscape design"
216,MAYBE,,"공공공간 보행·체류 현장실험 · 음환경 여부 불명",10.1177/0013916520953147,"The Behavioral Response to Increased Pedestrian and Staying Activity in Public Space: A Field Experiment"
217,MAYBE,,"노인 보행활동·근린환경 · 소음 변수 포함 가능",10.3390/su142113927,"The Impact of the Neighborhood Built Environment on the Walking Activity of Older Adults: A Multi-Scale Spatial Heterogeneity Analysis"
218,EXCLUDE,E4,"공간·시각·후각→사운드스케이프 · 행태 없음",10.3390/f14010010,"The Effects of Spatial Characteristics and Visual and Smell Environments on the Soundscape of Waterfront Space in Mountainous Cities"
219,MAYBE,,"코로나기 자전거 이용 행태 · 음환경 변수 불명",10.1016/j.jtrangeo.2022.103510,"The role of neighbourhood design in cycling activity during COVID-19: An exploration of the Melbourne experience"
220,CANDIDATE,,"다감각 지각→가로 공공활동 실증 연구",10.3390/land14010050,"The Influence of Multi-Sensory Perception on Public Activity in Urban Street Spaces: An Empirical Study Grounded in Landsenses Ecology"
221,MAYBE,,"집합적 보행행태·건조환경 · 음환경 포함 불명",10.1016/j.apgeog.2024.103274,"Association between built environment factors and collective walking behavior in peri-urban area: Evidence from Chengdu"
222,EXCLUDE,E4,"보행 중 사운드스케이프 쾌적성 추정 · 행태 결과 없음",10.3390/app7020144,"Global and Continuous Pleasantness Estimation of the Soundscape Perceived during Walking Trips through Urban Environments"
223,MAYBE,,"도시녹지 자연관찰 활동 · 음환경 관련성 불명",10.1016/j.jort.2019.100227,"Perceived importance of and satisfaction with nature observation activities in urban green areas"
224,EXCLUDE,E4,"소음지도 크라우드소싱 측정 · 행태 없음",10.3390/urbansci8010013,"Investigating Noise Mapping in Cities to Associate Noise Levels with Sources of Noise Using Crowdsourcing Applications"
225,EXCLUDE,E4,"스트레스 완화(심리·생리)만 · 철회 논문",10.3390/land10121323,"RETRACTED: The Effects of Soundscapes in Relieving Stress in an Urban Park"
226,MAYBE,,"도시녹지 여가활동·정신건강 · 음환경 불명",10.34133/ehs.0199,"Effective Recreational Activities in Urban Green Spaces for Mental Health of Scientific Researchers"
227,EXCLUDE,E4,"식생→사운드스케이프 · 행태 결과 없음",10.1016/j.buildenv.2019.03.046,"Effects of vegetation on soundscape of an urban religious precinct: Case study of Myeong-dong cathedral in Seoul"
228,EXCLUDE,E4,"산림공원 사운드스케이프 선호 지각만",10.3390/su142316132,"Soundscape Perception Preference in an Urban Forest Park: Evidence from Moon Island Forest Park in Lu’an City"
229,EXCLUDE,E4,"사운드스케이프 질·회복성 평가만",10.1016/j.buildenv.2024.112106,"Automating urban soundscape enhancements with AI: In-situ assessment of quality and restorativeness in traffic-exposed residential areas"
230,EXCLUDE,E4,"열·음환경→심리적 회복만",10.1016/j.buildenv.2025.113269,"Seeking comfort in the urban heat: Unraveling the effects of thermal-acoustic environments on psychological restoration in urban greenways"
231,MAYBE,,"지중해 도시 음다양성 · 행태 포함 여부 불명",10.3390/heritage4020039,"Exploring the Effects of “Smart City” in the Inner-City Fabric of the Mediterranean Metropolis: Towards a Bio-Cultural Sonic Diversity?"
232,EXCLUDE,E4,"음향지표 기반 사운드스케이프 지각 평가만",10.3390/f14071435,"Evaluation of Soundscape Perception in Urban Forests Using Acoustic Indices: A Case Study in Beijing"
233,MAYBE,,"공원 특성·신체활동 수준 · 음환경 포함 가능",10.1016/j.jum.2024.05.004,"Spatiotemporal association of urban park characteristics and physical activity levels based on GTWR: A serial cross-sectional observational study"
234,EXCLUDE,E4,"교통소음 노출 추세분석 · 행태 없음",10.15244/pjoes/31226,"Road Traffic Noise Exposure in the City of Novi Sad: Trend Analysis and Possible Solutions"
235,EXCLUDE,E4,"캠퍼스 사운드스케이프→정서적 웰빙만",10.3390/buildings15010079,"The Impact of Campus Soundscape on Enhancing Student Emotional Well-Being: A Case Study of Fuzhou University"
236,EXCLUDE,E4,"주거단지 옥외 사운드스케이프 평가만",10.1121/10.0022531,"Characterization of soundscape assessment in outdoor public spaces of urban high-rise residential communities"
237,EXCLUDE,E4,"경관요소 기반 사운드스케이프 최적화 · 행태 없음",10.3390/su151310155,"Soundscape Optimization Strategies Based on Landscape Elements in Urban Parks: A Case Study of Greenlake Park in Kunming"
238,EXCLUDE,E4,"그린웨이 사운드스케이프 지각 특성·요인만",10.3390/f15040670,"A Study on the Characteristics and Influencing Factors of Soundscape Perception in Landscape Spaces of Urban Greenways"
239,EXCLUDE,E4,"생리지표 기반 사운드스케이프 질 측정",10.1016/j.buildenv.2024.111549,"Measuring soundscape quality of urban environments using physiological indicators: Construction of physiological assessment dimensions and comparison with subjective dimensions"
240,EXCLUDE,E5,"RCT 프로토콜 · 결과 없음(정신생리 지표)",10.1186/s40359-024-01720-x,"Psychophysiological effects of walking in forests and urban built environments with disparate road traffic noise exposure: study protocol of a randomized controlled trial"
241,MAYBE,,"수목형 녹지 부정지각·이용행태 언급 · 음환경 불명",10.1016/j.ufug.2024.128539,"Exploring the negative perceptions of tree-based urban green space. People's behaviour and management are crucial"
242,EXCLUDE,E3,"트위터 이동제한 여론 분석 · 음환경 변수 없음",10.1016/j.cities.2022.104094,"Contesting views on mobility restrictions in urban green spaces amid COVID-19—Insights from Twitter in Latin America and Spain"
243,EXCLUDE,E5,"사운드스케이프 시뮬레이션 코디자인 도구 개발",10.1016/j.landurbplan.2022.104642,"Interactive soundscape simulation as a co-design tool for urban professionals"
244,EXCLUDE,E4,"주차차선·교통소음 파사드 평가 · 행태 없음",10.1016/j.envres.2020.109299,"Effect of parking lanes on assessing the impact of road traffic noise on building façades"
245,MAYBE,,"공공공간 사운드 설치물 현장비교 · 행태 측정 불명",10.1016/j.landurbplan.2024.105173,"Shaping city soundscapes: In situ comparison of four sound installations in an urban public space"
246,EXCLUDE,E4,"경관패턴→사운드스케이프 지각만",10.3390/f14122323,"Multi-Scale Effects of Landscape Pattern on Soundscape Perception in Residential Green Spaces"
247,EXCLUDE,E4,"캠퍼스 음향파라미터 장기 측정만",10.3390/su12187406,"Long-Term Temporal Analysis of Psychoacoustic Parameters of the Acoustic Environment in a University Campus Using a Wireless Acoustic Sensor Network"
248,MAYBE,,"산림공원 혼잡지각·조정행동 · 음환경 불명",10.3390/f14081538,"The Role of the Mechanisms of Adjustment in Moderating the Relationship between Perceived Crowding and Satisfaction in Urban Forest Parks"
249,EXCLUDE,E4,"공원 음원 동시출현 분석기법 · 행태 없음",10.1016/j.ecolind.2024.112172,"Graph Enhanced Co-Occurrence: Deep dive into urban park soundscape"
250,EXCLUDE,E5,"가로 사운드스케이프 스코핑 리뷰",10.3390/su17083329,"Soundscape Research in Streets: A Scoping Review"
251,MAYBE,,"폭염 대응 공원 방문 형평성 · 음환경 불명",10.1016/j.ufug.2025.128989,"Assessing the equity of urban public green space visitation for cooling off from extreme heat: A public participation GIS (PPGIS) survey"
252,EXCLUDE,E4,"분수 음향증강 선호·마스킹 평가만",10.1016/j.apacoust.2024.110001,"In-situ co-creative soundscape augmentation with fountains: Balancing sound preference and road traffic noise masking in urban parks"
253,EXCLUDE,E4,"사운드스케이프 경험과 정서만",10.3390/app14135828,"Perceived Soundscape Experiences and Human Emotions in Urban Green Spaces: Application of Russell’s Circumplex Model of Affect"
254,EXCLUDE,E4,"사운드스케이프·경관 변화와 주택가격 · 행태 없음",10.1016/j.jenvman.2024.122829,"Towards equal neighborhood evolution? A longitudinal study of soundscape and visual evolution and housing value fluctuations in shenzhen"
255,EXCLUDE,E4,"새소리 기반 회복 지각 차이만",10.3390/f15122217,"Differences in Public Perceptions of Recovery in Different Urban Forests Based on Birdsong"
256,EXCLUDE,E3,"식재특성 시각선호만 · 음환경 없음",10.1371/journal.pone.0264482,"Visual preferences for outdoor space along commercial pedestrian streets under the influence of plant characteristics"
