rec,verdict,reason_code,behavior_hint,note,doi,title
231,EXCLUDE,E5,,"스마트시티 음정체성 서사적 고찰 · 실증 데이터 없음",10.3390/heritage4020039,"Exploring the Effects of “Smart City” in the Inner-City Fabric of the Mediterranean Metropolis: Towards a Bio-Cultural Sonic Diversity?"
233,RETRIEVE,,"공원 내 신체활동 수준","공원 특성 미열거 · 음환경 변수 포함 여부 전문 확인 필요",10.1016/j.jum.2024.05.004,"Spatiotemporal association of urban park characteristics and physical activity levels based on GTWR: A serial cross-sectional observational study"
241,UNCERTAIN,,,"초록 미확보 · 제목상 이용행태 언급, 음환경 여부 불명",10.1016/j.ufug.2024.128539,"Exploring the negative perceptions of tree-based urban green space. People's behaviour and management are crucial"
245,EXCLUDE,E4,,"사운드 설치물 효과를 사운드스케이프 평정으로만 측정",10.1016/j.landurbplan.2024.105173,"Shaping city soundscapes: In situ comparison of four sound installations in an urban public space"
248,EXCLUDE,E3,,"혼잡지각·감정·만족도 모형 · 음환경 변수 없음",10.3390/f14081538,"The Role of the Mechanisms of Adjustment in Moderating the Relationship between Perceived Crowding and Satisfaction in Urban Forest Parks"
251,EXCLUDE,E3,,"폭염 대응 공원방문 형평성 · 예측변수는 열·그늘·수경, 음환경 없음",10.1016/j.ufug.2025.128989,"Assessing the equity of urban public green space visitation for cooling off from extreme heat: A public participation GIS (PPGIS) survey"
258,EXCLUDE,E3,,"환경요인 열거(수공간·NDVI·공원유형·POI)에 음환경 불포함",10.1016/j.ufug.2025.128684,"Deciphering popular routes in urban parks: The impact of environmental factors on the amount, intensity and diversity of physical activity"
259,EXCLUDE,E4,,"공원 LAeq 측정·음향적 매력 평가만 · 이용행태 미측정",10.24425/aoa.2021.136568,"Soundscapes of Urban Parks in Cities with Populations of Over 100,000 in the Silesian Voivodeship"
262,EXCLUDE,E4,,"경로 선호 평정·인지지도 · 실제 이용행태 아닌 선호, 음환경도 없음",10.3390/ijerph182211756,"Residents’ Spatial Preference for Urban Forest Park Route during Physical Activities"
264,UNCERTAIN,,,"초록 미확보 · 옥외 여가활동 행태 있으나 음환경 변수 불명",10.1016/j.apgeog.2024.103382,"Comparing the impacts of built environment across different objective life neighborhoods on the out-of-home leisure activities of employed people using massive mobile phone data"
265,UNCERTAIN,,,"초록 미확보 · 음환경 명확하나 활동·행태 측정 여부 불명",10.1016/j.buildenv.2024.112261,"Determinants of soundscape quality of communal open space in Hong Kong"
267,UNCERTAIN,,,"초록 미확보 · 보행 이동성 행태 있으나 음환경 언급 불명",10.1016/j.jtrangeo.2024.103811,"Sociospatial inclusiveness of streets through the lens of urban pedestrian mobilities: Go-along interviews with less mobile pedestrians in Singapore"
268,RETRIEVE,,"공간 이용유형·이용강도","이용유형·이용강도가 음환경 특성 결정 — 역방향 행태-음환경 가능",10.3390/su13158423,"Acoustic Environment of Urban Historical Places: A Case Study in Kastamonu, Turkey"
269,RETRIEVE,,"노인 사회적 상호작용","공원환경 지각→사회적 상호작용 매개 · 지각에 음환경 포함 여부 확인",10.3390/ijgi13070262,"The Influence of Perceptions of the Park Environment on the Health of the Elderly: The Mediating Role of Social Interaction"
273,RETRIEVE,,"러닝·사이클링 트레일 이용","Strava 활동 궤적 행태 명확 · 환경특성 미열거로 음환경 포함 확인 필요",10.1016/j.ufug.2025.128869,"Exploring multiscale relationships between environmental characteristics and recreational trail-based activities in urban natural areas: A regional study leveraging user-generated big data and machine learning"
274,UNCERTAIN,,,"초록 미확보 · GPS 옥외 신체활동 행태 있으나 음환경 불명",10.1016/j.cities.2024.105253,"COVID-19 pandemic changes the outdoor physical activity preference in Chinese city: A 7-year GPS trajectory data analysis"
282,EXCLUDE,E3,,"방문빈도·체류시간·활동유형 조사 · 예측변수 사회인구학적, 음환경 없음",10.3390/su12020741,"Outdoor Recreation Participation in Istanbul, Turkey: An Investigation of Frequency, Length, Travel Time and Activities"
285,UNCERTAIN,,,"초록 미확보 · 공원 방문패턴 행태 있으나 음환경 변수 불명",10.1016/j.ufug.2024.128325,"Is the grass greener or the water bluer? Drivers of local park visitation patterns in Phoenix, Arizona"
291,EXCLUDE,E2,,"유치원 실내 교실 관찰 · 옥외 도시공간 아님",10.2466/pms.1996.82.3c.1123,"Influence of Background Music on Preschoolers' Behavior: A Naturalistic Approach"
292,EXCLUDE,E4,,"시청각 환경→생리지표·심리회복만 측정 · 행태 아웃컴 없음",10.3390/f15050858,"Combined Effects of the Visual–Acoustic Environment on Public Response in Urban Forests"
296,RETRIEVE,,"활동유형별 이상 음환경 비교","활동(독서·휴식·대화·놀이)→음환경 평가 역방향 · 실제 행태 측정 여부 확인",10.5614/j.eng.technol.sci.2022.54.1.7,"The Implementation of Soundscape Composition to Identify the Ideal Soundscape for Various Activities"
297,EXCLUDE,E4,,"단지 옥외활동공간 소음짜증·사운드스케이프 지각만 · 활동 미측정",10.3389/fpsyg.2021.707477,"Soundscape Evaluation Comparison of Outdoor Activity Space Between Gated and Open Communities"
299,EXCLUDE,E3,,"녹지 사회적 상호작용 다루나 접근성·편의시설·안전만 · 음환경 없음",10.3390/su17104467,"Impact of Urban Green Spaces on Social Interaction and Sustainability: A Case Study in Jubail, Saudi Arabia"
305,EXCLUDE,E3,,"체류시간·사회적 상호작용 있으나 가로시설·날씨·미관만 · 음환경 없음",10.35631/jthem.519007,"URBAN PUBLIC SPACE AS SOCIAL INTERACTION SPACE: CASE STUDY IN PETALING STREET"
307,UNCERTAIN,,,"초록 미확보 · 이동제한→소음 포함 여부 및 행태 측정 불명",10.1007/s11356-023-30631-4,"Drastic mobility restrictions during SARS-CoV-2 pandemic: an opportunity to learn about constraints on the way to a pollution-free city"
309,RETRIEVE,,"노인 보행자 수·보행행태","가로·공원 보행자 수 관찰 · 건조환경 감사항목에 음환경 포함 확인 필요",10.3390/infrastructures10060137,"Older Adults’ Walking Behavior and the Associated Built Environment in Medium-Income Central Neighborhoods of Santiago, Chile"
313,UNCERTAIN,,,"초록 미확보 · 보행량 행태 있으나 무질서 지표의 소음 포함 불명",10.1016/j.compenvurbsys.2025.102348,"The association of subjective physical disorder and pedestrian volume: A big urban data and machine-learning approach"
318,EXCLUDE,E3,,"방문빈도·체류시간 행태 있으나 가용성·접근성·가시성만 · 음환경 없음",10.3390/f16020341,"Availability, Accessibility, or Visibility? A Study of the Influencing Factors of Greenspace Exposure Behavior in Fuzhou Urban Parks"
319,EXCLUDE,E4,,"방문객 1610명 음환경 평가·선호만 · 행태 아웃컴 없음",10.1080/10225706.2010.9684151,"SOUNDSCAPE OF URBAN OPEN SPACES IN HONG KONG"
320,RETRIEVE,,"성별 보행 행태 차이","보행행태 성별 차이 측정 · 보행환경 지각에 음환경 포함 확인 필요",10.21837/pm.v21i30.1406,"EXPLORING GENDERED WALKING BEHAVIOR AND ENVIRONMENT PERCEPTION IN HERITAGE CITY: THE CASE OF GULANGYU, CHINA"
