rec,verdict,reason_code,behavior_hint,note,doi,title
322,RETRIEVE,,"보행 중 통화방해·활동방해","가로 보행자 소음영향 조사; 지각 위주지만 활동방해 항목 있어 전문 확인",10.3390/app142311212,"Estimation of the Occurrence and Significance of Noise Effects on Pedestrians Using Acoustic Variables Related to Sound Energy in Urban Environments"
324,EXCLUDE,E4,,"음향보행신호 안전감·선호·기대만 측정, 횡단행태 미측정",10.1080/09638288.2023.2200260,"Evaluation of three pedestrian phasing with audible pedestrian signals configurations in Quebec City (Canada): an exploratory study of blind or visually impaired persons’ sense of safety, preferences, and expectations"
327,RETRIEVE,,"카페테라스 이용·휴식·대화 활동","락다운 전후 활동변화가 음경 구성 변화시킴; 역방향 관계 전문 확인",10.1177/09574565221114660,"Evaluation of the soundscapes through the cafe terraces before and after the COVID-19 lockdown in coastal cities in Algeria"
328,UNCERTAIN,,,"초록 미확보; 생태학 저널이라 생태음향 가능성, 인간행태 여부 불명",10.1016/j.baae.2025.12.007,"Social-ecological relationships on biodiverse and health-promoting city soundscapes"
329,UNCERTAIN,,,"초록 미확보; 녹지 음경 다양성 연구, 이용행태 포함 여부 불명",10.1016/j.ufug.2025.128929,"Soundscape diversity in urban green spaces: Spatial-temporal variations, influencing factors and optimization strategies"
331,EXCLUDE,E4,,"음경 선호·문화생태계서비스 지각만 측정, 관찰가능 행태 없음",10.3390/buildings15132360,"Soundscape Preferences and Cultural Ecosystem Services in the Grand Canal National Cultural Park: A Case Study of Tongzhou Forest Park"
333,EXCLUDE,E4,,"ISO 분류체계 개선·방문객 지각 설문, 행태 아웃컴 없음",10.1080/08941920.2022.2085350,"Toward Healthier Parks and People through Integrated Soundscape Research: Applying the International Organization for Standardization Acoustic Environment Taxonomy across Contexts"
334,EXCLUDE,E3,,"녹지 이용행태 있으나 음환경 변수 전무, 자기지각 정신건강 중심",10.1080/23748834.2024.2348296,"An examination of urban green spaces usage behaviours and self-perceived mental health benefits: findings from two urban green neighbourhoods in Pakistan"
335,RETRIEVE,,"보행속도 감속·경로 유도","증강 발소리 도시 현장실험 16명; 보행속도 지연·내비게이션 단서 효과",10.1515/icom-2022-0020,"EnvironZen: Immersive Soundscapes via Augmented Footstep Sounds in Urban Areas"
337,EXCLUDE,E2,,"차량 주행속도·소음지도 연구, 옥외 인간 행태 아님",10.3390/buildings12010031,"Effect of Lane Narrowing Implemented on an Urban Dual Carriageway on Speed Reduction and Acoustic Environment"
339,EXCLUDE,E4,,"사운드워크 음경 특성·사운드 정체성 분석, 행태 측정 없음",10.3390/buildings13123091,"Assessing the Soundscape Characteristics of Historical Urban Environments: An Analysis of the Historical Erbil Citadel and Its Environments"
