no,verdict,direction,reason
1189,EX1,na,야생동물 대상 소음영향 systematic map
1190,BORDERLINE,forward,보행 경로선택 행태 연구이나 음환경 변수 불명확
1191,BORDERLINE,forward,국립공원 사운드스케이프; 관광객 행태데이터 수집 언급
1192,EX4,na,개인 소음노출 추정 방법; 관찰가능 행태 아웃컴 없음
1193,EX1,na,zebra finch 발성 지각·신경 연구
1194,EX1,na,도시 Parus major 노래 주파수 변화
1195,EX1,na,조류 풍부도와 acoustic index bioacoustics
1196,EX4,na,ANC 알고리즘 공학 연구; 인간 행태 없음
1197,EX4,na,여객선 음향파워 측정; 행태 아웃컴 없음
1198,EX4,na,도시 음환경 정서·EEG 반응만 측정
1199,EX3,na,신호 카운트다운 운전행태 시뮬레이션; 음환경 변수 없음
1200,BORDERLINE,reverse,사회행사 소음측정; 활동→소음 역방향 가능·세팅 혼재
1201,EX1,na,해양 어류 passive acoustic monitoring
1202,INCLUDE,reverse,진행 중 활동·이벤트가 사운드스케이프 평가에 영향
1203,BORDERLINE,reverse,시공간 행태와 개인 소음노출 연계; 공공공간 특정 아님
1204,EX4,na,소음 지각과 심혈관질환 유병; 행태 아웃컴 없음
1205,EX4,na,교통소음 노출과 2형당뇨 코호트; 행태 없음
1206,EX4,na,수변 시청각환경과 관광 충성도(의도)만 측정
1207,EX4,na,옥외 이벤트 청각·후각 쾌적성; 정서·지각만 측정
1208,EX4,na,바이오복합재 흡음 성능; 인간 행태 없음
1209,EX1,na,Brown-headed Cowbird 노래 변화
1210,EX1,na,house sparrow 청각 처리 도시화 구배
1211,INCLUDE,forward,시각장애 모자 보행 동기화를 음향 맥락별 분석
1212,EX2,na,병원 외래 두통·청각과민 임상연구
1213,EX4,na,방음벽 구간 열차 공기역학 CFD; 인간 행태 없음
1214,EX2,na,인공와우 사용자 일상 청취환경; 옥외 공공공간 아님
1215,BORDERLINE,forward,PPGIS 이동행태·soundscape 데이터 기술 논문
1216,EX3,na,캠퍼스 자전거 이용 유형화; 음환경 변수 없음
1217,EX1,na,zebra finch 인지수행 소음 실험
1218,BORDERLINE,forward,공원 여가행태 관찰; 음환경 변수 명시 없음
1219,EX1,na,도로소음의 야생동물 행태 영향거리 매핑
1220,EX1,na,어류 행태·microbiome 소음 실험
1221,INCLUDE,forward,상업가로 사운드스케이프·군중밀도가 대기시간 등 행태에 영향
1222,EX1,na,범고래 발성 녹음 잡음억제 기법
1223,EX4,na,산림공원 생물음 EEG·심리반응만 측정
1224,EX5,na,Vicsek 에이전트 순수 시뮬레이션
1225,EX4,na,경량벽체 차음·단열 성능; 인간 행태 없음
1226,INCLUDE,forward,도로교통소음 포함 환경특성과 신체활동(자기보고) 연관
1227,EX4,na,AI 뉴로어버니즘 프레임워크 질적평가; 행태 아웃컴 없음
1228,EX1,na,일식 시 동물 발성·soundscape 변화
1229,EX2,na,차량 실내 승객 쾌적성 평가
1230,EX1,na,거미 먹이 탐지 소음 실험
1231,EX4,na,건물 삽입손실 예측모델 축소모형 실험
1232,BORDERLINE,forward,가로 사운드스케이프 전문가 포커스그룹; 보행행태 논의
1233,EX1,na,Southern Emu-wren 영역방어 소음 실험
1234,EX4,na,표정 기반 사운드스케이프 평가법; 지각만 측정
1235,EX4,na,도시숲 만족·충성도·의도만 측정; 음환경 변수 미약
1236,EX1,na,도시·농촌 chaffinch 영역 공격성
1237,EX5,na,게임화 모빌리티 앱 개념 제안; 실증 행태데이터 없음
1238,EX4,na,GIS 교통소음 측정·매핑; 행태 아웃컴 없음
1239,BORDERLINE,forward,도시 음환경이 근접 상호작용·심박 동기화 조절
1240,EX2,na,주거건물 리노베이션 우선순위 선호 조사
1241,EX3,na,청녹지 배치와 표정 기반 정서; 음환경 변수 없음
1242,INCLUDE,reverse,방문빈도·활동강도 등 행태가 사운드스케이프 회복성 평가에 영향
1243,INCLUDE,reverse,중복 레코드; 행태 특성이 PSR 평가에 영향
1244,EX4,na,야간 러닝 다감각 자극; 생리·심리 회복만 측정
1245,EX1,na,조류 dawn chorus 소음·인공광 영향
1246,EX4,na,환경소음 노출과 삶의 질; 행태 아웃컴 없음
1247,EX4,na,VR 음원 방향·거리; 정서·EDA만 측정
1248,EX4,na,교통소음 지각·짜증 조사; 관찰가능 행태 없음
1249,EX5,na,이슬람법 관점 소음 법리 개념 분석
1250,BORDERLINE,unclear,주차공간 전용 준실험; 자동차 이용행태 측정·소음변수 불명확
1251,EX1,na,common myna 수면·발성 야간 광소음
1252,EX4,na,야간 인공광 노출과 소아 사시; 행태 없음
1253,BORDERLINE,reverse,SNS 텍스트 기반 도시 사운드스케이프 활동 유형 매핑
1254,EX4,na,식생 흡음특성 측정; 인간 행태 없음
1255,EX4,na,VR 청각경고 지각 판단만 측정; 실제 행태 미측정
1256,EX4,na,캠퍼스 다감각 상호작용; 정서 지각만 측정
1257,EX4,na,건축 음향성능 계측; 인간 행태 없음
1258,INCLUDE,forward,그린웨이 광장 개방성·음환경과 이용행태 관찰
1259,EX2,na,패스트패션 매장 실내 쇼핑 경험
1260,EX4,na,도시공원 다감각 쾌적성과 행동의도만 측정
1261,EX2,na,대학생 음악취향·물질사용; 옥외 공공공간 아님
1262,EX3,na,녹지·보행성과 자살행동; 소음은 측정변수 아님
1263,EX4,na,자연음 ERP 실험; 정서·전기생리 반응만 측정
1264,BORDERLINE,reverse,교차로 경적·공회전 운전행태가 소음 형성에 기여
1265,EX1,na,Mountain Chickadee 발성 COVID 소음감소
1266,EX1,na,아마존 영장류 이동·공간 이용
1267,EX1,na,amphipod 섭식·대사효소 소음 영향
1268,EX3,na,원자시계 예측; 음환경 아닌 신호 잡음
1269,EX2,na,실내 주차장 LiDAR 측위; 신호 잡음
1270,EX4,na,근린 무질서 지각과 아동 정신건강; 행태 없음
1271,BORDERLINE,reverse,의례 공간의 소리·군중 행태 매핑; 아웃컴은 장소정체성
1272,INCLUDE,forward,VR 자율차 청각경고·주변소음이 자전거 주행행태에 영향
1273,EX4,na,소음 지각 기반 건강영향 조사; 공간 행태 없음
1274,EX1,na,야생 설치류 도로공사 생리·행동
1275,BORDERLINE,forward,도시숲 이용빈도 자기보고; 소음저감은 인식 항목
1276,INCLUDE,both,보행자화 후 소음변화와 주민 적응행태(발코니 이용)
1277,EX4,na,아동 읽기수행 결과; 관찰가능 행태 아웃컴 없음
1278,EX4,na,타일 박리 타격 진단 기술; 인간 행태 없음
1279,EX2,na,병원 실내 소음과 호흡기 감염
1280,INCLUDE,forward,농촌 공공공간 자연음지수와 노인 체류·행태 관찰
1281,EX4,na,도시형태-소음 비선형 관계; 행태 아웃컴 없음
1282,EX4,na,도로소음 전파 비선형 계측; 행태 없음
1283,EX4,na,도로소음과 파킨슨병 코호트; 행태 없음
1284,EX3,na,IoT 분산추정; 음환경 아닌 통신 잡음
1285,EX5,na,계절이주 코호트 프로토콜 논문
1286,EX4,na,공원 사운드스케이프와 장소감; 지각만 측정
1287,EX4,na,다중 환경노출과 당뇨·비만; 행태 없음
1288,EX1,na,동물원 Bali myna 음절 생산 변화
1289,EX1,na,카나리아 폭죽소음 행동·생리 반응
1290,EX4,na,슬럼 소음노출과 이과 질환; 공간 행태 없음
1291,BORDERLINE,forward,사운드스케이프로 관광객 시공간 행태 유도; 학술지 언어 확인 필요
