no,verdict,direction,reason
397,EX1,na,왜소몽구스 경보음 반응 실험·동물 연구
398,EX1,na,박새류 mobbing call 반응·동물 연구
399,EX1,na,개구리 발성 자동식별 bioacoustics
400,EX1,na,houbara bustard 구애 발성·동물 연구
401,EX4,na,주거 소음↔혈압·신기능만 측정·행태 아웃컴 없음
402,EX4,na,건설소음 annoyance 설문만·행태 측정 없음
403,EX1,na,마모셋 contact call 비교·동물 연구
404,EX1,na,소음 대응 동물 인지 리뷰
405,EX1,na,금화조 광환경 노출·동물 연구
406,INCLUDE,reverse,노천시장 군중밀도가 음환경·음향쾌적성 형성
407,EX1,na,귀뚜라미 야간조명 구애·동물 연구
408,EX1,na,해양포유류 수중 음환경·동물 연구
409,EX1,na,북극고래 발성률·동물 연구
410,EX1,na,청개구리 발성 교통소음 실험·동물
411,BORDERLINE,forward,고속도로 개통↔신체활동 변화·소음 변수 명시 불확실
412,BORDERLINE,forward,여가·운동 장소 소음 포함 환경평가와 이용 평가 병행
413,EX1,na,검은지빠귀 항공기소음 노래·동물
414,EX5,na,교통망 소음 파라독스 이론·실증 행태자료 없음
415,EX3,na,도시녹지 CES 인식·이용·음환경 변수 없음
416,EX4,na,환경소음↔남성 불임·행태 아웃컴 없음
417,EX5,na,GIS 소음취약지 매핑 방법론·행태 분석 없음
418,EX1,na,palm cockatoo 발성 지리변이·동물
419,EX5,na,교통정책 건강영향 정성 리뷰
420,EX4,na,도시·교통계획 질병부담 추정·행태 아웃컴 없음
421,EX1,na,도시 great tit 노래 주파수·동물
422,EX1,na,인간 존재가 박새 번식형질에 미친 영향·동물
423,EX2,na,가설주택 실내 온열환경 연구
424,EX4,na,실험실 loudness·annoyance 지각만 측정
425,EX1,na,조류 노래 측정오류 검증·동물 방법론
426,EX4,na,주거 녹지↔사망률·행태 아웃컴 없음
427,EX1,na,동물 다중감각 채널 전환 리뷰
428,EX1,na,emberizid song performance·동물 연구
429,EX1,na,카나리아 암컷 수용성·산란수·동물
430,EX5,na,소음차량 단속 카메라 시스템 개발·행태 분석 없음
431,EX5,na,ANN·ANFIS 교통소음 예측 모델
432,EX4,na,소음민원 밀도↔BMI·혈압만 측정
433,BORDERLINE,forward,주거 소음↔정신건강 경로에 신체활동 매개 포함
434,EX4,na,옥외 상점가 감각단서 관찰·소비자 행태 미측정
435,INCLUDE,both,테헤란 구시가 사운드스케이프와 일상 사회적 상호작용·공공공간 이용
436,EX1,na,병코돌고래 음향서식지·동물 연구
437,EX3,na,에너지·교통 시스템 성능 평가·음환경 변수 없음
438,EX4,na,EV 경고음 음향특성 분석·보행자 행태 미측정
439,EX1,na,도시녹지 조류 dawn chorus·동물
440,EX1,na,박새 소음 하 노래반응 playback·동물
441,EX1,na,음향서식지 가설 생태음향 이론
442,EX2,na,브랜드 감각경험 소비자 설문·옥외 공공공간 아님
443,EX1,na,명금류 노래 진폭·주파수 반응·동물
444,BORDERLINE,forward,메니에르병 사운드스케이프 정서지리·행태 아웃컴 불확실
445,EX1,na,종다리 노래와 풍력터빈 소음·동물
446,EX1,na,참새 새끼 대사율·동물 연구
447,EX4,na,도시·교통계획 노출↔사망 HIA·행태 없음
448,EX5,na,교통소음 내부화 시뮬레이션·실증 행태자료 없음
449,EX1,na,흰정수리북미멧새 노래 유연성·동물
450,EX5,na,Beatlemania screamscape 문화비평 에세이·실증자료 없음
451,EX2,na,역사 모스크 실내 사운드스케이프
452,EX1,na,노루 교통소음 스트레스·동물 연구
453,EX1,na,초지 명금류 노래 조정·동물
454,EX5,na,사운드스케이프 지각·공간경험 개념 프레임워크 리뷰
455,EX2,na,학교 교실 내부 소음 annoyance
456,EX4,na,주거 소음↔흡연·음주 습관·공간행태 아님
457,EX1,na,도시 조류 다양성과 소음·동물
458,EX3,na,투수 콘크리트 배수성능·음환경 변수 없음
459,EX5,na,동적 교통소음 평가도구 시뮬레이션·행태 없음
460,EX2,na,주변소음 하 모바일 인터랙션 실험·옥외 공공공간 아님
461,INCLUDE,forward,교통소음·새소리 청취가 실제 옥외 보행속도 변화
462,EX4,na,도시광장 사운드스케이프 차원↔음향쾌적성 지각만
463,EX1,na,인공 둥지 조류 번식성공·동물
464,EX1,na,금화조 경계·채식 효율·동물
465,EX2,na,실내환경 매개 거주자 건강 평가
466,EX4,na,하천변 옥외 열지각 TSV 아웃컴·행태 없음
467,EX4,na,대기오염↔심폐 생리지표만 측정
468,EX1,na,무미양서류 교통소음 회피·동물
