no,verdict,direction,reason
661,INCLUDE,forward,"VR 도로에서 차량 소음이 보행자 횡단 결정에 미친 영향"
662,EX2,na,"청각기기 평가용 실험실 VR 음환경, 옥외 공공공간 아님"
663,EX4,na,"음악에 따른 환경 평가·정서 지각만 측정, 행태 없음"
664,EX2,na,"푸드코트 소음 하 커피 시음, 실내 음식섭취 상황"
665,INCLUDE,forward,"소리·냄새가 보행가로 군중 경로·속도·체류에 영향"
666,INCLUDE,reverse,"공원 이용자 행태특성이 사운드스케이프 지각에 미친 영향"
667,EX5,na,"도시 환경오염·심혈관 영향 리뷰, 실증 행태 데이터 없음"
668,EX1,na,"Red-backed Fairywren 소음 노출과 사회연결성"
669,EX1,na,"European Starling 새끼의 생리적 스트레스 반응"
670,EX1,na,"교통소음 재생이 야생 박쥐 활동·섭식 감소"
671,EX3,na,"초미세입자 미세물리 모델링, 음환경 변수 없음"
672,EX1,na,"도시 조류 노래 최저주파수 common garden 실험"
673,EX5,na,"도시 소음·지진 사면안정 수치해석, 인간 행태 없음"
674,EX5,na,"교통소음 시공간 지도화 방법론, 행태 분석 없음"
675,EX4,na,"물소리 16종 쾌적도 평정만 측정, 행태 없음"
676,EX1,na,"도시·시골 Great Tit 일주 노래 활동 비교"
677,EX1,na,"오토바이 통행 소음에 대한 야생동물 행동 반응"
678,EX1,na,"prairie dog 경계음의 도시 소음구배 변이"
679,EX5,na,"재택근무 정책 논평, 실증 행태 데이터 없음"
680,EX1,na,"동물원 사운드스케이프, 동물복지 목적 측정"
681,EX4,na,"관광지 sensescape 지각 지수 개발, 행태 없음"
682,EX1,na,"도시 소음이 회색다람쥐 행동에 미치는 영향"
683,EX1,na,"봉쇄로 인한 돌고래·어류 통신거리 증가"
684,BORDERLINE,forward,"이웃 소음민원이라는 행동 다루나 주거·실내 맥락 애매"
685,EX4,na,"소리의 정서 salience 설문 개발, 지각만 측정"
686,EX5,na,"자연음 건강효과 체계적 문헌고찰·메타분석"
687,EX5,na,"건설폐기물 방음벽 흡음·전파 시뮬레이션, 행태 없음"
688,EX4,na,"녹지·소음 노출과 알레르기 증상 등 건강 아웃컴"
689,EX1,na,"열대림 음향지수와 생물음 계절 변동"
690,EX1,na,"House Wren 노래 진폭의 소음 반응"
691,EX1,na,"wren 노래와 영역 공격성 playback 실험"
692,BORDERLINE,unclear,"근린 소음·웰빙 연구, 녹지 체류 행태 측정 불명확"
693,EX4,na,"도시환경 노출과 정신건강 아웃컴만 측정"
694,BORDERLINE,reverse,"팬데믹기 행동변화가 공공공간 사운드스케이프 평가와 연관"
695,EX3,na,"보행친화도-보행활동 연구, 음환경 변수 없음"
696,EX2,na,"주택 실내에서 인지한 옥외·이웃 소음 태도"
697,EX1,na,"도시·시골 뒤쥐의 소리자극 행동 반응"
698,EX4,na,"보호구역 방문객 사운드스케이프 정서 지각 차원만"
699,EX1,na,"도시 숲 생물음과 소음 관계 분석"
700,EX5,na,"COVID·건조환경·교통 리뷰 논문"
701,EX1,na,"마리나 수중 소음과 어류 발성 패턴"
702,EX1,na,"zebra finch 노래학습기 소음 노출 실험"
703,EX5,na,"센서망 음압 클러스터링 방법, 인간 행태 없음"
704,EX2,na,"캠퍼스 기숙사 건물 실내 만족도 평가"
705,EX4,na,"음악이 생태계서비스 선호·WTP에 미친 영향"
706,EX4,na,"교통소음 저감 실험, 방문객 지각·선호만 측정"
707,EX1,na,"도시공원 생물음 중심 eco-acoustic 지수 분석"
708,EX1,na,"LED 가로등 전환과 식충박쥐 활동"
709,BORDERLINE,reverse,"정숙 유도 사인이 음환경 저감, 행태 직접측정 불명확"
710,EX4,na,"VR 시청각 설치물의 회복력 지각만 측정"
711,EX1,na,"도시화와 흰정수리북미멧새 장내미생물"
712,EX4,na,"디지털 사이니지 음향쾌적성·광고 회상만 측정"
713,BORDERLINE,forward,"공원 음질-지각·선호 연구, behavior 측정 여부 불명확"
714,EX4,na,"소음 노출과 혈압·고혈압 생리 아웃컴"
715,EX1,na,"사막 설치류의 빛·소음 노출 행동·체온 리듬"
716,EX2,na,"주거 실내 음환경 지각과 사회경제 지표"
717,EX2,na,"실내공간 도시소음과 인지수행 성차"
718,EX1,na,"전기차 접근 시 포유류 도피개시거리"
719,EX5,na,"차량별 소음 배출 산정 방법론, 행태 없음"
720,EX4,na,"항공 관광 궤적 데이터 분석, 인간 행태 아웃컴 없음"
721,EX5,na,"어린이 통학로 보행쾌적성 평가지표 개발 방법론"
722,EX5,na,"고무 혼입 콘크리트 차음성능 실험"
723,EX4,na,"UK Biobank 노출-건강지표 연관, 행태 아웃컴 아님"
724,INCLUDE,both,"축제 사운드스케이프와 참가자 공간 이동·참여의 상호작용"
725,INCLUDE,forward,"녹지 사운드스케이프와 방문빈도·체류 등 이용행태"
726,BORDERLINE,unclear,"산림치유 청각요소·사회적 상호작용 언급, 측정 불명확"
727,EX5,na,"녹지 질과 건강 체계적 문헌고찰"
728,EX1,na,"House Wren 레퍼토리 크기의 소음 반응"
729,BORDERLINE,unclear,"포치·공원 이용 자기보고와 새소리 청취 증가"
730,EX1,na,"도시·공항 인근 참새 새끼 생리 스트레스"
731,EX1,na,"항공기 소음과 조류 발성 활동 풍부도"
732,INCLUDE,reverse,"집단 이용·사회적 상호작용이 사운드스케이프 평가에 영향"
733,EX2,na,"VMS 대응 운전자 경로선택, 차량 내부 세팅"
734,EX1,na,"교통소음 하 개구리의 짝짓기 신호 선택"
735,EX1,na,"도시 great tit 부모 급이행동의 소음 반응"
