no,verdict,direction,reason
1,EX4,na,"소음 민감도·annoyance 분포만 다룸, 관찰가능 행태 없음"
2,EX2,na,"aerospace 구조물 음향 응답 해석, 도시 공공공간 아님"
3,EX4,na,"freeway 소음 community response, annoyance·수면 등 지각 반응만"
4,EX4,na,"CNV 뇌전위 반응, 생리 지표만 측정"
5,EX4,na,"CNV 뇌전위 반응, 생리 지표만 측정(중복 레코드)"
6,EX4,na,"수목의 소음 감쇠 물리 측정, 인간 행태 없음"
7,INCLUDE,forward,"sidewalk 소음·밀도가 보행속도·협조행동에 미친 효과"
8,EX4,na,"전국 도시 소음 survey, annoyance·speech interference만"
9,EX4,na,"교통소음 전파 특성 추정, 인간 행태 없음"
10,EX1,na,"herring gull 항공기 소음 반응, 동물 연구"
11,EX4,na,"도시 소음도 측정·annoyance survey, 행태 없음"
12,EX2,na,"초전도 중력구배계 실험, 도시 공공공간 아님"
13,EX5,na,"route choice 균형배분 모델링, 실증 행태 데이터 없음"
14,INCLUDE,forward,"도로공사 소음이 가로에서 helping behavior에 미친 효과"
15,EX1,na,"동물 사육환경 ethology 논의, 동물 대상"
16,EX2,na,"복합재 패널 음향·열하중 해석, 공공공간 아님"
17,EX3,na,"도시 vector 매개질환 관리, 음환경 변수 없음"
18,EX4,na,"소음 노출과 건강·수면 자기보고, 행태 아웃컴 없음"
19,EX2,na,"독일 지하 상가·건축물 사례, 실내 세팅"
20,EX2,na,"버스·auto-rickshaw 등 차량 내부 소음 측정"
21,EX4,na,"개인 소음 노출 모니터링·주관 판단, 행태 없음"
22,BORDERLINE,unclear,"초록 없음, 도시 소음 연구로 제목만으로 배제 불가"
23,EX4,na,"fuzzy logic 교통소음 예측 모델, 행태 없음"
24,EX1,na,"사막 유제류 심박·행동 반응, 동물 연구"
25,EX1,na,"종간 상호작용 개체군 모델, 동물 대상"
26,EX4,na,"지하철 구조전달음 주민 주관 반응, 행태 없음"
27,EX3,na,"가정 composting 참여 행태 연구, 음환경 변수 없음"
28,EX4,na,"소음과 수면·각성 후유효과, 수면·생리 아웃컴만"
29,BORDERLINE,forward,"소음의 행동영향(창문개방·이웃관계) 자기보고, 세팅·행태 불확실"
30,EX4,na,"이동음원 adaptive algorithm 수렴 거동, 행태 없음"
31,EX4,na,"교통소음과 자기보고 건강, 행태 아웃컴 없음"
32,EX4,na,"교통소음과 자기보고 건강, 행태 아웃컴 없음(중복 레코드)"
33,EX2,na,"의류 매장 실내 배경음악, 실내 상점 세팅"
34,EX1,na,"rat PHNO·melatonin 실험, 동물 연구"
35,EX2,na,"기숙사 실내 거주자 공사소음 영향, 실내 세팅"
36,EX5,na,"도시 소음·건강 문헌 리뷰, 실증연구 아님"
37,EX2,na,"은행·bar 실내 음악과 분위기 평가, 실내 세팅"
38,EX2,na,"roundabout 차량 주행속도·안전 교통공학, 차내 행태"
39,EX2,na,"VDT 작업 실험실 소음·휘도 조합, 실내 세팅"
40,EX4,na,"소음 노출과 요중 catecholamine, 생리 지표만"
41,EX1,na,"amazon 앵무 duet playback, 동물 연구"
42,EX2,na,"TV 프로그램 음악 콘텐츠 분석, 공공공간 아님"
43,EX4,na,"타이어/노면 소음 물리 모델, 행태 없음"
44,EX4,na,"이동음원 ANC 알고리즘 거동, 행태 없음"
45,EX1,na,"grizzly bear의 인간 활동 반응, 동물 연구"
46,BORDERLINE,forward,"근린 소음 등 문제 인식과 신체기능 저하, 행태 해당 여부 불확실"
47,EX4,na,"noise mapping·annoyance map 산출, 행태 없음"
48,EX4,na,"주거지 소리 인지 지표 개발, 지각만 측정"
49,EX4,na,"Cairo 교통소음 수준 측정·저감, 행태 없음"
50,EX2,na,"쇼핑몰·전자상거래 쇼핑환경 리뷰, 실내 상업공간"
51,EX4,na,"노면별 soundscape 지각·평가, 행태 아웃컴 없음"
52,EX2,na,"NICU 의료진 음악 태도 조사, 병원 실내"
53,INCLUDE,forward,"모의 횡단보도 음향신호·교통소음과 횡단 보행 정확도"
54,EX3,na,"도시 빈곤층 폐기물 관리 행태, 음환경 변수 없음"
55,BORDERLINE,forward,"교통소음 감소와 activity disturbance·옥외환경 이용, 행태 측정 불확실"
56,EX1,na,"군용기 소음의 가축·야생동물 영향, 동물 대상"
57,EX4,na,"학령기 아동 불안·주의 등 심리 영향, 행태 없음"
58,EX1,na,"bluefin tuna 이동·서식 모델, 동물 연구"
59,EX4,na,"street canyon 음 전파 실험, 행태 없음"
60,EX1,na,"passerine 뇌 크기·노래 복잡성, 동물 연구"
61,EX2,na,"지하구조물 구조건전성 모니터링, 공공 오픈스페이스 아님"
62,EX1,na,"도시 소음과 great tit 노래 변화, 동물 연구"
63,EX3,na,"확률 지연 차분방정식 안정성, 음환경 변수 없음"
64,EX4,na,"주택가격 hedonic 분석, 행태 아웃컴 없음"
65,EX1,na,"song sparrow 노래와 도시 소음, 동물 연구"
66,EX4,na,"야간 소음도 공간 표본 설계, 행태 없음"
67,EX1,na,"무미류 advertisement call masking, 동물 연구"
68,BORDERLINE,unclear,"주간 인구 추적·소음 노출 평가, 소음-행태 관계 불명확"
69,EX1,na,"elk의 지하통로 이용과 교통, 동물 연구"
70,EX1,na,"zebra finch pair preference, 동물 연구"
71,INCLUDE,forward,"도로소음·근린 녹지 가용성과 옥외공간 이용 증가"
72,EX1,na,"선박 소음과 bottlenose dolphin 서식음환경, 동물 연구"
73,EX5,na,"도시 soundscape 접근법 총설, 실증연구 아님"
74,EX2,na,"NICU 소음 수준·기여요인 인식, 병원 실내"
75,EX2,na,"NICU 소음 수준·기여요인 인식, 병원 실내(중복 레코드)"
76,EX4,na,"근린 만족·정신건강 인식 조사, 행태 아웃컴 없음"
77,EX1,na,"birdsong과 인위 소음 보전 리뷰, 동물 대상"
78,EX1,na,"fiddler crab 시각 신호 매력도, 동물 연구"
79,EX4,na,"동적 교통소음 추정 모델, 행태 없음"
80,INCLUDE,reverse,"도시 오픈스페이스 이용자 행태 요인이 sound level 평가에 미친 영향"
81,EX4,na,"교통소음 수준과 태도·건강 호소, 행태 아웃컴 없음"
82,EX1,na,"먹이탐색 박쥐의 소음 회피, 동물 연구"
83,EX4,na,"야간 교통소음과 고혈압, 생리 아웃컴만"
84,EX4,na,"지각 환경 척도 개발·신뢰도만 보고, 행태 아웃컴 없음"
85,EX1,na,"sunbird 노래 방언과 유전자 흐름, 동물 연구"
86,EX1,na,"청개구리 traffic noise 발성 행동, 동물 연구"
87,EX1,na,"chickadee gargle call meme, 동물 연구"
88,EX1,na,"great tit 소음 대응 song switching, 동물 연구"
89,BORDERLINE,reverse,"국립공원 방문객 유발 소음·quiet zone, Park Science 동료심사 불확실"
90,EX4,na,"항공기 소음 annoyance 추세, 행태 아웃컴 없음"
91,EX1,na,"도시 blackbird 노래 음높이, 동물 연구"
