no,verdict,direction,reason
265,EX1,na,"개구리 발성 구조 연구, 동물 대상"
266,EX1,na,"고속도로 소음이 조류 밀도·번식에 미치는 영향"
267,EX3,na,"보행 훈련 RCT, 음환경 변수 없음"
268,BORDERLINE,both,"soundscape 기대·지각 중심이나 활동·타인 행태 언급"
269,EX1,na,"동물 행동과 신규 형질 진화, 인간 아님"
270,EX1,na,"wren 발성 타이밍, 조류 대상"
271,INCLUDE,forward,"urban square에서 behaviour mapping + soundscape 분석"
272,EX1,na,"canary 성선호와 도시소음, 조류 실험"
273,EX1,na,"sparrow 노래 변화, 조류 대상"
274,EX4,na,"지각된 안전감·만족·WTP만 측정, 행태 없음"
275,EX4,na,"교통소음 최적화 모델, 실측 행태 없음"
276,EX4,na,"소음 annoyance·표정 시각화, 행태 아웃컴 없음"
277,EX1,na,"melon-headed whale 음향행동, 해양동물"
278,EX1,na,"박쥐 echolocation·비행 행동, 동물 대상"
279,EX1,na,"해양포유류 대상 airgun 소음장 측정"
280,EX1,na,"암초 boat 소음과 해양생물 소통, 동물 대상"
281,EX3,na,"walkability audit, 음환경 변수 없음"
282,EX4,na,"annoyance·수면·집중 문제만, 행태 아웃컴 없음"
283,EX4,na,"주거 소음노출 모델링, 행태 아웃컴 없음"
284,EX1,na,"영장류 음향 모니터링 시스템, 동물 대상"
285,EX4,na,"초미세먼지·소음 상관 분석, 행태 아웃컴 없음"
286,EX1,na,"공항 인근 조류 dawn chorus 시각 변화"
287,EX1,na,"songbird 발성 신경기전, 동물 대상"
288,EX4,na,"심혈관질환 아웃컴, 행태 측정 없음"
289,EX2,na,"소결 섬유펠트 재료시험, 공공 옥외공간 아님"
290,EX1,na,"교통소음과 월동 조류 분포·풍부도"
291,EX1,na,"zebra finch 만성 소음노출과 노래, 조류"
292,EX1,na,"박쥐 foraging 전략과 교통소음, 동물"
293,EX1,na,"house sparrow 반포식자 행동, 조류"
294,EX4,na,"GIS 소음지도 작성, 행태 아웃컴 없음"
295,EX1,na,"혹등고래 소음 중첩, 해양동물"
296,EX4,na,"전기 이륜차 성능 리뷰, 행태 아웃컴 없음"
297,EX4,na,"환경음 1/f 시간구조 분석, 행태 없음"
298,EX2,na,"eco-driving 운전행동, 차량 내부 세팅"
299,EX4,na,"전립선암 발생 아웃컴, 행태 없음"
300,EX4,na,"과속방지턱 차량소음 측정, 행태 아웃컴 없음"
301,BORDERLINE,unclear,"가로 소음 노출평가에 보행·착석 시간 자기보고 포함"
302,EX4,na,"교통경찰 생리·심리 증상만 측정"
303,EX2,na,"매장 내 배경음악과 체류시간, 실내 세팅"
304,EX4,na,"수면 시간·문제 아웃컴, 행태 없음"
305,EX1,na,"도로 소음과 가을 이동기 조류 분포"
306,EX4,na,"국립공원 항공기 소음 annoyance 지각만 측정"
307,EX2,na,"NAT2 유전형과 청각 인지, 실험실 과제 세팅"
308,EX1,na,"야생동물 소음영향 특성화 개념 리뷰"
309,EX1,na,"zebra finch 배아 사망·성장, 조류 실험"
310,EX1,na,"하천 어류 신호 masking, 동물 대상"
311,EX1,na,"조류 노래 전파특성, 동물 대상"
312,EX4,na,"자전거 이동 BC 노출 추정, 행태 아웃컴 없음"
313,EX1,na,"비번식기 조류 발성 변화, 동물 대상"
314,EX4,na,"음악에 따른 환경 인상 평가만, 지각 아웃컴"
315,EX1,na,"조류 소음 민감도와 서식지 이용, 동물"
316,EX4,na,"보호구역 소음수준 측정만, 행태 데이터 없음"
317,EX1,na,"Carolina chickadee call, 조류 대상"
318,EX4,na,"음향장면 시뮬레이션·이벤트 검출, 행태 없음"
319,EX1,na,"red-winged blackbird 발성 가소성, 조류"
320,EX4,na,"BIM-GIS 3D 소음지도, 행태 아웃컴 없음"
321,EX4,na,"soundscape 주관적 이해·선호, 행태 측정 없음"
322,EX1,na,"야생동물 소음영향 체계적 리뷰, 동물"
323,INCLUDE,forward,"옥외 공공공간 음악 조작과 정지·체류시간 관찰"
324,EX1,na,"몽구스 경계행동과 교통소음, 동물"
325,EX1,na,"sparrow 영역방어 반응, 조류 대상"
326,EX1,na,"적도 조류 노래 시작시각, 동물"
327,EX4,na,"고속도로 소음 예측모델, 행태 아웃컴 없음"
328,EX4,na,"새소리 회복잠재력 지각 평가만 측정"
329,EX4,na,"소음영향 평가용 위치 자동분류, 행태 없음"
330,EX1,na,"박쥐 발성 가소성 생체역학, 동물"
331,EX1,na,"조류 소리 자동분류, 동물 대상"
332,EX1,na,"도시 blackbird 적응 변화, 조류"
333,EX5,na,"Lancet 시리즈 정책 개관, 실증 데이터 없음"
334,EX1,na,"도시 조류 포식자 경계반응, 동물"
335,EX2,na,"통계물리 temporal disorder 모형, 음환경·세팅 없음"
336,EX4,na,"자전거 대기·소음 노출 측정, 행태 아웃컴 없음"
337,EX1,na,"chaffinch 레퍼토리와 주변소음, 조류"
338,EX1,na,"great tit 뇌 수용체 분포, 동물"
339,EX1,na,"wren 노래와 환경음, 조류 대상"
340,EX1,na,"고속도로와 열대림 조류 다양성, 동물"
341,INCLUDE,both,"옥외공간 sound-related 활동이 보행·체류 행태와 음환경 변화"
342,EX5,na,"실내 환경 스트레서 개관 논문, 실증 아님"
343,EX1,na,"zebra finch 뇌 발달·노래학습, 조류"
344,EX4,na,"유전 프로젝트 HIA, 행태 아웃컴 없음"
345,EX1,na,"prairie-chicken lek 행동, 동물 대상"
346,EX2,na,"고층주거 자가건강, 주택 내부 세팅"
347,EX1,na,"chickadee 노래 조정 학습, 조류"
348,EX3,na,"고혈압 인식 프레임 질적연구, 음환경 변수 없음"
349,EX4,na,"사망률 아웃컴, 행태 측정 없음"
350,EX4,na,"인지기능 아웃컴, 행태 측정 없음"
351,BORDERLINE,forward,"소음 annoyance와 신체활동(자기보고), 세팅 특정 불명확"
352,EX1,na,"dove coo 주파수와 소음 구배, 조류"
353,EX1,na,"house sparrow CORT 반응, 조류"
354,EX1,na,"peahen 야간 경계행동, 조류"
355,EX4,na,"구·신 시가지 소음수준·교통량, 행태 없음"
356,EX1,na,"white-crowned sparrow 발성 성능, 조류"
357,BORDERLINE,unclear,"옥외공간 감각경험 개념 논고, 실증·행태 여부 불명"
358,EX3,na,"참여형 도시재생 사례, 소음은 배경 언급뿐"
