no,verdict,direction,reason
1057,EX3,na,RF 전자기 노이즈장 측정 연구로 음환경 아님
1058,EX1,na,거미 등 절지동물 진동소음 영향 연구
1059,EX1,na,개구리 발성·음향 니치 분할 연구
1060,EX4,na,다공성 아스팔트 소음저감 공학연구 행태 아웃컴 없음
1061,EX1,na,조류 새벽 노래 개시시각 환경요인 연구
1062,EX4,na,도로소음 추정용 가로 분류모델 행태 아웃컴 없음
1063,EX2,na,핀란드 아파트 실내환경 POE 실내 세팅
1064,EX1,na,하구 항만 soundscape ecology 돌고래·어류
1065,EX5,na,built environment·소아비만 내러티브 리뷰
1066,EX5,na,소아 건강 정책성명으로 실증연구 아님
1067,EX1,na,반려견 사운드스케이프 정서 민감도 연구
1068,EX2,na,응급실 봉합 시 음악치료 실내 임상 세팅
1069,INCLUDE,forward,커뮤니티 음환경 개입→주민 사회적 상호작용 관찰
1070,EX1,na,소음·고온의 조류 행동·인지 영향 리뷰
1071,EX4,na,사운드스케이프 지각→경험·행동의도만 측정
1072,EX2,na,신경질환 음악치료 임상 세팅 옥외 공공공간 아님
1073,EX1,na,생태 사운드스케이프 시계열 분석 방법론
1074,BORDERLINE,unclear,닭 소리 포함 도시 사운드스케이프와 관광객 반응 행태 불명확
1075,EX2,na,지하공간 이용자 건강 설문 옥외 공공공간 아님
1076,INCLUDE,forward,공원 사운드스케이프→방문자 정적·동적 행태 자기보고
1077,EX5,na,캠퍼스 보행 그래프 시뮬레이션 실증 행태데이터 없음
1078,EX5,na,전문가 기반 인과루프 다이어그램 개념 연구
1079,EX5,na,도시환경-건강 단면조사 연구 프로토콜
1080,EX4,na,아웃컴=뇌 백질 미세구조 영상지표
1081,EX4,na,아웃컴=스트레스 생리·기분·수면 프로토콜
1082,EX1,na,도시 소음과 벌새 채이 활동
1083,EX1,na,도시 소음과 까치 반포식 반응 지연
1084,EX3,na,도시 연못 생태계서비스 인식조사 음환경 변수 없음
1085,EX3,na,도시공원 경관서비스 IPA 분석 음환경 변수 없음
1086,EX1,na,카라카라 발성 레퍼토리 도농 비교
1087,EX1,na,교통소음과 금화조 사회행동 변화
1088,EX4,na,스마트시티 센서 시각화 플랫폼 행태 아웃컴 없음
1089,EX3,na,정전용량 압력센서 ML 보정 음환경 아님
1090,EX5,na,노인 보행의도 관련 체계적 문헌고찰
1091,EX5,na,파사드 음향 규칙기반 계산 프레임워크 시뮬레이션
1092,BORDERLINE,forward,주거환경 소음·수면 연구 신체활동 가속도계 측정 포함
1093,EX4,na,아웃컴=청력역치·혈압·수면효율 생리지표
1094,EX1,na,어류 음향 군집 수동음향 모니터링
1095,EX4,na,섬유보강 모르타르 흡음 모델링 행태 없음
1096,EX4,na,공원 사운드스케이프 지각·방문자 만족도만 측정
1097,EX3,na,지반 탄성특성 지진 노이즈 모니터링 음환경 아님
