no,verdict,direction,reason
793,EX1,na,동물 성선택·형질에 대한 urbanisation 리뷰
794,EX4,na,청취실험 감정(pleasantness/arousal) 반응만 측정
795,EX1,na,개구리 advertisement call 변이 연구
796,EX1,na,박쥐 foraging behavior 소음 영향
797,EX4,na,Walk Score 지수 산출만·실제 보행행태 미측정
798,EX4,na,소음센서 데이터 클러스터링 기법·행태 아웃컴 없음
799,BORDERLINE,reverse,교차로 경적 사용행동↔음환경·차량 세팅 애매
800,EX1,na,great tits 포식자 지각·번식행동
801,EX4,na,소음지도·건강영향 평가·행태 아웃컴 없음
802,EX2,na,섬유공장 실내 직업소음 노출 연구
803,EX4,na,녹지 유형·사망률 결과만 측정
804,INCLUDE,both,도시숲 운동자 행태별 audio-visual 선호 분석
805,EX4,na,지각된 사운드스케이프 회복성만 측정
806,EX4,na,소음관리 선호·recreationist utility(선택실험)만 측정
807,EX5,na,역사·인문 서술 분석·실증 행태데이터 없음
808,EX1,na,박쥐 echolocation·social call 도시 적응
809,EX4,na,항공기소음·혈압/동맥경직도 생리지표만
810,EX2,na,실내 요식업장 배경음악 지각
811,BORDERLINE,forward,소음 민원행동 공간분석·지각 프록시 성격 애매
812,EX5,na,개념 프레임워크 제안만·실증 데이터 없음
813,EX1,na,house finch 노래 문화전달 ABM
814,EX4,na,차량 소음시험법 개발·인간행태 없음
815,EX3,na,대기오염 정책 모델링·음환경 변수 없음
816,EX2,na,건물 실내 지하철 소음 지각 모델
817,EX1,na,도시 조류 번식 phenology·성공
818,INCLUDE,forward,산림공원 사운드스케이프 지각→환경책임행동(자기보고)
819,BORDERLINE,forward,소음 민원행동과 POI 공간분포 관계 분석
820,EX1,na,동물원 사육 조류 행동과 음환경
821,BORDERLINE,reverse,관광 행태요인↔음원 지각·결과는 스트레스 완화
822,EX4,na,디아볼로 사운드스케이프·flow state만 측정
823,BORDERLINE,both,공원 앱 소리제어·이용행동 측정의 행태성 애매
824,EX2,na,주거지 소음노출·아동 증상·공공 오픈스페이스 아님
825,EX4,na,가로 유형별 정신건강·환경지각만 측정
826,EX1,na,사육 songbird 소음노출·gut microbiota
827,EX5,na,atmospherics 비평적 문헌 리뷰
828,EX1,na,자연소음 재생 실험·birdsong 구조 변화
829,EX2,na,주거지 도로소음·아동 문제행동·세팅 부적합
830,EX4,na,녹지 노출·사망률 결과만
831,BORDERLINE,forward,자연 사운드스케이프→보전행동·의도 여부 불명
832,EX2,na,아파트 실내 설계기준·정신웰빙
833,INCLUDE,forward,통근 중 소음 노출과 보행·자전거 실천행동
834,EX5,na,코로나 음환경 변화 리뷰 논문
835,EX4,na,사운드스케이프 지각·자연연결성만 측정
836,EX1,na,침입 마모셋·조류 음향다양성 영향
837,EX2,na,주행 시뮬레이터 차량 내부 음악·운전행동
838,EX1,na,동물 vibroscape 기반 ecotremology 개념 제안
839,EX3,na,차량 통행시간·비만/당뇨·음환경 변수 없음
840,EX1,na,공항 소음과 조류 dawn chorus
841,EX1,na,산호초 pomacentrid 어류 발성
842,EX1,na,passerine 노래와 빛·달 위상
843,EX2,na,실내 체인점 배경음악·구매행동
844,EX4,na,아동 혈압 생리지표 결과만
845,EX4,na,시청각 쾌적성·생리반응(심박/동공)만 측정
846,EX1,na,junco 노래 도시-비도시 분화
847,EX4,na,국립공원 사운드스케이프 지각·시각미학
848,BORDERLINE,reverse,총성 음향탐지로 밀렵활동 공간분포 추정
849,EX2,na,교육시설 실내환경질(IEQ) 회귀모델
850,EX5,na,철도 진동·소음 저감기법 state-of-the-art 리뷰
851,EX5,na,철도음 도시사 서술 분석·실증 행태데이터 없음
852,EX4,na,공원 다중음원 선호·주관평가만 측정
853,INCLUDE,both,코로나기 옥외 공공공간 이용변화와 소리의 역할
854,EX4,na,도로소음·삶의질/정신적 고통 결과만
855,EX3,na,근린 지각·수면/비만·음환경 변수 없음
856,EX1,na,침입식물 서식지 songbird 노래 변이
857,EX2,na,요양원 실내 시각장애 노인 대상
858,BORDERLINE,reverse,항만 음질 평가에 방문빈도·체류시간 반영
859,EX4,na,상공비행 시공간 패턴 분석·인간행태 없음
860,EX5,na,연구 프로토콜·건강영향 모델링 예정 단계
861,EX1,na,동물 개체군 확률모형의 수학적 noise
862,INCLUDE,reverse,이용자 레크리에이션 행태→도시숲 음향지표 변화
863,EX2,na,고령자 주거 실내환경 실측·조사
864,EX4,na,공원 사운드스케이프·시민 감정 변화만
865,EX4,na,지역소음·고혈압 유병 관계
866,EX5,na,아우구스티누스 신학·역사 텍스트 해석
867,EX2,na,주택 실내 사운드스케이프(재택근무·휴식)
868,EX3,na,녹지·PM2.5·고혈압·음환경 변수 없음
869,EX5,na,아동비만 건조환경 체계적 문헌고찰
870,EX1,na,인공조명과 박쥐 풍부도·야간 사운드스케이프
871,EX4,na,가로 녹시율→보행 만족도(지각)만 측정
872,EX1,na,willie wagtail 야간 노래와 ALAN
873,EX1,na,Barn Swallow 생활사·번식 성공
874,EX3,na,SIR 수학모형의 Gaussian noise·음환경 아님
875,EX1,na,Lesser Bulldog Bat foraging·echolocation
876,EX3,na,다공성 아스팔트 재료 성능시험·소음 미측정
877,EX4,na,IMS 인프라사운드 기준모델·인간행태 없음
878,EX4,na,DAS 신호처리 차량 통행 모니터링 기법
879,EX3,na,근린환경·인지기능·음환경 변수 없음
880,INCLUDE,forward,도로소음 포함 도시환경과 COPD 환자 걸음수·좌식시간
881,EX3,na,녹지 공간분포·정신건강·음환경 변수 없음
