no,item,verdict,rationale
1226,4.1,Y,"5개 도시 사전정의 공간유형별 쿼터 표집, 훈련된 면접원 가정방문 실시(Methods 2.1)"
1226,4.2,Y,"연령·성별 구조는 인구와 부합하나 도시별 학력 분포 편중을 저자가 인정(2.1, 4.5)"
1226,4.3,Y,"IPAQ-SF 사용, PM2.5 R2=0.77·Lden R2=0.68 모델, 인지척도 McDonald ω 0.83/0.89(2.2-2.3)"
1226,4.4,N,"응답률 소피아 30%~플로브디프 58%로 낮고 무응답자 특성 비교 미실시(2.1, 4.5)"
1226,4.5,Y,"GAM으로 비선형 점검 후 로지스틱 회귀, 로버스트 SE, VIF<5, 80/20 검증(2.5)"
1232,1.1,Y,"연역적 주제분석 기반 전문가 포커스그룹이 인식·정서·행동 탐색이라는 RQ에 부합(2절 서두)"
1232,1.2,Y,"파일럿 포커스그룹으로 질문지 검증, 반구조화 가이드, 튀르키예·국제 2개 코호트 운영(2.1)"
1232,1.3,Y,"4주제 16하위주제 34코드·102개 코딩사례 도출, 하위주제마다 직접 인용 제시(2.2, 3절)"
1232,1.4,Y,"해석마다 발췌 인용을 근거로 제시하고 문헌 삼각검증·연구자 성찰성 기술(2.2, 4절)"
1232,1.5,Y,"연구질문에서 코드북·주제·Healthy Streets 매핑까지 분석 논리가 일관되게 연결(2.2, 4절)"
1242,4.1,Y,"사운드워크로 4개 조사구역 선정, 평일·주말 무작위 표집, 73dBA 초과 응답 제외(2.3)"
1242,4.2,CT,"다롄 단일 해안지·14~17시·5~6월 한정, 남성 60% 편중이라 대표성 판단 불가(2.3)"
1242,4.3,Y,"PRSS 척도 Cronbach α 0.716~0.906, KMO 0.6~0.8, BSWA801 소음계 규격 측정(2.2-2.3)"
1242,4.4,Y,"230부 배포 중 201부 유효로 유효응답률 87% 확보(2.3)"
1242,4.5,Y,"왜도·첨도로 정규성 확인 후 ANOVA·사후검정, CATREG 상대중요도, PCA 적용(2.4)"
1258,4.1,CT,"6개 측정지점은 천공률 기준 목적표집이나 응답자 모집·선정 절차가 기술되지 않음(2.1, 2.3)"
1258,4.2,N,"청소년·청년이 87.3%를 차지하고 아동·고령자 누락을 저자도 한계로 인정(2.3, 4절)"
1258,4.3,Y,"AWA6228+ LAeq_5min, 파노라마 천공률, ISO/TS 12913-2 기반 문항, BORIS 코딩 사용(2.2-2.4)"
1258,4.4,Y,"587부 배포 중 554부 유효 회수로 회수율 94.4%(2.3)"
1258,4.5,Y,"PCA 적재>0.6, Kruskal-Wallis, Spearman, 다중선형회귀 VIF<2 기준 적용(2.5)"
1272,3.1,N,"TU Delft 학생·교직원 40명 중 남성 33명으로 성비 편중, 저자도 대표성 제한 인정(2.6, 5절)"
1272,3.2,Y,"90Hz 궤적·헤드트래킹 기록에 SSQ·Presence·Trust 등 표준화 척도 병용(2.5, 2.7.1)"
1272,3.3,Y,"41명 모집 중 40명이 18개 시나리오 전부 완료, 중도탈락 1명만 분석 제외(2.6)"
1272,3.4,Y,"피험자내 설계·시나리오 무작위 순서·가로유형 고정에 더해 LMM 임의효과 적용(2.1, 2.7.2)"
1272,3.5,Y,"eHMI 발동거리 15/20/25m와 역제곱 감쇠식으로 자극 전달을 설계대로 통제(2.2)"
1280,4.1,Y,"공공접근성·일상활동 기준 10개 공간 선정, 14일 관찰과 G*Power 최소 109명 충족(2.1, 2.3)"
1280,4.2,CT,"칭다오 2개 마을·단일 계절 표본이며 농촌 고령인구 대비 대표성 비교자료 없음(2.1, 초록)"
1280,4.3,Y,"Testo480·AWA5636 교정 측정, GVI/SVI 추출, α=0.812, 관찰 kappa=0.88 보고(2.2)"
1280,4.4,CT,"배포 설문 수를 보고하지 않아 무응답률 산출 불가, 무효응답 제외만 기술(2.2.2)"
1280,4.5,Y,"VIF 점검 후 다항 로지스틱, MLP 67/33 분할·하이퍼파라미터 조정, 하위집단 회귀(2.3)"
1306,4.1,Y,"100m 간격 24,529개 SVI 지점과 정제된 7,247개 주행궤적으로 가로단위 표집(3.3-3.4)"
1306,4.2,N,"KEEP 피트니스앱 이용자 자료로 여가·운동 주행 편중을 저자가 명시적으로 인정(3.4)"
1306,4.3,CT,"음환경을 실측 아닌 SVI 기반 ML 추론값으로 대체했고 현지 검증 성능 미보고(3.5.2)"
1306,4.4,N,"앱 자발적 업로드 자료의 참여 자기선택 편의를 보정·정량화하지 않음(3.4)"
1306,4.5,Y,"능선회귀로 VIF<3 확보, XGBoost 5-fold 교차검증·80/20 분할, PDP 해석(3.6, 4.1)"
