no,item,verdict,rationale
858,4.1 표집전략,CT,온라인 웹폼 배포 외에 표집 프레임·모집 절차를 기술하지 않음(2.3절)
858,4.2 표본대표성,N,응답자 71%가 공학·도시계획 전공(2.3절)이라 항만 이용자 대표성이 낮음
858,4.3 측정적절성,Y,HATS 교정·ISO 532 심리음향 지표와 ISO/TS 12913-2 설문·이탈리아어 번역 검증 사용(2.2-2.3절)
858,4.4 무응답편의,CT,228명 완료만 보고하고 배포 수·응답률·무응답 분석이 없음(2.3절)
858,4.5 통계분석적절성,N,8개 클러스터 집계값에 예측변수 3개를 다중회귀(Table 5 DFE 2-3)해 과적합
862,4.1 표집전략,Y,70x70m 격자 31개 지점과 3일 무작위 선정·시간당 2분 표집을 명시(2.2절)
862,4.2 표본대표성,Y,격자가 공원 전역을 피복해 여름철 대상 사운드스케이프를 공간적으로 대표(Figure 1)
862,4.3 측정적절성,CT,교정 SPL 없이 PSD만 사용하고 청취 판별 신뢰도 미보고·분할 정확도 66%(2.3절)
862,4.4 무응답편의,Y,센서 녹음 기반이라 무응답이 비해당이며 결측·장비 실패 보고 없음(2.2절)
862,4.5 통계분석적절성,N,"n=31에 예측변수 9개(Table 3-4), 조정 R2 0.355로 급락하고 VIF 7.59를 무공선성 처리"
883,4.1 표집전략,Y,리서치 패널로 성·연령·주 단위 층화 모집해 도시·농촌을 포괄(2.1절)
883,4.2 표본대표성,Y,n=4105이며 교육수준은 인구조사와 근사하고 연령·성비 편차를 저자가 명시(2.1절)
883,4.3 측정적절성,CT,"새소리 인지·쾌적성을 단일문항 회상으로 재고 이분화, 저자도 조야한 지표로 인정(4.4절)"
883,4.4 무응답편의,CT,패널 초대 대비 응답률을 보고하지 않고 소득 무응답은 결측 처리만 함(2.3.5절)
883,4.5 통계분석적절성,Y,"AIC 다중모형 선택·VIF 점검·사전 검정력 분석 수행(2.4절), 단 Table 1 신뢰구간 표기 오류"
901,4.1 표집전략,Y,70x70m 격자 35개 지점에서 개장시간 2시간마다 2분 무작위 녹음을 기술(2.2.1절)
901,4.2 표본대표성,CT,6-7월 맑은 날 2일·단일 공원 560분만 수집(2.2.1절)해 시간적 대표성 불확실
901,4.3 측정적절성,Y,Sony PCM-D100 규격과 ACI·ADI·AR·NDSI 파라미터를 공개하고 SOPARC 관찰 병행(Table 1-3)
901,4.4 무응답편의,Y,센서·파노라마 관찰 기반으로 무응답이 비해당이며 제외 표본 보고 없음(2.2.2절)
901,4.5 통계분석적절성,N,Table 4-5에서 t값과 p값이 불일치(t=4.92에 p=0.135)하고 행 중복·다중상관 미보정
930,4.1 표집전략,CT,군집표집과 코크란 공식 96명x3집단을 기술(3.1절)했으나 결과 백분율은 n=102를 시사
930,4.2 표본대표성,N,응답자 76.5%가 남성이고 77%가 26-45세 자영업 중심(4.1절)이라 아동·노인 누락
930,4.3 측정적절성,Y,내용타당도 확인과 Cronbach 알파 0.761을 보고하고 5점 리커트를 사용(3.1절)
930,4.4 무응답편의,CT,배포 수·회수율·무응답 처리에 대한 기술이 전무함(3.1절)
930,4.5 통계분석적절성,N,회귀식을 계수 합산 형태로 오기(4.5절)했고 부호가 Table A1과 불일치하며 R2=0.098
931,3.1 대표성,CT,톄런공원 단일 활동공간 성인만 관찰했고 인구학 정보 미수집을 저자가 인정(4.3절)
931,3.2 측정적절성,Y,"class 1 소음계 격자 SPL 실측과 BORIS 코딩 프로토콜(Table 1) 명시, 영상 무음화로 맹검"
931,3.3 결과자료완전성,Y,간섭·10인 미만 발췌 제외 기준을 사전 명시했고 90개 발췌가 5조건에 17-19개씩 배분(2.6절)
931,3.4 교란변수고려,CT,조건 순서를 시간대별로 균형배치했으나 요일·기온·개인 반복노출은 보정하지 않음(2.5절)
931,3.5 노출시행충실도,Y,개입음을 배경 대비 10dB 이내로 설정하고 30초마다 SPL을 상시 기록(2.4-2.5절)
941,3.1 대표성,CT,하얼빈 단일 가로에서 1일 관측한 보행자 211인시(Table 1)로 인구학·통행목적 정보 없음
941,3.2 측정적절성,Y,4채널 프런트엔드와 ArtemiS로 SPL 실측하고 냄새는 격자당 30부 이상 설문으로 대리 측정(2.2절)
941,3.3 결과자료완전성,CT,총 통행량 대비 표본 추출·제외 절차와 결측 처리를 기술하지 않음(2.3절)
941,3.4 교란변수고려,N,저·고 SPL이 시간대(13-15시 대 15-17시)와 교차로 근접에 교란되나 보정 없음(2.3절·4절)
941,3.5 노출시행충실도,Y,실제 교통소음과 만개한 라일락 향을 현장에서 확인하고 타 냄새원 부재를 응답으로 검증(2.2절)
951,4.1 표집전략,Y,헬싱키 OSM 가로망 전수 13322개 구간에 20m 버퍼를 적용하고 1km 미만 경로 제외(2.2.1절)
951,4.2 표본대표성,N,Strava 이용자가 남성·경쟁적 러너에 편중된다고 저자가 명시(4.5절 한계)
951,4.3 측정적절성,Y,GVI 의미분할·NDVI·소음/대기 래스터의 출처와 산출식을 명시하고 VIF<3 확인(2.2절·Table 1)
951,4.4 무응답편의,CT,비기여 러너로 인한 커버리지 편의를 정량화하거나 보정하지 않음(4.5절)
951,4.5 통계분석적절성,Y,2수준 다층모형에 무작위 절편·기울기와 교차수준 상호작용을 넣고 VPC·AIC로 비교(2.3절)
964,4.1 표집전략,CT,9개 측정지점 선정 기준은 명시(2.1절)했으나 참가자 20명의 모집 경로는 미기술
964,4.2 표본대표성,N,20-30세 청년 20명만 평가(2.3절)해 전 연령 이용자를 대표하지 못한다고 저자도 인정
964,4.3 측정적절성,CT,행태 활력을 조사자 4인의 리커트 평정으로 대체하고 평정자 간 신뢰도를 미보고(2.2.3절)
964,4.4 무응답편의,Y,180부 중 불성실 41부 제외 기준을 명시하고 유효 139부(77%)를 확보(2.3절)
964,4.5 통계분석적절성,N,9개 지점 값으로 139개 응답을 회귀해 유사반복이고 Table 4 계수와 식(5)이 불일치
971,3.1 대표성,CT,9월 평일 15-18시 시후공원 2개 지점 방문객만 관찰했고 연령·시간대 한계를 인정(4.2절)
971,3.2 측정적절성,Y,"LAeq는 BSWA801, UTCI는 Kestrel5500 기반으로 산출하고 예비실험에서 소음 성가심 7점 평정(2.2절)"
971,3.3 결과자료완전성,CT,결측이 없다고 했으나 이상치 제거·대체 규칙을 제시하지 않음(2.6절)
971,3.4 교란변수고려,N,"고온 조건은 공원도로에서, 저·중온은 광장에서 관측(2.3.1절)해 온도와 장소가 완전 교란"
971,3.5 노출시행충실도,Y,스피커를 은닉 배치하고 재생 전후 SPL을 측정하며 군중밀도 0.05인/m2 미만 유지(2.3.2·2.4절)
979,1.1 접근적절성,Y,소음에 대한 실시간 지향을 다루므로 멀티모달 대화분석 접근이 연구질문에 부합(3절)
979,1.2 자료수집적절성,Y,카메라 3대와 무선마이크로 자연 산책 10회를 녹화하고 영상자극 면접을 병행(3-4절)
979,1.3 결과도출충분성,Y,시선·발화·타이밍을 초 단위로 표기한 전사 발췌로 각 주장의 근거를 제시(5.1-5.2절)
979,1.4 해석근거,CT,정신증군 대 동반자 차이를 발췌 3-4개로 일반화했고 사례 수·비교군이 없음(5.1.2절)
979,1.5 방법일관성,Y,EMCA 틀 아래 자연 관찰과 영상자극 면접의 차이까지 방법론적으로 성찰(6절)
