no,item,verdict,rationale
560,4.1 sampling strategy relevant to address research question,Y,"2.2 Questionnaire: 7개 공원 내 이용 빈번 지점별 균등 배분 대면 면접, 18세 이상 이용자 대상으로 연구질문에 부합"
560,4.2 sample representative of the target population,CT,"2.2: n=210 단일도시 대형2·소형5 공원, 두 군 간 연령·성별 균형만 제시하고 모집단 대비 대표성 미검증"
560,4.3 measurements appropriate,Y,"2.2: 문헌 근거 만족도 12문항·소음원 8문항 5점 척도, 음압은 ISO 1996-2 준수 양이 녹음 병행"
560,4.4 risk of nonresponse bias low,N,2.2: 응답률 53%로 보고되나 거절자를 다른 이용자로 대체할 뿐 무응답 편의 분석 없음
560,4.5 statistical analysis appropriate to answer research question,Y,"2.3: 정규성 기각 확인 후 Mann-Whitney·Kruskal-Wallis, Kendall tau-b, 순서형 로지스틱 회귀, 검정력 0.8 이상 확보"
566,5.1 adequate rationale for using a mixed methods design,Y,3. Methods: 사운드스케이프 연구의 혼합접근 관행과 QUPE 3축 포착 필요성을 근거로 7개 방법 통합 설계 명시
566,5.2 components effectively integrated to answer research question,Y,"Table 1: QUPE 주제별 primary/secondary 방법 배정, Q1→BMT·EO→IM→IR 순차 정보 흐름 기술"
566,5.3 outputs of integration adequately interpreted,Y,4.2: 주제별로 설문 통계·자유응답·인터뷰 인용·행동관찰 결과를 교차 대조해 통합 해석
566,5.4 divergences and inconsistencies adequately addressed,Y,"5.4/6: 행동매핑은 이용패턴 변화 미검출이나 민족지 관찰은 체류 증가 확인, 음향측정 비예측성도 명시"
566,5.5 components adhere to quality criteria of each tradition,CT,"3.3.1/4: 정량 요소가 자기선택 표본(Q2 42명)과 시기 다른 조건 비교에 의존, 한계 절 부재·정성 코딩 신뢰도 미보고"
602,4.1 sampling strategy relevant to address research question,Y,"2.1/2.3: 장소기능·가로형태 기준 8개 가로 목적표집, ISO 사운드워크 프로토콜 적용으로 연구질문에 부합"
602,4.2 sample representative of the target population,N,2.3/4.3: 참가자 61명 전원 21-33세 학생이며 실제 가로 이용자가 아님을 저자가 한계로 명시
602,4.3 measurements appropriate,Y,"2.2: SSQP 기반 설문과 ISO 12913-3 분석, 양이 마이크 5분 녹음·30초 프레임 영상으로 군중밀도 산출"
602,4.4 risk of nonresponse bias low,CT,"2.3: 6개 사운드워크 그룹 중 4개만 경로 B에 참여, 모집 거절·중도탈락 정보 미보고"
602,4.5 statistical analysis appropriate to answer research question,Y,"2.4: Spearman 상관과 Fisher Z 비교, 다중회귀 예측모형, 세션 중앙값 120세트로 집계해 반복측정 부분 완화"
617,4.1 sampling strategy relevant to address research question,Y,"3.1: 형태 다양성 기준 6개 경로·738개 측정점 목적표집, 참가자 BMI 동질화로 교란 축소 의도 기술"
617,4.2 sample representative of the target population,N,"3.1.2 Table 3: 참가자 27명 전원 남성 건축학생 비거주 방문자, 여성·주민·고령자 구조적 배제"
617,4.3 measurements appropriate,CT,"3.2: 스펙트로그램 청취로 우세음을 분류하나 코더 신뢰도·검증 절차 미보고, 속도는 구간 평균만 산출"
617,4.4 risk of nonresponse bias low,CT,3.1.2: 모집 경로만 기술하고 거절·중도탈락 여부 정보 없음
617,4.5 statistical analysis appropriate to answer research question,N,"Table 6: 27명×18구간을 독립표본 486개(df=485)로 취급해 유의성 과대, 관찰자료로 인과 주장"
661,3.1 participants representative of the target population,N,2.1 Participants: 24-43세 성인 10명을 대학 구성원에서만 모집해 고령자·아동 등 취약 보행자 배제
661,3.2 measurements appropriate regarding outcome and exposure,Y,"2.3/2.4: 실차 통과소음 기반 자극의 LAmax·L5-L90 보고, CAVE 헤드트래킹과 음압 교정 재생, TTP 산식 제시"
661,3.3 complete outcome data,Y,"2.6: 미횡단 시행의 결측을 선형혼합모형으로 처리, 10명 전원 90시행 완료"
661,3.4 confounders accounted for in design and analysis,N,"4. Discussion: 가솔린 Kia·전기 Renault로 시각모델이 음향조건과 교락, 조건 간 1.7 km/h 속도차를 사후 인정"
661,3.5 exposure/intervention administered as intended,Y,"2.4/2.5: 녹음 시 수준과 동일하게 음압 교정, 90개 자극을 무작위 순서로 제시하고 훈련 블록 선행"
665,3.1 participants representative of the target population,CT,"2.1/2.4: 실제 보행자 608명 은닉관찰이나 단일 상업가로 1일 15-17시로 제한, 관측표본 인구특성 미보고"
665,3.2 measurements appropriate regarding outcome and exposure,Y,"2.3: SQuadriga III로 격자별 SPL 실측(54.2/65.2/54.9 dB), 냄새는 격자당 30부 이상 주관강도 설문으로 매핑"
665,3.3 complete outcome data,Y,"Table 1: 조건별 표본수(경로·속도 38-42, 체류 20-26) 전량 보고, 분석 제외 사례 없음"
665,3.4 confounders accounted for in design and analysis,N,"2.2/2.3: 음악 조건만 SPL이 11 dB 높아 음종과 음압이 교락, 6조건을 같은 오후에 순차 반복해 시간효과 미보정"
665,3.5 exposure/intervention administered as intended,Y,"2.2/2.4: 스피커 은닉·반사면 1.5 m 이격, UAV 100 m 이상 비행으로 관측장비 개입음 차단"
666,3.1 participants representative of the target population,N,"2.3.1: 변산 축소를 위해 동일 대학 건축·도시·음향 전공 학생 30명만 선발, 공원 이용자 대표성 낮음"
666,3.2 measurements appropriate regarding outcome and exposure,Y,"2.3.2/2.5: 문헌 기반 지표·감정·인지 5점 척도, 지점별 LAeq 등 음향지표와 360도 영상 행동 계수 병행"
666,3.3 complete outcome data,Y,"2.3.3/3: 30명 전원 60개 자극 평가 완료, 평균 관측 5회 미만 활동만 사전 기준으로 분석 제외"
666,3.4 confounders accounted for in design and analysis,CT,2.3.3: 피험자 내 설계와 목적 비공개로 편의를 줄였으나 A1→J4 고정 순서 제시로 순서효과 역균형 없음
666,3.5 exposure/intervention administered as intended,Y,"2.3.3: 배경소음 30 dBA 반무향실에서 동일 HMD·헤드폰으로 전원 동일 조건 제시, 자극 간 10초 무음 삽입"
694,4.1 sampling strategy relevant to address research question,Y,"2.3 Survey: 두 지점에서 퇴출 통행자를 무선별 접근해 주중 5일 현장 설문, 대상 공간 이용자 포착에 부합"
694,4.2 sample representative of the target population,CT,"2.4: 유효 109명 중 자전거 이용자 80% 편중, 주중 주간만 조사되어 이용자 대표성 검증 불가"
694,4.3 measurements appropriate,CT,"2.3: 사운드스케이프는 ISO/TS 12913-2, 소음민감도는 검증된 축약 Weinstein 척도이나 핵심 COVID 태도 4문항은 저자 임의 작성"
694,4.4 risk of nonresponse bias low,N,"2.3: 접근한 사람 4명 중 1명만 참여(약 25%), 미참여자 특성 비교 없음, 헤드폰 착용자 사전 제외"
694,4.5 statistical analysis appropriate to answer research question,Y,"3.1/3.2: 단조성 확인 후 Spearman, 기대빈도 점검한 카이제곱, OR·95% CI 로지스틱 회귀 보고"
724,5.1 adequate rationale for using a mixed methods design,CT,4. Methodology: 혼합방법·리듬분석 사용을 밝히나 정성·정량 통합이 필요한 이유를 명시하지 않음
724,5.2 components effectively integrated to answer research question,Y,Table 1·Fig 3-7: 양이 녹음 스펙트로그램의 박자·소리표지를 파란자 동작과 지휘 구령에 동기화해 결합
724,5.3 outputs of integration adequately interpreted,CT,5.3: 면접 결과를 코드·빈도 없이 서술해 통합 산출물의 해석 근거가 제한적
724,5.4 divergences and inconsistencies adequately addressed,CT,5.2/5.3: LAeq 81-108 dB(A) 고소음에도 만족했다는 불일치를 한 문장으로 언급할 뿐 추가 해석 없음
724,5.5 components adhere to quality criteria of each tradition,N,"4: 120명 면접의 코딩틀·신뢰도·포화 미보고, 녹음 표본수 미기재, 2011년 면접과 2019년 관찰의 시차 미논의"
725,4.1 sampling strategy relevant to address research question,Y,Methods: 팬데믹 중 온라인 플랫폼으로 광저우·선전 6개월 이상 거주 18-65세를 선별 모집해 연구질문에 부합
725,4.2 sample representative of the target population,N,"Table 1/Limitations: 여성 64.5%·18-34세 71.3%·학사 69.4% 편중, 저자도 고령·저소득·비인터넷층 배제를 인정"
725,4.3 measurements appropriate,Y,"Survey Instrument: 검증된 Williams·Vaske 장소애착 척도 사용, Cronbach α>0.8과 CFA의 CR·AVE로 신뢰도·타당도 확인"
725,4.4 risk of nonresponse bias low,N,"Results: 회수분 기준 유효율 99.68%만 보고, 배포 대상 수 미상이라 무응답률 산출 불가·온라인 자기선택"
725,4.5 statistical analysis appropriate to answer research question,Y,"Statistical Analyses: VIF 점검 다중회귀, 부트스트랩 2000회 매개분석, GFI·AGFI·RMSEA·CFI 적합도 보고"
726,5.1 adequate rationale for using a mixed methods design,Y,2.4.2/2.4.3: 에세이 정성 코딩으로 도출한 범주를 빈도화해 두 군 가설을 검증한다고 목적 명시
726,5.2 components effectively integrated to answer research question,Y,Table 2-3: 개방코딩 범주를 군별 빈도·카이제곱·Cramer V로 비교하고 유의 결과마다 참가자 인용을 대응 배치
726,5.3 outputs of integration adequately interpreted,Y,3.1/4.1-4.2: 청각요소·내성·정서변화·사회적 상호작용의 통계 결과를 인용문과 함께 해석
726,5.4 divergences and inconsistencies adequately addressed,CT,3.1: 가설1의 치유요인 다양성이 청각요소 외에는 미지지되었으나 이 불일치를 논의에서 다루지 않음
726,5.5 components adhere to quality criteria of each tradition,N,"2.4.2/4.3: 코더 간 신뢰도 미산출을 저자가 인정, 군을 아는 저자 2인이 코딩, 37명이 쓴 에세이 111편을 독립표본으로 카이제곱"
