no,item,verdict,rationale
1115,4.1 표집전략 적절,Y,"런던·브리즈번 센서스 통근 OD 전수를 R5R로 경로화해 노출 산정(Methods, L239-252)"
1115,4.2 표본 대표성,Y,"양 도시 통근자 전수 기반이며 10건 미만 셀만 프라이버시 목적 억제(Data, L239-242)"
1115,4.3 측정 적절,CT,소음이 CoRTN 모델 추정치이고 도시 간 16h·6등급 vs 18h·5등급으로 비등가(L228-238)
1115,4.4 무응답 편의 낮음,Y,응답이 의무인 국가 센서스 자료라 무응답 편의 기전이 사실상 없음(L239-242)
1115,4.5 통계분석 적절,Y,RF 튜닝·70/30 분할·상관 0.8 초과 변수 제거·변수중요도와 PDP 해석(L291-308)
1121,4.1 표집전략 적절,Y,5개 캠퍼스 개방공간에서 기상·음향 계측과 동시에 보행자 인터셉트 설문 실시(L284-288)
1121,4.2 표본 대표성,N,학생 92.6%·19~25세 83.2%에 단일 캠퍼스 봄 1회 조사라 일반 이용자 대표성 결여(Table 3)
1121,4.3 측정 적절,Y,"ISO 7726 기반 RayMan PET와 LAeq 사용, 장비 측정범위·정확도 명시(Table 2, L364-388)"
1121,4.4 무응답 편의 낮음,CT,1349부 중 1163부 유효만 기술하고 거부율·무효 사유·무응답 비교가 없음(L421-422)
1121,4.5 통계분석 적절,N,"PET 1도·LAeq 5dB 구간평균에 회귀 적합해 R2 과대, 상호작용은 최대-최소 차이 서술뿐(L406-417)"
1122,3.1 참가자 대표성,N,Credamo 온라인 패널이고 18~30세 71.4%·PC 이용자 한정이라 공원 이용자 대표 아님(L447-450)
1122,3.2 노출·결과 측정 적절,CT,결과가 미검증 단일문항 0-100과 자체 SII이고 실제 재생 음압은 측정 불가로 자인(L471-473)
1122,3.3 결과자료 완전,CT,시나리오당 30명 완결만 보고하고 배제·탈락·결측 처리 절차 기술이 없음(L453-454)
1122,3.4 교란 고려,N,무작위배정도 공변량 투입도 없이 사후 relatively balanced 진술만 제시(L653-655)
1122,3.5 노출 의도대로 시행,CT,예비 10명 자연성 확인뿐이고 본실험 참가자의 템포 지각 조작점검이 없음(L303-305)
1138,4.1 표집전략 적절,CT,단일 간선도로 러시아워 녹음으로 측정 일자·회차 미기재이고 인터뷰 30명은 편의표집(L198-208)
1138,4.2 표본 대표성,N,인터뷰 30명의 연령·성별이 전무하고 단일 도로 한정이라 호치민 이용자 대표 불가(L205-208)
1138,4.3 측정 적절,Y,RION NL-28을 NC-74로 매 녹음 전 교정하고 44.1kHz·FFT 4096·LAeq 1.5초 명시(L253-262)
1138,4.4 무응답 편의 낮음,CT,응답률·무응답·결측·탈락에 관한 보고가 방법부 전반에 전혀 없음(L198-262)
1138,4.5 통계분석 적절,N,통계 검정은 물론 평균·표준편차·반복 측정 횟수도 없이 dB 수치 비교만 제시(L405-434)
1149,5.1 통합 근거,Y,도시 감각경험의 복잡성을 이유로 혼합설계 근거와 프레임워크 도식을 제시(L160-170)
1149,5.2 효과적 통합,N,음향·생리·설문·인터뷰가 절별로 병렬 제시되고 정량-정성 교차 통합 분석이 부재(Results)
1149,5.3 불일치 해석,N,"스트레스 회복 무의미 결과(L435, L480-484)와 불안 감소 결론(L17-18)의 충돌을 다루지 않음"
1149,5.4 각 방법 품질기준 준수,N,"표본수 120/90/76과 인터뷰 24 대 42가 모순이고 상관·회귀 계수와 p값을 미보고(L264, L441-485)"
1149,5.5 품질기준 준수 보고,N,"단독 코더로 코더간 신뢰도가 없고 장비·척도 출처가 방법부와 결과부에서 불일치(L197-201, L394-395)"
1174,4.1 표집전략 적절,Y,5개 구 평일 2일 트립 279만 건 전수에 이상치 필터 규칙 명시 후 500m 육각격자 집계(L206-210)
1174,4.2 표본 대표성,CT,평일 2일과 중심 5개 구에 한정되고 개인 속성 부재로 시간·이용자 대표성 판단 불가(L201-206)
1174,4.3 측정 적절,CT,"청각 지표를 SVI 기반 CatBoost로 예측했고 현장 실측 대비 상관이 r=0.575에 그침(L226, L507)"
1174,4.4 무응답 편의 낮음,Y,해당 기간 트립 전수이고 제외 규칙이 명시되어 차등 무응답 기전이 없음(L207-209)
1174,4.5 통계분석 적절,Y,"LightGBM 5-fold 교차검증과 모형 비교, SHAP·ALE 해석에 건조환경 변수 통제(L474-483, L559)"
1177,5.1 통합 근거,Y,"폐쇄형 설문이 놓치는 정서 차원 접근을 이유로 혼합설계 채택 근거를 진술(L327, L955-964)"
1177,5.2 효과적 통합,Y,"LAeq·설문·사운드다이어리·멘탈맵을 NVivo matrix coding과 논의에서 교차해석(L583-591, L979-983)"
1177,5.3 불일치 해석,N,"정량-정성 결과 불일치의 체계적 논의 없이 개별 이례값 언급에 그침(L743-744, L802-803)"
1177,5.4 각 방법 품질기준 준수,CT,"정량은 n=58에 검정력 산정이 없고 대표성을 저자가 부인, 정성 코딩 신뢰도 미보고(L528-529)"
1177,5.5 품질기준 준수 보고,Y,"ISO 1996-2와 ISO 12913-2/3 준거, 교정 절차, 사진감사 kappa 0.70 이상, 표집설계를 명시(L546-574)"
1178,3.1 참가자 대표성,CT,"공원 이용자 자연표본이나 성별·연령이 미기록이고 단일 공원 40m 보도에 한정(L162, L273-276)"
1178,3.2 노출·결과 측정 적절,Y,"UAV 영상으로 경로·속도·체류시간을 코딩하고 조건별 SPL 실측, 취기는 7점 주관강도(L248-256)"
1178,3.3 결과자료 완전,Y,"조건별 표본수(경로 335, 체류 115)를 전부 보고하고 2초 간격 코딩 기준을 명시(L297-345)"
1178,3.4 교란 고려,N,취기 유무를 서로 다른 날에 배정해 날짜와 교락되고 통계적 공변량 보정이 없음(L160-161)
1178,3.5 노출 의도대로 시행,Y,"무취 조건 30명 이상 무향 확인, 재생 전후 SPL 실측, 스피커 은폐와 돌발음 모니터링(L193-194, L238-242)"
1202,4.1 표집전략 적절,Y,4개 주거단지 기능공간을 3개 시간대 사운드워크로 조사하고 친숙도 통제 위해 주민 배제(L177-198)
1202,4.2 표본 대표성,N,"대학생·지인 편의표집에 20~29세 70.6%·60세 이상 0%이고 주민을 배제해 대표성 결여(L193, L938-967)"
1202,4.3 측정 적절,Y,"B&K 4101 바이노럴과 2270 소음계, 심리음향 지표, ISO/TS 12913-2 5.2절 준거(L177, L206-208)"
1202,4.4 무응답 편의 낮음,CT,응답률·탈락·결측 처리에 관한 보고가 방법부 전반에 없음(L184-264)
1202,4.5 통계분석 적절,CT,순서형 로짓은 적절하나 1인 다응답 1528건의 군집 상관을 미보정하고 개인특성도 미투입(L263-264)
1211,4.1 표집전략 적절,Y,"종단 사례연구에서 의도표집한 단일 dyad의 자연 보행 26개 구간을 분석(L84-85, L128-129)"
1211,4.2 표본 대표성,N,"모녀 1쌍 단일사례이고 협응 보행 이력이라는 특수성으로 저자도 일반화 불가를 인정(L331, L338)"
1211,4.3 측정 적절,CT,"행동 코딩은 kappa 0.75~1.0로 견고하나 음환경은 비교정 dB LUFS 중앙값 이분화(L119-121, L131-140)"
1211,4.4 무응답 편의 낮음,Y,"결측 약 10%와 횡단 구간 제외를 사유와 함께 명시적으로 보고(L116-117, L127-128)"
1211,4.5 통계분석 적절,Y,"chromatic RQA 파라미터 명시, Mann-Whitney에 Holm-Bonferroni 보정, 무작위 기준선 대비(L146-188, L217-220)"
1221,4.1 표집전략 적절,Y,"5개 구역에서 10분 간격 체계적 인터셉트로 2023년 9~11월 2개 시간대 조사(L164-166, L186-187)"
1221,4.2 표본 대표성,N,"18~30세 68.9%·학사 이상 81.3%·관광객 79.7%에 평일만·단일 가로로 한정(L219-224, L272-306)"
1221,4.3 측정 적절,N,핵심 척도 Cronbach alpha 0.641~0.665로 저자도 낮다고 기술하고 KMO도 0.645~0.684(L492-515)
1221,4.4 무응답 편의 낮음,CT,응답률·거부·결측에 관한 보고가 방법부 전반에 전혀 없음(L164-256)
1221,4.5 통계분석 적절,CT,"CATREG·EFA는 적절하나 본문 beta·p값이 Table 4와 불일치하고 Spearman을 R2로 표기(L706-707, L1081-1093)"
