sid,verdict,reason_code,note,doi,title
221,EXCLUDE,E3,"배기가스 건강비용 추정, 음환경 변수 없음",,DIRECT EVALUATION OF ADDITIONAL COSTS TO THE NATIONAL ECONOMY IN THE FORM OF DAMAGE TO HEALTH CAUSED BY EXHAUST GAS EMISSION FROM ROAD TRAFFIC
222,RETRIEVE,,"능동교통수단 이용과 도로교통소음 불쾌감, 역방향 관련",10.1093/eurpub/ckx187.280,Effects of road-traffic nuisance on the active travel modes. What are the consequences?
223,EXCLUDE,E5,학술지 게스트 에디토리얼,,JATI 23 (2) 2018 GUEST EDITORIAL
224,EXCLUDE,E5,"야외극장 셰익스피어 공연 리뷰, 비실증",10.1353/shb.2015.0050,A Midsummer Night’s Dream by Southern Shakespeare Festival (review)
225,EXCLUDE,E1,"생태음향 AI 모니터링, 야생동물 대상",10.3389/fevo.2025.1720295,Cognitive alignment as a pathway to collaborative environmental sound AI in ecological monitoring
226,EXCLUDE,E2,"도로변 사무실·상가 실내 설문, 건강·짜증 결과",10.53555/jaz.v44i1.4699,Noise Pollution: A Public Wellbeing Challenge
227,EXCLUDE,E5,민족음악학 학문사 에세이,10.2307/852107,Impressions of Finnish Music Research
228,EXCLUDE,E2,"건물 바닥 차음성능 비용분석, 실내",10.18607/es20231214923,Financial viability of horizontal sealing elements with different acoustic performance ratings
229,EXCLUDE,E5,르네상스 소리·젠더 도서 서평,10.1093/ahr/rhaf299,Julia Rombough. <i>A Veil of Silence: Women and Sound in Renaissance Italy</i>
230,EXCLUDE,E5,고생물학 공연예술 소개 에세이,10.1093/icb/icy112,Prehistoric Body Theater: Bringing Paleontology Narratives to Global Contemporary Performance Audiences
231,EXCLUDE,E5,석유지대 사운드 인문학 에세이,10.1111/aman.28072,Spectral sonics: Field recordings from an extractive zone
232,EXCLUDE,E2,"광고 배경음악과 구매행동, 옥외 공공공간 아님",10.70121/001c.145123,Usage of Music within Commercial Marketing
233,EXCLUDE,E6,"회계 전문직 목적 논의, 주제 무관",10.1108/aaaj-08-2025-299,Sent to Coventry! Creatively (re)capturing accounting’s purpose
234,EXCLUDE,E5,예측부호화·도시성 조현병 이론 리뷰,10.3389/fpsyt.2025.1574944,“Hell is other people”. Schizophrenia and urbanicity in the light of predictive coding theory
235,EXCLUDE,E7,"독일어 저널, 야간 차량소음 불쾌감",,VEHICLE NOISE NUISANCE IN RESIDENTIAL AREAS OF TOWNS AT NIGHT
236,EXCLUDE,E1,"조류 노래 연구 제목, 초록 메타데이터 오염",10.1103/physrevb.39.9028,The Effects of Anthropogenic Ambient Noise and Habitat Vegetation on Common Yellowthroat Song
237,EXCLUDE,E5,심장학회지 에디토리얼,10.1093/eurheartj/ehv540,Neglected cardiovascular risk factors
238,EXCLUDE,E5,"청각 전문지 칼럼, 비실증",10.1097/01.hj.0000827584.62326.50,‘Safe’ Noise Harms the Brain
239,EXCLUDE,E5,17세기 발라드 음악 도서 서평,10.5325/preternature.5.2.0247,"<i>Damnable Practises: Witches, Dangerous Women, and Music in Seventeenth-Century English Broadside Ballads</i> (Sarah F. Williams)"
240,EXCLUDE,E2,"차량 내 음악과 운전행동, 세팅 제외",10.24115/s2446-6220202173d1736p.440-449,The relation between social actions and auditory music basket of iranian citizens case study: Tehran and Karaj citizens in 2013
241,EXCLUDE,E4,"관광마을 다감각 경험, 결과는 재방문 의도",10.20885/ambr.vol6.iss2.art6,From sensory impressions to revisit intention: Multisensory tourism experiences in East Java’s tourism villages
242,EXCLUDE,E7,"학술대회 프로시딩, 소재 소음저감 공학",,Noise reduction by intelligent materials - the IP InMAR
243,EXCLUDE,E6,"광섬유 자이로스코프, 주제 무관",10.1016/0030-3992(85)90124-0,Fibre optic gyroscopes and monomode optical components
244,EXCLUDE,E3,"통제소재·성격이 노출변수, 음환경 아님",10.21009/ijeem.052.03,Pengaruh Locus of Control dan Kepribadian (Personality) Terhadap Keinginan Untuk Bertindak (Intention to Act) Siswa
245,EXCLUDE,E5,다종 텍스트성 환경인문학 에세이,10.1093/isle/isab024,Multispecies Emergent Textualities: Writing and Reading in Ecologies of Selves
