no,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
532,movement,Mean walking speed (m/s) over whole 1.8-km route - Experiment 1 (November/fall),Forest birdsong vs crowded city noise vs real outdoor noise (birdsong track 56 dB(A); city noise track 53 dB(A)),means_sd,"birdsong mean = 1.56 m/s, SD = 0.17; crowded city noise mean = 1.62 m/s, SD = 0.16; real outdoor noise mean = 1.60 m/s, SD = 0.13",N = 87 (birdsong 27 / city noise 31 / real outdoor 29),RESULTS Experiment 1 - Analysis of walking speed,revealed an overall faster walking speed under the crowded city noise condition compared with the forest birdsong sounds condition,YES
532,movement,Mean walking speed - between-subjects main effect of acoustic condition - Experiment 1,3 acoustic conditions (birdsong / city noise / real outdoor),test_stat,"F2,84 = 0.886, p = .416, eta2 = .021",N = 87,RESULTS Experiment 1,A two-way mixed ANOVA indicated a statistically nonsignificant between-subjects main effect of the condition,YES
532,movement,Mean walking speed - within-subjects effect of route section - Experiment 1,8 route sections (Lday 55-60 to 75-80 dB(A)),test_stat,"F3.209,269.592 = 5.874, p < .001, eta2 = .065, epsilon = .458; interaction condition x section F6.419,269.592 = 0.604, p = .738, eta2 = .014",N = 87,RESULTS Experiment 1,the ANOVA indicated a statistically significant within-subjects main effect of the section of the route,YES
532,movement,Mean walking speed (m/s) by route section - Experiment 1,Birdsong vs city noise vs real outdoor per section 1-8,means_sd,"section 1: 1.53 (0.18) / 1.61 (0.20) / 1.59 (0.14); section 6: 1.59 (0.18) / 1.65 (0.22) / 1.61 (0.13); section 8: 1.59 (0.20) / 1.64 (0.17) / 1.61 (0.13)",n = 27 / 31 / 29,Table 2,The mean walking speeds (m/s) in specific sections of the route in Experiment 1,YES
532,movement,Mean walking speed (m/s) over whole route - Experiment 2 (May/spring),Forest birdsong vs crowded city noise vs real outdoor noise,means_sd,"birdsong mean = 1.49 m/s, SD = 0.11; crowded city noise mean = 1.61 m/s, SD = 0.15; real outdoor noise mean = 1.62 m/s, SD = 0.20",N = 65 (birdsong 19 / city noise 24 / real outdoor 22),RESULTS Experiment 2 - Analysis of walking speed,Listening to the soundtrack with birdsongs decreased walking speed but this effect was significant only in the experiment conducted in spring,YES
532,movement,Mean walking speed - between-subjects effect of acoustic condition and post hoc - Experiment 2,Birdsong vs city noise; birdsong vs real outdoor; city noise vs real outdoor,test_stat,"F2,62 = 3.290, p = .044, eta2 = .096; Games-Howell: birdsong vs city noise p = .026; birdsong vs real outdoor p = .067; city noise vs real outdoor p = .981",N = 65,RESULTS Experiment 2,participants listening to the crowded city noise walked statistically significantly faster on the route than participants listening to forest birdsong sounds,YES
532,movement,Mean walking speed - within-subjects effect of route section - Experiment 2,8 route sections,test_stat,"F2.128,131.915 = 4.818, p = .008, eta2 = .072, epsilon = .304; interaction F4.255,131.915 = 0.476, p = .765, eta2 = .015",N = 65,RESULTS Experiment 2,There was no statistically significant interaction between the acoustic condition and the section of the route,YES
532,movement,Mean walking speed (m/s) by route section - Experiment 2,Birdsong vs city noise vs real outdoor per section 1-8,means_sd,"section 1: 1.48 (0.18) / 1.55 (0.26) / 1.60 (0.22); section 5: 1.52 (0.11) / 1.63 (0.16) / 1.64 (0.21); section 8: 1.50 (0.25) / 1.62 (0.16) / 1.62 (0.21)",n = 19 / 24 / 22,Table 4,The mean walking speeds (m/s) in specific sections of the route in Experiment 2,YES
532,other,Walk experience rating It was a pleasant time (1-7 Likert) - Experiment 1,Birdsong vs city noise vs real outdoor,means_sd,"birdsong 5.77 (0.95); crowded city noise 4.54 (1.44); real outdoor 5.26 (1.60); F2,70 = 5.211, p = .008, eta2 = 0.13",n = 73 who answered the evaluation items,Table 3 + RESULTS Experiment 1,The walk was a more pleasant experience for the participants who listened to forest birdsong sounds than for those under the crowded city noise condition,YES
532,other,Walk experience rating It was a pleasant time (1-7 Likert) - Experiment 2,Birdsong vs city noise vs real outdoor,means_sd,"birdsong 5.50 (1.26); crowded city noise 4.13 (1.98); real outdoor 5.27 (1.45); F2,58 = 4.199, p = .020, eta2 = 0.13",n = 61 who answered the evaluation items,Table 5 + RESULTS Experiment 2,agreement with the statement It was a pleasant time was statistically significantly influenced by the type of acoustic condition,YES
532,other,Rating The sounds I listened to from my headphones bothered me (1-7 Likert),Crowded city noise vs forest birdsong,test_stat,"Exp 1: t = 5.653, p < .001, Cohen's d = 1.581 (birdsong 1.65 (1.16) vs city noise 4.62 (2.39)); Exp 2: t = 5.486, p < .001, Cohen's d = 1.858 (1.63 (1.26) vs 4.78 (2.04))",Exp 1 n = 73; Exp 2 n = 61,Tables 3 and 5 + RESULTS,The traffic noise bothered the participants more than the forest birdsong sounds,YES
539,reverse-acoustic,Perceived occurrences (POS) of individual sounds (3-point scale),Length of stay (short <1 h / medium 1-3 h / long >3 h),correlation,"street traffic rho = -0.153**, bird song 0.160**, insects 0.111*",N = 400 (100 per site x 4 green spaces),Table 4,the longer people stay in the green spaces the more they could perceive bird song and sounds of insects,YES
539,reverse-acoustic,Perceived loudness (PLS) of individual sounds (3-point scale),Length of stay,correlation,"playing children rho = -0.390**, tree rustling -0.200**, street traffic -0.193**",N = 400 overall but loudness rated only by those who perceived the sound - subsample n not reported,Table 4,When people stayed longer at the green spaces they tended to perceive playing children street traffic sound and tree rustling much quieter,NO
539,reverse-acoustic,Preference for street traffic sound (PRE) and overall soundscape preference (5-point),Length of stay,correlation,"street traffic PRE rho = 0.163**; overall soundscape preference rho = 0.240**; also occupation 0.115* and residential status -0.223**",N = 400,Table 4 + Section 3.2.2,occupation residential status and length of stay showed significant relationships but with low correlation coefficients of 0.115 -0.223 and 0.240,YES
539,reverse-acoustic,Perceived occurrences (POS) of individual sounds,Visit frequency (low / medium / high),correlation,"surrounding speech rho = -0.170**, wind blowing -0.171**, footsteps -0.126*, bird song 0.109*, dog barking 0.176*",N = 400,Table 4,visit frequency was the most strongly associated with the perceived occurrences of individual sounds significantly related with five kinds of sound,YES
539,reverse-acoustic,Perceived occurrences and loudness of individual sounds,Visit motivation Physical activities (PA),correlation,"POS: street traffic rho = -0.176**, playing children 0.239**, bird song 0.144**, dog barking 0.134**, motorcycle noise -0.108*, wind blowing -0.114*, water sound -0.103*; PLS street traffic -0.133*",N = 400; PA selected by 134 respondents,Table 6,For people who came for physical activities they had a higher sensitive degree to bird song dog barking and playing children,YES
539,social,Perceived occurrences of surrounding speech and sound preference,Visit motivation Social purpose (SP),correlation,"POS surrounding speech rho = 0.156**; PRE bird song -0.200**; PLS playing children -0.322*, dog barking -0.393*; overall soundscape preference 0.117*",N = 400; SP selected by 62 respondents,Table 6,People who came to the green spaces for social purpose showed almost no relationship with the perceived occurrences of individual sounds except surrounding speech,YES
539,reverse-acoustic,Overall soundscape preference (5-point scale),Five visit motivations (SR / ES / EQ / PA / SP),correlation,"EQ rho = 0.323**, ES 0.226**, PA 0.211**, SR 0.163**, SP 0.117*; visual landscape preference EQ 0.266**, SR 0.233**, ES 0.228**, PA 0.132**, SP 0.117*",N = 400,Table 6,All the five visit motivations were positively related to overall soundscape preference,YES
539,staying,Length of stay in green space (short / medium / long) as behavioural outcome,Visit motivation categories,correlation,"EQ rho = 0.397**, ES 0.353**, SR 0.288**, SP 0.186**, PA 0.154**",N = 400,Table 5,age and length of stay both showed significant relationships with all the five visit motivations,YES
539,reverse-acoustic,Overall soundscape preference vs perceived occurrences (POS) of individual sounds,Sound source POS,correlation,"street traffic rho = -0.467**, bird song 0.286**, motorcycle noise -0.205**, tree rustling 0.204**, playing children 0.178**, insects 0.166**, surrounding speech 0.108*",N = 400,Table 7,too much street traffic sound and motorcycle noise sound could impair soundscape quality,YES
