no,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
1242,reverse-acoustic,"Perceived soundscape restorativeness (PRSS): Fascination, Being-away-to, Being-away-from, Compatibility",Visit duration 30-60 min vs 1-3 h (behaviour as predictor of soundscape restorativeness),means_sd,3.40 ± 0.40 vs. 3.98 ± 0.35,N=201 valid of 230 distributed questionnaires; per-group n NR,Section 3.2 (post hoc of Table 4/Table 5),significant differences emerged between visits lasting 30 ~ 60 min and those lasting 1 ~ 3 h,NO
1242,reverse-acoustic,PRSS Fascination; PRSS Compatibility,"Visit duration (curve estimation, linear trend)",regression,"YFascination = 0.151XDuration + 3.582, p = 0.006; YCompatibility = 0.118XDuration + 3.112, p = 0.035",N=201 valid of 230 distributed questionnaires; per-group n NR,Section 3.2 (curve estimation),"Regarding visit duration, a positive linear relationship was observed for Fascination and Compatibility",NO
1242,reverse-acoustic,"PRSS Compatibility, Coherence, Scope","Physical activity intensity (curve estimation, linear trend)",regression,"YCompatibility = −0.108XActivity + 3.827, p = 0.003; YCoherence = −0.103XActivity + 3.921, p = 0.012; YScope = −0.166XActivity + 3.484, p = 0.016",N=201 valid of 230 distributed questionnaires; per-group n NR,Section 3.2 (curve estimation),negative linear relationships were identified between activity intensity and restoration scores,NO
1242,reverse-acoustic,PRSS Coherence,"Visit frequency (curve estimation, linear trend)",regression,"YCoherence = 0.113XFrequency + 3.272, p = 0.043",N=201 valid of 230 distributed questionnaires; per-group n NR,Section 3.2 (curve estimation),a positive linear relationship was found between visit frequency and coherence,NO
1242,reverse-acoustic,"PRSS Fascination, Compatibility, Coherence",Low-intensity vs relatively high-intensity activity,means_sd,3.95 ± 0.36 vs. 3.52 ± 0.39,N=201 valid of 230 distributed questionnaires; per-group n NR,Section 3.2,"restoration scores for Fascination, Compatibility, and Coherence were significantly higher in low-intensity activities",NO
1242,reverse-acoustic,PRSS Being-away-to,Low-intensity vs relatively low-intensity activity,means_sd,3.93 ± 0.30 vs. 3.07 ± 0.47,N=201 valid of 230 distributed questionnaires; per-group n NR,Section 3.2,"for Being-away-to, significantly higher scores were found in low-intensity compared with relatively low-intensity activities",NO
1242,reverse-acoustic,"PRSS Fascination, Compatibility, Coherence, Scope",Visit frequency almost every week vs less frequent (monthly to first time),means_sd,2.85 ± 0.25 vs. 3.60 ± 0.48,N=201 valid of 230 distributed questionnaires; per-group n NR,Section 3.2,Individuals who visited nearly every week reported significantly lower scores compared with those who visited every month or so,NO
1242,reverse-acoustic,"PRSS Being-away-from, Compatibility, Coherence",Visit purpose fitness activities vs mental relaxation/sightseeing/social gathering,means_sd,3.45 ± 0.37 vs. 3.81 ± 0.40,N=201 valid of 230 distributed questionnaires; per-group n NR,Section 3.2,participants who engaged in fitness-related activities reported significantly lower scores than those whose motivations were related to mental relaxation,NO
1242,reverse-acoustic,PRSS components (CATREG standardized coefficients),"Behavioural predictors: visit duration, activity intensity, visit frequency",regression,"Duration→Fascination Beta = 0.313, Std.error 0.110, DF 2, F = 8.144, Sig. 0.000, Importance 0.316; Duration→Being-away-to Beta = 0.345, 0.091, F = 14.303, Sig. 0.000; Activity intensity→Compatibility Beta = −0.282, 0.070, F = 16.242, Sig. 0.000; Frequency→Scope Beta = 0.215, 0.112, F = 3.672, Sig. 0.013",N=201 valid of 230 distributed questionnaires; per-group n NR,Table 7 (CATREG combined model),"visit duration and activity intensity were the strongest predictors of Fascination, Being-away-to, Being-away-from, and Compatibility",YES
1242,other,PRSS overall score by first dominant sound,Traffic noise vs natural sounds (sea waves or wind),means_sd,3.38 ± 0.38 vs. 4.17 ± 0.32,N=201 valid of 230 distributed questionnaires; per-group n NR,Section 3.3 (post hoc of Fig. 6),the restoration scores for traffic noise were significantly lower than those for natural sounds when sea waves or wind dominated,NO
1242,other,PRSS Fascination,Traffic noise vs anthropogenic sounds (human speech and music),means_sd,3.55 ± 0.57 vs. 4.16 ± 0.31,N=201 valid of 230 distributed questionnaires; per-group n NR,Section 3.3,were also lower than those for anthropogenic sounds such as human speech and music for Fascination,NO
1242,other,PRSS Compatibility,Human/music sounds vs wind; sea waves and wind vs seagulls,means_sd,3.50 ± 0.34 vs. 4.33 ± 0.24; 3.97 ± 0.30 vs. 3.32 ± 0.38,N=201 valid of 230 distributed questionnaires; per-group n NR,Section 3.3,human-related and music sounds resulted in significantly lower scores than wind-dominated soundscapes for Compatibility,NO
1242,other,Measured ambient sound level of survey zones (exposure context),Zone A memorial / B recreational / C sidewalk / D playground,none,"LAeq 60.83, 61.78, 65.62, 69.14 dBA; LAmax 74.71, 74.09, 77.62, 80.89; exclusion threshold 73 dBA",N=201 valid of 230 distributed questionnaires; per-group n NR,Table 1,the average measured LAeq at the surveyed locations ranged from 60.83 to 69.14 dBA,NO
1258,social,"Frequency of one-to-one person behaviour (FOB), video observation",Acoustic evaluation (AE) in enclosed plazas (Spearman),correlation,rho = 0.753 * (VE 0.355; TE 0.355),554 valid of 587 questionnaires; n for behaviour-evaluation correlations/regressions NR,Table 4,both AE and TE had a positive impact on FOB at the enclosed and semi-enclosed plazas,NO
1258,social,Frequency of one-to-one person behaviour (FOB),AE / TE / VE in semi-enclosed plazas (Spearman),correlation,AE rho = −0.388 (n.s.); TE rho = 0.597 *; VE rho = 0.121,554 valid of 587 questionnaires; n for behaviour-evaluation correlations/regressions NR,Table 4,TE had a more significant positive impact on FOB in the semi-enclosed plazas than AE did,NO
1258,social,"Proportion of duration of multi-person behaviour (MPB, %)",AE in semi-enclosed plazas (Spearman),correlation,rho = −0.610 * (VE 0.308; TE −0.063),554 valid of 587 questionnaires; n for behaviour-evaluation correlations/regressions NR,Table 4,"both VE and AE were negatively correlated with OPB and MPB, respectively (p < 0.05)",NO
1258,social,"Proportion of duration of one-to-one person behaviour (OPB, %)",VE / AE in semi-enclosed plazas (Spearman),correlation,VE rho = −0.574 *; AE rho = 0.014; TE rho = −0.159,554 valid of 587 questionnaires; n for behaviour-evaluation correlations/regressions NR,Table 4,people preferred artificial sounds with high sound pressure levels to immerse themselves in interactive activities,NO
1258,social,"Frequency of one-to-one person behaviour (FOB), enclosed plazas",AE and TE as predictors (multiple linear regression),regression,"AE: Adj R2 = 0.696, β = 0.744, p = 0.005; TE: β = 0.568, p = 0.018",554 valid of 587 questionnaires; n for behaviour-evaluation correlations/regressions NR,Table 5,"the impact of AE on FTB (AdjR2 = 0.696, β = 0.744, p < 0.01) was stronger than that of TE on FOB",NO
