no,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
1069,social,"SP(P): Social Participation, paired (% of subjects engaged in paired social interaction)","Mixed birdsong vs Water sounds vs Traffic noise vs Construction noise vs Control (in-situ loudspeaker intervention, community activity space)",means_sd,"Mixed birdsong 51.21 (SD 23.58); Water sounds 43.60 (18.85); Traffic noise 34.94 (16.67); Construction noise 39.02 (17.41); Control 42.88 (18.62), all %","Unit = 10-min video excerpt: birdsong 37, water 36, traffic 39, construction 34, control 36 (182 valid excerpts); total subjects 410/417/457/424/352",Table 2,The average SP (P) ranged from 34.94 % (traffic noise) to 51.21 % (mixed birdsong),YES
1069,social,"SP(G): Social Participation, grouped (% of subjects engaged in grouped social interaction)",Mixed birdsong vs Water sounds vs Traffic noise vs Construction noise vs Control,means_sd,"Mixed birdsong 19.16 (SD 24.75); Water sounds 27.66 (25.46); Traffic noise 13.84 (18.03); Construction noise 18.88 (20.87); Control 11.11 (17.88), all %","Excerpts: 37 / 36 / 39 / 34 / 36",Table 2,the average SP (G) varied from 11.11 % (control) to 27.66 % (water sound),YES
1069,social,SP(P) and SP(G) omnibus difference across five sound conditions,Kruskal-Wallis H test across 5 sound intervention groups,test_stat,"SP(P): chi2 (4) = 14.324, p = .006; SP(G): chi2 (4) = 10.623, p = .031","N = 37 / 36 / 39 / 34 / 36 excerpts (182 total)",Section 3.1,significant differences in the mean rank of SP (P) scores among the groups as well as significant differences in SP (G) scores,NO
1069,social,SP(P) pairwise contrast (proportion of residents in paired social interaction),Traffic noise vs Mixed birdsong (Dunn pairwise with Bonferroni correction),correlation,"mean ranks Traffic 69.91 vs Birdsong 113.58; test statistic 43.671; std. test statistic 3.617; p = .003 (adjusted); r = 0.41","traffic N = 39, birdsong N = 37 excerpts",Section 3.1 and Table 3,significant differences in SP (P) mean rank scores between the Traffic Noise group (69.91) and the Mixed Birdsong group (113.58),YES
1069,social,SP(G) pairwise contrast (proportion of residents in grouped social interaction),Control vs Water sounds (Dunn pairwise with Bonferroni correction),correlation,"mean ranks Control 75.94 vs Water 110.79; test statistic 34.847; std. test statistic 3.030; p = .024 (adjusted); r = 0.36","control N = 36, water N = 36 excerpts",Section 3.1 and Table 4,significant variations in SP (G) mean rank scores between the Control (75.94) and Water Sounds (110.79) groups,YES
1069,social,OSI-P(P): occurrence of prolonged paired social interactions per subject,Mixed birdsong vs Water vs Traffic vs Construction vs Control,means_sd,"Mixed birdsong 0.61 (SD 0.40); Water sounds 0.46 (0.24); Traffic noise 0.35 (0.21); Construction noise 0.35 (0.20); Control 0.47 (0.32)","Excerpts 37 / 36 / 39 / 34 / 36; prolonged interaction counts 269 / 195 / 155 / 163 / 170",Table 5,OSI-P (P) from 0.35 (traffic/construction noise) to 0.61 (mixed birdsong),YES
1069,social,OSI-P(G): occurrence of prolonged grouped social interactions per subject,Mixed birdsong vs Water vs Traffic vs Construction vs Control,means_sd,"Mixed birdsong 0.19 (SD 0.26); Water sound 0.30 (0.29); Traffic noise 0.13 (0.18); Construction noise 0.20 (0.24); Control 0.11 (0.18)","Excerpts 37 / 36 / 39 / 34 / 36; prolonged interaction counts 78 / 139 / 68 / 114 / 50",Table 5,OSI-P(G) from 0.11 (control) to 0.30 (water sound),YES
1069,social,OSI-B(P): occurrence of brief (under 30 s) paired social interactions per subject,Mixed birdsong vs Water vs Traffic vs Construction vs Control,means_sd,"Mixed birdsong 0.10 (SD 0.20); Water sounds 0.06 (0.10); Traffic noise 0.05 (0.09); Construction noise 0.06 (0.08); Control 0.07 (0.14)","Excerpts 37 / 36 / 39 / 34 / 36; brief interaction counts 39 / 28 / 24 / 26 / 28",Table 5,The average OSI-B (P) ranged from 0.05 (traffic noise) to 0.10 (mixed birdsong),YES
1069,social,OSI-B(G): occurrence of brief grouped social interactions per subject,Mixed birdsong vs Water vs Traffic vs Construction vs Control,means_sd,"Mixed birdsong 0.03 (SD 0.09); Water sound 0.02 (0.04); Traffic noise 0.01 (0.06); Construction noise 0.01 (0.03); Control 0.02 (SD printed as 006 in source - probable typo for 0.06)","Excerpts 37 / 36 / 39 / 34 / 36; brief interaction counts 15 / 9 / 8 / 6 / 10",Table 5,OSI-B (G) from 0.01 (traffic/construction noise) to 0.03 (mixed birdsong),YES
1069,social,OSI-P omnibus difference across five sound conditions,Kruskal-Wallis H test across 5 sound intervention groups,test_stat,"OSI-P (P): chi2 (4) = 16.224, p = .003; OSI-P (G): chi2 (4) = 11.524, p = .021",N = 182 excerpts (37/36/39/34/36),Section 3.2,significant differences in the mean rank of OSI-P (P) scores among the groups as well as significant differences in OSI-P (G) scores,NO
1069,social,OSI-P(P) pairwise contrasts (prolonged paired interactions),Traffic noise vs Birdsong; Construction noise vs Birdsong (Dunn with Bonferroni),correlation,"Traffic (72.77) vs Birdsong (115.01): p = .005, r = 0.40; Construction (75.63) vs Birdsong: p = .016, r = 0.37","traffic 39, construction 34, birdsong 37 excerpts",Section 3.2 and Table 6,between the Traffic Noise group (72.77) and the Mixed Birdsong group (115.01) with r = 0.40 showing a medium to large effect size,YES
1069,social,OSI-P(G) pairwise contrast (prolonged grouped interactions),Control vs Water sounds (Dunn with Bonferroni),correlation,"Control (76.11) vs Water Sounds (1101.50 - printed thus in source, probable typo); p = .002, adjusted p = .020; r = 0.36","control 36, water 36 excerpts",Section 3.2 and Table 7,significant variations in OSI-P (G) mean rank scores between the Control (76.11) and Water Sounds groups,YES
1069,social,OSI-B (brief interactions) omnibus difference - null result,Kruskal-Wallis H test across 5 sound intervention groups,test_stat,"OSI-B(P): chi2 (4) = 3.998, p = .406 (mean ranks traffic 82.08, water 86.76, construction 92.41, control 94.90, birdsong 101.89); OSI-B(G): chi2 (4) = 3.529, p = .473 (traffic 84.58, construction 89.82, control 92.11, water 94.31, birdsong 97.01)",N = 182 excerpts,Section 3.2,these differences did not reach statistical significance,NO
1069,staying,DSI(P): depth of paired social interaction (% of total time spent in area),Mixed birdsong vs Water vs Traffic vs Construction vs Control,means_sd,"Mixed birdsong 29.54 (SD 16.78); Water sounds 23.74 (17.57); Traffic noise 20.15 (17.63); Construction noise 22.69 (17.84); Control 25.37 (17.44), all %","Excerpts 37/36/39/34/36; total time spent 2472.0 / 2390.9 / 2795.0 / 2531.0 / 2239.0 min",Table 8,The average DSI (P) ranged from 20.15 % (traffic noise) to 29.54 % (mixed birdsong),YES
1069,staying,DSI(G): depth of grouped social interaction (% of total time spent in area),Mixed birdsong vs Water vs Traffic vs Construction vs Control,means_sd,"Mixed birdsong 11.49 (SD 17.57); Water sounds 12.71 (18.06); Traffic noise 8.50 (14.37); Construction noise 11.81 (15.48); Control 5.68 (12.09), all %","Excerpts 37/36/39/34/36; total interaction duration 306.6 / 389.2 / 284.8 / 401.3 / 165.4 min",Table 8,the average DSI (G) ranged from 5.68 % (control) to 12.71 % (water sound),YES
1069,staying,DSI omnibus difference across five sound conditions - null result,Kruskal-Wallis H test across 5 sound intervention groups,test_stat,"DSI(P): chi2 (4) = 7.262, p = .122 (mean ranks traffic 77.76, construction 86.06, water 89.76, control 95.42, birdsong 108.86); DSI(G): chi2 (4) = 7.823, p = .0.98 (printed thus in source)",N = 182 excerpts,Section 3.3,alterations in the acoustic environment did not significantly influence the residents time spent on social interactions,NO
1069,social,Percent change in social interactions attributed to sound intervention (abstract wording),Birdsong vs Traffic noise (paired); Water sound vs Control (grouped),percent,"birdsong increased paired social interactions by 16.3 %; water sound increased grouped social interactions by 16.6 %; prolonged pair interactions +0.26 occurrences (birdsong); prolonged group +0.19 occurrences (water)",182 excerpts / 2060 subjects,Abstract,Birdsong interventions increased paired social interactions by 16.3 % compared to traffic noise while water sound interventions increased grouped social interactions by 16.6 %,NO
1069,social,Percent change restated in conclusion (values differ from abstract - inconsistency flag),Birdsong vs comparator (paired); Water vs comparator (grouped),percent,"birdsong increased paired socially interactive residents by about 11 %; water sounds increased grouped socially interactive residents by about 12 %; birdsong +about 0.2 occurrences per person; water +about 0.14 occurrences per person",182 excerpts,Section 5 Conclusion,birdsong interventions increased paired socially interactive residents by about 11 % while water sounds increased grouped socially interactive residents by about 12 %,NO
1069,other,Exposure level context for the sound conditions (not a behavioural outcome),Background vs intervention sound pressure level,none,"background L90 46.3 dB(A) Site A and 49.4 dB(A) Site B; intervention sounds set to exceed these by 5-10 dB; control mean SPL 54.6 dB (Site A, max 3.8 dB below intervention conditions) and 58.8 dB (Site B, max 0.6 dB below)","2 sites, 14 days, 210 min per sound condition per site",Sections 2.4 and 2.5,Intervention sounds were set to exceed these levels by 5-10 dB to ensure perceptible changes without affecting behaviour,NO
1076,staying,Static behaviour (sitting/resting/relaxation B1 and contact with nature B2; self-reported match 1-7),Soundscape pleasantness and eventfulness as SEM predictors (model M1),regression,"Pleasantness to Static behaviour beta = 0.35, SE = 0.10, C.R. = 3.38, p < 0.001; Eventfulness to Static behaviour beta = 0.26, SE = 0.10, C.R. = 2.48, p = 0.013",N = 419 valid questionnaires (5 urban parks Fuzhou),Table 8 (model M1),Soundscape pleasantness had a positive effect on static behavior (beta = 0.350 p < 0.001),YES
1076,space-use,Dynamic behaviour (facility activities B4 and site activities B5; self-reported match 1-7),Soundscape pleasantness and eventfulness as SEM predictors (model M1),regression,"Eventfulness to Dynamic behaviour beta = 0.26, SE = 0.17, C.R. = 2.08, p = 0.037; Pleasantness to Dynamic behaviour beta = -0.01, SE = 0.17, C.R. = -0.04, p = 0.967",N = 419,Table 8 (model M1),soundscape eventfulness positively influenced both static and dynamic behavior and had no significant effect on moving behavior,YES
1076,movement,Moving behaviour (strolling/running/passing-by; B9 passing-by retained; self-reported match 1-7),Soundscape pleasantness and eventfulness as SEM predictors (model M1) - null result,regression,"Pleasantness to Moving behaviour beta = -0.09, SE = 0.18, C.R. = -0.81, p = 0.420; Eventfulness to Moving behaviour beta = 0.15, SE = 0.18, C.R. = 1.39, p = 0.164",N = 419,Table 8 (model M1),soundscape characteristics did not show an apparent effect on moving behavior,YES
1076,staying,Static and dynamic behaviour re-estimated in the mediation model M2,Soundscape pleasantness and eventfulness as SEM predictors (model M2),regression,"Pleasantness to Static beta = 0.35, SE = 0.1, C.R. = 3.36, p < 0.001; Eventfulness to Static beta = 0.25, SE = 0.1, C.R. = 2.43, p = 0.015; Eventfulness to Dynamic beta = 0.23, SE = 0.08, C.R. = 4.41, p < 0.001",N = 419,Table 12 (model M2),Both soundscape pleasantness and eventfulness had positive effects on the SRE as well as on static behavior,YES
1076,other,Soundscape restorative experience (SRE) - outcome is perceived restoration not behaviour,Behaviour type as predictor of SRE (model M2),regression,"Static behaviour to SRE beta = 0.12, SE = 0.05, C.R. = 2.65, p = 0.008; Dynamic behaviour to SRE beta = 0.06, SE = 0.02, C.R. = 1.7, p = 0.089; Pleasantness to SRE beta = 0.47, SE = 0.07, C.R. = 6.50, p < 0.001; Eventfulness to SRE beta = 0.31, SE = 0.07, C.R. = 4.32, p < 0.001",N = 419,Table 12 (model M2),static behavior positively impacted the SRE suggesting that a mediating effect may exist in model M2,YES
1076,staying,Latent-variable correlations between soundscape characteristics and behaviour types (model M1),Soundscape pleasantness (SSP) and eventfulness (SSE) with static / dynamic / moving behaviour,correlation,"SSP-Static 0.564; SSE-Static 0.548; SSP-Dynamic 0.208; SSE-Dynamic 0.252; SSP-Moving 0.039; SSE-Moving 0.079",N = 419,Table 6 (discriminant validity of M1),The values on the diagonal are the average variance extracted (AVE) for the corresponding latent variables,YES
1076,staying,Latent-variable correlations re-estimated in model M2,Soundscape pleasantness and eventfulness with static / dynamic behaviour and SRE,correlation,"SSP-Static 0.558; SSE-Static 0.542; SSP-Dynamic 0.129; SSE-Dynamic 0.23; SSP-SRE 0.800; SSE-SRE 0.774; Static-SRE 0.552; Dynamic-SRE 0.232",N = 419,Table 10 (discriminant validity of M2),Discriminant validity test for model M2,YES
