no,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
964,space-use,"Behavior vitality V (diversity and intensity of activity; 5-point Likert, mean of 4 surveyors) vs perceived natural sound dominance S4",9 measurement spots in Jiangjia Art Garden differing in natural/traffic sound dominance,means_sd,Spot1 V=2.0 S4=4.9 S1=3.5; Spot2 V=4.0 S4=3.9 S1=2.5; Spot3 V=2.0 S4=4.0 S1=3.1; Spot4 V=1.0 S4=3.7 S1=4.1; Spot5 V=3.0 S4=4.5 S1=4.5; Spot6 V=0.0 S4=4.3 S1=4.6; Spot7 V=1.0 S4=3.8 S1=2.4; Spot8 V=1.0 S4=4.8 S1=3.8; Spot9 V=3.0 S4=4.9 S1=3.8; site mean V=1.9 S4=4.3 S1=3.6,9 spots; 139 valid responses (approx. 15 per spot) from 20 subjects; V has no Std. Dev. reported (dash in table),Table 2 (Descriptive analysis of the obtained data),The mean value of four surveyors ratings was then calculated as the results of behavior vitality for each spot,NO
964,space-use,Behavior vitality V regression model; sound sources not retained as predictors (null for sound-behavior link),woodland (Wo) and grassland (G) visible area % as predictors of vitality,regression,V = 3.002 + 0.058 x Wo - 0.029 x G; R2 = 0.613; woodland p = 0.000 < 0.05; grassland p = 0.000 < 0.05,9 spots (spot-level model); no SE reported for coefficients,"Section 3.3, Eq. (1)",behavior vitality in research sites is only affected by the visual components of nature,NO
964,other,"Emotional response (E1 pleasantness, E2 agreeableness, E3 calm, E4 overall satisfaction) vs perceived sound-source dominance",traffic sound (S1) and natural sound (S4) dominance; Pearson correlation,correlation,S1: E1 r=-0.436 p=0.000; E2 r=0.481 p=0.000; E3 r=-0.291 p=0.000; E4 r=-0.380 p=0.000. S4: E1 r=0.220 p=0.009; E2 r=0.008 p=0.927; E3 r=0.175 p=0.038; E4 r=0.298 p=0.000. S3 anthropologic: E1 r=0.238 p=0.004; E4 r=0.322 p=0.000,"n = 139 valid responses (20 subjects x 9 spots; 180 collected, 41 removed)",Table 3,Correlational analysis between the emotional responses and aural-visual indicators,YES
964,other,"Linear models of emotional response on sound sources (B, SE, t, p)","E1 pleasantness and E4 overall satisfaction predicted by traffic sound S1, natural sound S4, hardscape H, woodland Wo",regression,E1 R2=0.342: constant B=3.225 SE=0.408 t=7.909 p=0.000; S1 B=-0.385 SE=0.066 t=-5.824 p=0.000; S4 B=0.273 SE=0.083 t=3.277 p=0.001; H B=0.019 SE=0.009 t=2.110 p=0.037. E4 R2=0.434: constant B=3.513 SE=0.199 t=17.609 p=0.000; S1 B=-0.266 SE=0.029 t=-9.129 p=0.000; S4 B=0.220 SE=0.044 t=4.948 p=0.000; Wo B=-0.10 SE=0.003 t=-3.66 p=0.000,"n = 139 valid responses; NOTE internal discrepancy: Eq. (2) prints S1 as 0.384 vs Table 4 -0.385, and Eq. (5) prints Wo as -0.01 vs Table 4 -0.10; Table 4 values transcribed here",Table 4 (Model fit and estimation of B coefficients of models),Model fit and estimation of B coefficients of models,YES
971,movement,Crowd (walking) speed under thermal-acoustic interaction,"grass cutting vs natural condition (no played sound) vs music, at low / moderate / high heat",means_sd,"Low heat: grass cutting 1.348, natural condition 1.301, music 1.243. Moderate heat: grass cutting 1.57, natural 1.39, music 1.378. High heat: grass cutting 1.105, natural 1.031, music 1.077","9 condition cells; persons observed per cell 97/130/153/86/143/102/79/97/102 (Table 2); no SD reported; 20-min covert videos, 3 sets per interval",Table 2; Section 3.5.1; Figure 7; Tables 13-14 (homogeneous subsets),"under low heat, the crowd speed was highest under the grass-cutting condition at 1.348",NO
971,movement,"Crowd speed - ANOVA main and interaction effects, plus Spearman correlations",sound type (3 levels) x temperature level (3 levels),test_stat,Sound SS=1.104 df=2 MS=0.552 F=15.475 p=0.000; Temperature SS=10.920 df=2 MS=5.460 F=153.035 p=0.000; Sound x Temp SS=0.517 df=4 MS=0.129 F=3.620 p=0.006. Spearman: sound type vs speed -0.177 p=0.000; temperature level vs speed -0.367 p=0.000,error df and participant n not reported; Table 2 implies 989 persons across the 9 cells,Table 11 (correlations); Table 12 (ANOVAs of the crowd speed),pleasant soundscapes can attract tourists to slow down their pace to better appreciate the park experience,NO
971,staying,Number of persons staying (counts) under thermal-acoustic interaction,"grass cutting vs natural condition vs music, at low / moderate / high heat",percent,"Low heat: grass cutting 4, natural condition 6, music 8. Moderate heat: grass cutting 0, natural 5, music 10. High heat: grass cutting 0, natural 0, music 0","counts of staying instances per observation cell (20-min videos, 3 sets per interval); denominator of passers-by given as Number of People in Table 2",Table 2; Section 3.3.1; Figure 5,"Under moderate heat, there were 0 instances under the grass-cutting sound, 5 instances under the natural condition, and 10 instances under the music sound",NO
971,staying,Number of persons staying - Spearman correlations with sound type and temperature,sound type and temperature level vs number of persons staying; also temperature within each sound type,correlation,Sound type vs persons staying 0.523 p=0.149; Temperature level vs persons staying -0.688 p=0.040. Temperature vs staying under grass cutting -0.866 p=0.333; under natural condition -1.000 p=0.000; under music -0.500 p=0.667,correlations computed over aggregated condition cells (9 overall; 3 per sound type); participant-level n not stated,Table 5; Table 6,"the higher the temperature, the lower the tourists willingness to stay and appreciate the scenery",NO
971,space-use,"Number of people (crowd flow / attraction, counts) under thermal-acoustic interaction","grass cutting vs natural condition vs music, at low / moderate / high heat",percent,"Low heat: grass cutting 97, natural condition 130, music 153. Moderate heat: 86, 143, 102. High heat: 79, 97, 102. Spearman: sound type vs number of people 0.718 p=0.030; temperature vs number -0.505 p=0.166; temperature vs number under grass cutting -1.000 p=0.000; under natural -0.500 p=0.667; under music -0.866 p=0.333",989 persons total across 9 cells; correlations over aggregated cells; no SD,Table 2; Table 3; Table 4; Figure 4,The analysis showed a correlation coefficient of 0.718 (p = 0.03 < 0.05) between sound types and the number of people,NO
971,movement,Path offset (deviation of walking path toward or away from the sound source),"grass cutting vs natural condition vs music, at low / moderate / high heat",means_sd,"Grass cutting: low 0.128, moderate 0.179, high 0.349. Natural condition: low 0, moderate 0, high 0.02. Music: low -0.015, moderate -0.196, high -0.118. Spearman: sound type vs path offset -0.336 p=0.000; temperature vs path offset 0.072 p=0.112",9 condition cells; no SD reported; participant-level n not stated,Table 2; Table 7; Figure 6; Tables 9-10 (homogeneous subsets),"good soundscapes can attract tourists to approach the sound source, while undesirable sounds make visitors feel uneasy and stay away",NO
