no,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
665,movement,"crowd average walking speed (m/s), UAV observation","sound condition main effect (no played sound vs music vs fan sound)",test_stat,"Sound: Type III SS=56.912, df=2, MS=28.456, F=18.044, Sig.=.000; Corrected model F=7.976, df=5, Sig.=.000","speed samples n=235 total (no-sound 38, music 38, fan 39 without odour; 40/42/38 with odour)","Table 3 (Multi-factor ANOVA of average speed)","music significantly reduced crowd speed (p = 0.046 < 0.05)",NO
665,movement,"crowd average walking speed (m/s)","with vs without bakery odour (main effect)",test_stat,"Odour: Type III SS=6.880, df=1, MS=6.880, F=4.363, Sig.=.038","n=235 speed samples (117 without odour, 120 with odour)","Table 3","crowd speed was significantly higher with odour than without odour",YES
665,movement,"crowd average walking speed (m/s)","sound x odour interaction",test_stat,"Sound * Odour: Type III SS=.151, df=2, MS=.075, F=.048, Sig.=.953",n=235 speed samples,"Table 3","the interaction effect between sound and odour on crowd speed was not significant",NO
665,movement,"crowd average walking speed (m/s), estimated marginal means","music vs no sound; fan vs no sound; music vs fan (Scheffe post-hoc); extreme conditions",means_sd,"total estimated marginal mean = 1.11 m/s; music vs no sound p = 0.046; fan vs no sound p = 0.003; music vs fan p = 0.000; lowest (music, no odour) to highest (fan, odour) difference about 0.34 m/s",n=235 speed samples,"Section 3.2 / Fig. 8","the estimated marginal mean of the total average speed was 1.11 m/s",NO
665,movement,"average speed per 3 m x 3 m grid cell (m/s)","grid cells near vs far from sound source, by condition",means_sd,"music: G13 = 0.96 m/s vs G12 = 0.77 m/s; fan sound highest = 1.59 m/s at G24 and G25; fan sound with odour about 1.4 m/s near sources",n=235 speed samples,"Section 3.2 / Fig. 9","their average speeds were 0.96 m/s and 0.77 m/s, respectively",NO
665,staying,"crowd duration time in study area (s)","sound condition main effect (no sound vs music vs fan sound)",test_stat,"Sound: Type III SS=145726.998, df=2, MS=72863.499, F=26.879, Sig.=.000; Corrected model F=11.809, df=5","duration samples n=138 (23, 24, 20 without odour; 24, 26, 21 with odour)","Table 4 (Multi-factor ANOVA of average duration time)","music significantly increased crowd duration time (p = 0.003 < 0.05) by about 30 s",NO
665,staying,"crowd duration time (s)","with vs without bakery odour (main effect)",test_stat,"Odour: Type III SS=11332.820, df=1, MS=11332.820, F=4.181, Sig.=.043","n=138 duration samples (67 without odour, 71 with odour)","Table 4","the duration time of the crowd with odour was significantly longer than that without odour",YES
665,staying,"crowd duration time (s)","sound x odour interaction",test_stat,"Sound * Odour: Type III SS=1049.275, df=2, MS=524.638, F=.194, Sig.=.824",n=138 duration samples,"Table 4","the interaction between sound and odour did not affect crowd duration time",NO
665,staying,"crowd duration time (s), estimated marginal means","music vs no sound; fan vs no sound; odour vs no odour; extreme conditions",means_sd,"total estimated marginal mean = 127.71 s; music +about 30 s (p = 0.003); fan sound -about 40 s (p = 0.001); odour +about 20 s (p = 0.043); shortest (fan, no odour) to longest (music, odour) difference about 100 s",n=138 duration samples,"Section 3.3 / Fig. 10","Fan sound significantly decreased crowd duration time (p = 0.001 < 0.01) by about 40 s",NO
665,space-use,"crowd path: ordinate value y at path/grid-line intersections","repeated-measures ANOVA, sound x odour",test_stat,"y * Sound: Wilks lambda=.880, F=1.901, hypothesis df=14.000, error df=404.000, Sig.=.025; y * Odour: Wilks lambda=.900, F=3.189, df=7.000, 202.000, Sig.=.003; y * Sound * Odour: Wilks lambda=.811, F=3.181, df=14.000, 404.000, Sig.=.000","path samples n=235 (38, 38, 39, 40, 42, 38)","Table 2","the interaction effect between the sound and odour conditions was significant (p = 0.000 < 0.01)",NO
