no,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
760,space-use,공간 이용 동기 분포(체류형 vs 단순 통과),소음(지하차도 환기구 등)이 심한 역사도시공간 이용자의 자기보고 방문 동기,percent,12% working near this space; 12% living around this space; 4% meeting friends; 17% exercising; 31% recreation and spending leisure time; 1% eating; 2% shopping; 21% just passing the space,"N=129 interviewees (Cochran d=.1, 무작위표집, 30분 이상 체류 이용자)",Analysis of research results 절 본문,21% share of passing the space ... indicates lack of attractiveness due to the high amount of annoying noises,NO
760,social,자발적·사회적 활동 발생 정도(행태관찰),소음 심한 지점(환기구·Melli Bank·Taleghani St.) vs 소음원에서 먼 Karim Khani citadel 앞 공간,none,수치 미보고 — 방향성 서술만 제시,행태관찰 = 평일 1일 오전·정오·야간 각 20분 3회,Analysis of research results 및 Case study 절,the rate of voluntary and social activities has greatly reduced in practice,NO
760,other,음환경 지각·선호 비율(내러티브 인터뷰),자연음 vs 인간음 / 정온 vs 활기 선호,percent,69% perceive noises such as underpass fans' noise more than any others; 59% preferred natural Sounds to human; 76% preferred tranquility; 11% preferred the development of a vibrant space,N=129,ABSTRACT (FINDINGS),59% of the interviewees have preferred natural Sounds to human and 76% preferred tranquility,NO
761,staying,Overall soundscape preference OPR (5점 척도),Length of stay 차원 점수 증가(<30min / 30min-1h / 1-3h / >3h),regression,"Coefficient = 0.053, Sig. (2-tailed) = 0.009**",No. of obs = 2034; (1/df) Deviance = 0.828; AIC = 2.652 (GLM),Table 5,Length of stay positively influenced OPR significantly,NO
761,staying,개별음 지각빈도 PO (5점 척도),Length of stay 차원 점수 증가,regression,Birds (0.132); Broadcast music (0.156); Automobile (-0.149); Motorbike (-0.068) — p<0.001 항목만 제시,N=2034,Table 6,Length of stay was linked positively to the PO of birds and broadcast music,NO
761,social,Overall perceived loudness OPL 및 annoyance OPA,Companion and Type of recreational use 차원 점수 증가(동반자 많고 활동참여형),regression,"OPL Coefficient = -0.033, p = 0.045*; OPA Coefficient = -0.074, p = 0.001**",No. of obs = 2034 (OPL Deviance 0.563 / AIC 2.266; OPA Deviance 1.014 / AIC 2.854),Table 5,Companion and Type of recreational use had negative influences on loudness (OPL) and annoyance (OPA),NO
761,social,개별 인공음 PO·PL·PR,Companion and Type of recreational use 차원 점수 증가,regression,"PO surrounding speech (-0.151), playing children (-0.255), train (-0.055), diabolo (0.042); PL surrounding speech (-0.096), playing children (-0.095); PR playing children (-0.102)",N=2034; p<0.001 항목만 제시. 본문에는 automobile PO도 음의 영향으로 기술,Table 6 (PDF 표 배열상 automobile 계수의 열 귀속 불명확),Companion and Type of recreational use significantly affected 8 perception parameters only evidenced with artificial sounds,NO
761,other,개별음 선호도 PR 평균±표준오차 (5점 척도),자연음 vs 인공음,means_sd,Birds PR = 4.08 ± 0.02; water PR = 3.87 ± 0.05; leaves rustling PR = 3.76 ± 0.02; instruments PR = 3.70 ± 0.12; ducks PR = 3.47 ± 0.06; square dancing PR = 2.55 ± 0.03; automobiles PR = 2.20 ± 0.03; construction PR = 1.65 ± 0.04,"N=2034 전체. ± 값은 SD 아닌 standard error, 음원별 응답 n 미제시",3.1절 본문 + Figure 2,There was a significantly higher positive PR for natural sounds (except dogs) than for artificial sounds,NO
762,reverse-acoustic,지각된 Technological sounds 양(전문가 주석),"봉쇄 69일 경과(Phase 1→3, 옥외 인간활동·교통 변화)",correlation,S = 26751; rho = -0.285; p = 0.045*,50 soundscape recordings over 69 days (annotation experts N=12),Table 4,the significant decrease in Technological sounds ... compensated by the increase in Human sounds,YES
762,reverse-acoustic,지각된 Human sounds 양(목소리·보행 등),봉쇄 69일 경과,correlation,"S = 15342; rho = 0.263; p = 0.065; 하위범주 Voice rho = 0.16, p = 0.25 n.s.; People rho = 0.35, p = 0.013*",50 recordings / 69 days,Table 4 + RESULTS 항목 3,Human activity increased at the site during the studied period ... slight increase in sounds from humans,YES
