no,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
461,movement,"Walking speed on 1.8 km outdoor urban route (m/s), whole-route average","Traffic noise vs control (no sound) vs forest birdsong through headphones, between-subjects",means_sd,"traffic noise mean = 1.65 m/s SD = 0.11; control mean = 1.58 m/s SD = 0.13; forest birdsong mean = 1.53 m/s SD = 0.12","N = 83; forest birdsong n = 31 (17M/14F); traffic noise n = 26 (14M/12F); control n = 26 (17M/9F)","Section 3.1 Analysis of Walking Speed (body text)","faster walking speed under the traffic noise condition (mean = 1.65 m/s, SD = 0.11)",YES
461,movement,"Walking speed - between-subjects main effect of acoustic condition (three-way mixed ANOVA)","Traffic noise vs birdsong vs control, Bonferroni post hoc",test_stat,"F2,80 = 7.759, p < 0.001, eta2 = 0.162; post hoc traffic vs birdsong p = < 0.001; traffic vs control p = 0.085; control vs birdsong p = 0.337","N = 83 (df 2, 80)","Section 3.1, ANOVA results","statistically significant between-subjects main effect of the condition (F2, 80 = 7.759, p < 0.001)",YES
461,movement,"Walking speed per route section (m/s), 7 sections x 2 walk directions","3 acoustic conditions across sections 1-7 in both directions",means_sd,"Direction 1 section 1: birdsong 1.56 (0.13), traffic 1.68 (0.12), control 1.63 (0.15); section 7: birdsong 1.50 (0.12), traffic 1.61 (0.13), control 1.54 (0.15); Direction 2 section 7: birdsong 1.49 (0.13), traffic 1.63 (0.12), control 1.54 (0.13)","N = 83 (31/26/26), repeated over 7 sections",Table 2,"The average walking speeds (m/s) in specific sections of the route for the two experimental conditions",YES
461,other,"Walk experience ratings on 7-point Likert scale","birdsong vs traffic noise vs control (one-way ANOVA, Tukey post hoc)",means_sd,"I liked the route: birdsong 6.29 (0.82), traffic 5.65 (1.02), control 6.20 (0.57), F2,80 = 4.705 p < 0.05 eta2 = 0.11; It was a pleasant time: 5.71 (1.13), 4.27 (1.22), 5.23 (1.11), F2,80 = 11.273 p < 0.001 eta2 = 0.22; I was fine: 6.42 (0.62), 5.38 (1.39), 6.12 (0.86), F2,80 = 3.986 p < 0.001 eta2 = 0.17","N = 83 (31/26/26)","Table 3 and Section 3.2","Participants listening to forest birdsong liked the route more than those listening to traffic noise",YES
461,other,"Headphone-sound annoyance rating; route-section (greenery) effect on walking speed","traffic noise vs birdsong (t-test); sections 1+2 vs 3+4 vs 5+6+7",test_stat,"sounds bothered me: birdsong 2.45 (2.10) vs traffic 4.81 (2.26), t = 4.077, p < 0.001, Cohen d = 1.15; section main effect F1.593,127.480 = 79.550, p < 0.001, eta2 = 0.499, epsilon = 0.797; three-way interaction F3.253,130.103 = 2.942, p < 0.05, eta2 = 0.069","t-test n = 31 vs 26; ANOVA N = 83","Section 3.2 and Section 3.1","The traffic noise bothered participants more than forest birdsong sounds (t = 4.077, p < 0.001, Cohen d = 1.15)",YES
461,other,"Acoustic exposure levels of stimuli and of the route","playback stimuli level and ambient route traffic-noise level",means_sd,"mean sound pressure level crowded city noise 53 dBA, forest birdsong 56 dBA; route traffic noise sections 1-4 about Lday = 55-60 dBA, sections 5-7 about Lday = 50-55 dBA","N = 83; levels identical across participants","Section 2.3 Stimulus Material","The mean sound pressure level was: crowded city noise 53 dBA, forest birdsong 56 dBA",NO
480,social,"Number of talkers (average number of people talking more than 2 s per 5 min)","Pearson correlation with crowd density, by street / commercial function / season",correlation,"R = 0.853 (Kuan Alley Di), 0.720 (Sp), 0.797 (Pe), 0.846 (Central Avenue summer), 0.848 (Central Avenue winter); all Sig = 0.000 (p < 0.01)","n per correlation not stated; 18-21 video groups per survey zone; talker-SPL crosstab total = 475 measurements; questionnaire N = 5153",Table 4,"when crowd density increased, the number of talkers increased in both Kuan Alley and Central Avenue",NO
480,reverse-acoustic,"A-weighted equivalent sound pressure level (dBA)","Pearson correlation with crowd density, by street / function / season",correlation,"R = 0.798 (Di), 0.723 (Sp), 0.788 (Pe), 0.710 (Central Avenue summer), 0.685 (Central Avenue winter); all Sig = 0.000; regression R2 = 0.527 Kuan Alley and 0.470 Central Avenue (p < 0.001)","n per correlation not stated; questionnaire N = 5153",Table 4 and Section 3.1.2,"when crowd density increased, the level of sound pressure also increased in Kuan Alley and Central Avenue",NO
480,other,"Acoustic comfort (5-point scale)","Pearson correlation with crowd density, by street / function / season",correlation,"R = -0.647 (Di), -0.669 (Sp), -0.659 (Pe), 0.697 (Central Avenue summer), 0.658 (Central Avenue winter); all Sig = 0.000; R2 = 0.448 Kuan Alley and 0.485 Central Avenue","questionnaire N = 5153 (Kuan Alley 3030, Central Avenue 2123)","Table 4 and Section 3.1.3","when crowd density increased, the value of acoustic comfort decreased in Kuan Alley",NO
480,reverse-acoustic,"Sound pressure level as a function of conversation behaviour (number of talkers)","Pearson correlation between number of talkers and SPL",correlation,"R = 0.721 (Di), 0.541 (Sp), 0.680 (Pe), 0.670 (Central Avenue summer), 0.606 (Central Avenue winter); all Sig = 0.000; linear regression R2 range 0.292-0.520 (p < 0.001)","n per correlation not stated; crosstab total = 475 measurements","Table 5 and Section 4","the results demonstrated a positive association between the number of talkers and the sound pressure level",NO
