no,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
1174,movement,"Bikeshare cycling volume (pickups + drop-offs per 500 m hexagonal grid)","LightGBM model comparison: BE only vs BE+streetscape vs BE+soundscape vs full model",regression,"R-squared 0.3988 (BE); 0.4590 (BE+streetscape); 0.4867 (BE+soundscape); 0.5970 (BE+streetscape+soundscape)","1,086 grids; 2,790,546 trips","Table 2","Model 4, which additionally included soundscape features, explained more variance in cycling behavior, with R2 increasing from 0.3988 to 0.5970",NO
1174,movement,"Relative feature importance for bikeshare usage","soundscape feature group vs visual streetscape feature group",percent,"Soundscape 24.69 %; visual perceptions 19.77 %","1,086 grids","Sec 4.2 / Fig. 7","Soundscape features account for 24.69 % of the explanatory power, compared to 19.77 % from visual perceptions",NO
1174,movement,"Cycling volume - SHAP nonlinear threshold values","natural sound / boring / lively-safe-beautiful levels",none,"natural sound SHAP turns negative beyond 0.52 (Sec 5.1 states below 0.5); boring threshold 0.21; lively-safe-beautiful turn positive at approx 0.7","1,086 grids","Sec 4.2 / Fig. 8; Sec 5.1","natural sound benefits cycling only when its intensity is below 0.5; beyond this threshold, its effect reverses",NO
1174,other,"METHOD VALIDATION (not a behaviour outcome): predicted soundscape indicator vs field-measured sound intensity","predicted value vs sound level meter ground truth",correlation,"r = 0.575","72 sample points; field audit Nov-Dec 2024","Sec 4.1.1 / Fig. 4","It revealed a moderately high correlation (r = 0.575) between the predicted and ground truth",YES
1174,other,"Generalized soundscape quality vs generalized streetscape quality","Spearman correlation between visual and auditory perceptual quality",none,"coefficient not reported (described only as moderately significant)","1,086 grids","Sec 4.1.2","A Spearman correlation test further revealed a moderately significant relationship between visual and auditory perceptual quality",NO
1177,movement,"Walking comfort (WC), median Likert per listening point","sound comfort (SC) vs walking comfort, morning 9 a.m.",correlation,"rho = 0.40, p = 0.033, 95% CI [0.05; 0.67]","58 soundwalk participants; listening points A1-E5; correlation n not stated","Fig. 12 / Sec 4.4.4","SC-WC (rho = 0.40, p = 0.033, 95% CI [0.05; 0.67])",YES
1177,movement,"Walking comfort (WC), median Likert per listening point","sound comfort (SC) vs walking comfort, evening 8 p.m.",correlation,"rho = 0.29, p = 0.125, 95% CI [-0.07; 0.62]","58 soundwalk participants; correlation n not stated","Fig. 12 / Sec 4.4.4","the SC-WC correlation weakened and did not reach statistical significance (rho = 0.29, p = 0.125)",YES
1177,movement,"Walking comfort (WC), median Likert per listening point","visual ambiance (VA) vs walking comfort, morning and evening",correlation,"morning rho = 0.68, p < 0.001, 95% CI [0.45; 0.84]; evening rho = 0.50, p = 0.006, 95% CI [0.20; 0.78]","58 soundwalk participants; correlation n not stated","Fig. 12 / Sec 4.4.4","VA-WC (rho = 0.68, p < 0.001, 95% CI [0.45; 0.84])",YES
1177,other,"Sound comfort (SC) vs visual ambiance (VA)","audio-visual perceptual association, morning and evening",correlation,"morning rho = 0.58, p = 0.001, 95% CI [0.27; 0.80]; evening rho = 0.57, p = 0.001, 95% CI [0.33; 0.74]","58 soundwalk participants","Fig. 12 / Sec 4.4.4 and Abstract","moderate to strong correlations were observed between sound comfort and visual perception (rho = 0.58, p = 0.001)",YES
1177,other,"Perceived sound comfort (z-scored)","multivariate OLS entering five environmental predictors simultaneously",regression,"LAeq beta = -0.18 (SE 0.14, t = -1.27, p = 0.208); vegetation cover +0.25 (0.14, +1.78, 0.081); motor-vehicle density -0.23 (0.15, -1.53, 0.131); cleanliness -0.28 (0.13, -2.13, 0.038); SVF -0.04 (0.12, -0.31, 0.755)","N = 58 (standardized variables)","Table A5 (Appendix G) / Fig. 13","Only cleanliness remained significantly independently correlated with comfort (beta = -0.28, CI [-0.54, -0.02])",YES
1177,movement,"Dominant walking response per sound category (7-day sound diaries)","mechanical/traffic/construction noise vs natural sounds, silence, call to prayer",none,"no numeric effect size reported; modal responses only (avoidance or acceleration for traffic/construction; slowing or discomfort for market sounds); modal = at least 50% of coded occurrences","n = 50 diary participants","Fig. A3 (Appendix E) / Sec 4.3.2","construction and traffic noises are associated with a significant impact on walking, most often leading to avoidance or acceleration",NO
1177,other,"Measured LAeq vs median sound and walking comfort ratings by listening point","zone and time-of-day comparison (9 a.m. vs 8 p.m.)",none,"OC2 point B2 = 71.6 dB; LC1 point C3 sound levels exceeding 66 dB with favourable comfort ratings","5 zones, listening points A1-E5, two time slots","Fig. 11 / Sec 4.4.3","point C3 stands out with favorable comfort ratings despite sound levels exceeding 66 dB",NO
1178,movement,"Crowd walking speed (m/s)","sound condition main effect (no played sound vs music vs fan sound)",test_stat,"F = 6.642, df = 2, p = .001 (Type III SS 10.476; MS 5.238)","335 paths (58/60/56 without odour; 51/56/54 with odour); error df not reported","Table 3","the effects of the sound and odour factors on the average crowd speed were significant (p < 0.05)",YES
1178,movement,"Crowd walking speed (m/s)","sewage odour main effect (with vs without odour)",test_stat,"F = 4.058, df = 1, p = .045 (Type III SS 3.200)","335 paths (174 without odour; 161 with odour)","Table 3","the speed with the odour was significantly higher than that without it",YES
1178,movement,"Crowd walking speed (m/s)","sound x odour interaction",test_stat,"F = .054, df = 2, p = .948 (Type III SS .085)","335 paths","Table 3","the interaction between the sound and odour factors was not (p = 0.948 > 0.05)",YES
1178,movement,"Crowd walking speed (m/s), estimated marginal means","music vs no sound vs fan sound, crossed with odour",means_sd,"total estimated marginal mean 1.34 m/s; largest between-condition difference approximately 0.17 m/s (no odour + music lowest; odour + fan sound highest)","335 paths; no SD reported","Sec 3.2 / Fig. 5","The estimated marginal mean of the total average crowd speed was 1.34 m/s",NO
