origin,file,pages,match,branch,id,doi,action,library_name
user,10.1057@udi.2010.20.pdf,15,doi=True exact=True title_head=100%,CT,CT0108,10.1057/udi.2010.20,moved,2010_UrbaDesi_Marušić_Analysis of patterns of spatial occupancy in urban open space using be.pdf
user,alsaifalis2020.pdf,23,doi=True exact=True title_head=100%,DB,772,10.1080/14790718.2020.1766048,moved,2021_InteJour_Alsaif & Starks_The sacred and the banal linguistic landscapes inside the Grand Mosque.pdf
user,calleja2017.pdf,7,doi=True exact=True title_head=100%,CT,CT0142,10.1016/j.ufug.2017.08.018,moved,2017_UrbaFore_Calleja et al_Acoustic and economic valuation of soundscape An application to the ‘R.pdf
user,haddak2017.pdf,2,manual(title found in text),OAS,OAS0222,10.1093/eurpub/ckx187.280,moved,2017_EuroJour_Haddak & Mahdjoub_Effects of road-traffic nuisance on the active travel modes. What are.pdf
user,kou2020.pdf,20,doi=True exact=True title_head=100%,CT,CT0190,10.1177/2399808320965243,moved,2020_EnviAnd_Kou et al_The effects of activity-related contexts on individual sound exposures.pdf
user,kuldna2020.pdf,8,doi=True exact=True title_head=100%,CT,CT0223,10.1016/j.jort.2019.100227,moved,2019_JORT_Kuldna et al_Perceived importance of and satisfaction with nature observation activ.pdf
user,lam2005.pdf,19,doi=True exact=True title_head=100%,OAS,OAS0001,10.1007/s10661-005-8039-2,moved,2005_EnviMoni_Lam et al_Environmental Quality Of Urban Parks And Open Spaces In Hong Kong.pdf
user,liu2013.pdf,9,doi=True exact=True title_head=100%,CT,CT0034,10.1016/j.landurbplan.2013.03.008,moved,2013_LUP_Liu et al_Spatiotemporal variability of soundscapes in a multiple functional urb.pdf
user,yang2005.pdf,19,doi=True exact=True title_head=100%,CT,CT0017,10.1016/j.apacoust.2004.07.011,moved,2004_ApplAcoust_Yang & Kang_Acoustic comfort evaluation in urban open public spaces.pdf
user,yang2022.pdf,11,no_match(best 89 doi=False title=18%),,,,left_in_place,
user,zeng2019.pdf,8,doi=True exact=True title_head=100%,OAS,OAS0005,10.1016/j.physleta.2018.12.019,moved,2018_PhysLett_Zeng et al_Experimental study on the effect of background music on pedestrian mov.pdf
auto,0351_2016_Long-term transportation noise annoyance is associated with.pdf,9,doi=True exact=True title_head=100%,DB,351,10.1016/j.envint.2016.03.011,already_in_library,2016_EnvInt_Foraster et al_Long-term transportation noise annoyance is associated with subsequent.pdf
auto,0623_2020_How did the 'state of emergency' declaration in Japan due to.pdf,10,doi=True exact=True title_head=100%,DB,623,10.14324/111.444/ucloe.000009,already_in_library,2020_UclOpen_Sakagami_How did the ‘state of emergency’ declaration in Japan due to the COVID.pdf
auto,0639_2020_Noise at the time of COVID 19 The impact in some areas in Ro.pdf,17,doi=True exact=True title_head=100%,DB,639,10.1515/noise-2020-0021,already_in_library,2020_NoiseMapp_Pagès et al_Noise at the time of COVID 19 The impact in some areas in Rome and Mil.pdf
auto,0692_2021_Assessing Inequalities in Wellbeing at a Neighbourhood Scale.pdf,17,doi=True exact=True title_head=100%,DB,692,10.3389/fsoc.2021.729453,already_in_library,2021_FronIn_Cinderby et al_Assessing Inequalities in Wellbeing at a Neighbourhood Scale in Low-Mi.pdf
auto,0823_2022_Enhancing the park experience by giving visitors control ove.pdf,18,doi=False exact=True title_head=100%,DB,823,10.3233/ais-220621,already_in_library,2022_JourOf_De Pessemier et al_Enhancing the park experience by giving visitors control over the park.pdf
auto,0888_2023_A Perceptual Structure of Soundscapes in Urban Public Spaces.pdf,14,doi=True exact=True title_head=100%,DB,888,10.3390/ijerph20042932,already_in_library,2023_IJERPH_Cao & Kang_A Perceptual Structure of Soundscapes in Urban Public Spaces Using Sem.pdf
auto,0932_2023_Negotiating the city during the dark season a study of recre.pdf,17,doi=True exact=True title_head=100%,DB,932,10.1080/17450101.2023.2226357,already_in_library,2023_Mobi_Lepoša et al_Negotiating the city during the dark season a study of recreational ru.pdf
auto,1092_2025_A sensor-based study on the environmental determinants of sl.pdf,37,doi=False exact=True title_head=100%,DB,1092,10.1016/j.envres.2025.120874,already_in_library,2025_EnviRese_Montanari et al_A sensor-based study on the environmental determinants of sleep in old.pdf
auto,1182_2025_The role of neighbourhood-level sociodemographic and socioec.pdf,11,doi=True exact=True title_head=100%,DB,1182,10.1183/23120541.00132-2025,already_in_library,2025_ErjOpen_Vásquez-Andrade et al_The role of neighbourhood-level sociodemographic and socioeconomic cha.pdf
auto,1203_2026_Assessing the relationship between space-time behaviours and.pdf,34,doi=False exact=True title_head=100%,DB,1203,10.1038/s41370-025-00765-3,already_in_library,2026_JourOf_Fancello et al_Assessing the relationship between space-time behaviours and personal.pdf
