origin,file,pages,match,branch,id,doi,action,library_name
user,1-s2.0-S0160412025006270-main.pdf,13,doi=True exact=True title_head=100%,DB,1175,10.1016/j.envint.2025.109876,moved,2025_EnvInt_Sdona et al_The “things” we adjust for in greenness epidemiology relationships bet.pdf
user,1-s2.0-S0965856426002314-main.pdf,16,doi=True exact=True title_head=100%,DB,1250,10.1016/j.tra.2026.105090,moved,"2026_TransRes_Salomo_Less parking, more life Promises and challenges of urban parking-space.pdf"
user,1-s2.0-S0966692326001511-main.pdf,16,doi=True exact=True title_head=100%,DB,1315,10.1016/j.jtrangeo.2026.104697,moved,2026_JTransGeogr_Horak et al_Walking barriers in older age A comparison of perceived and measured c.pdf
user,1-s2.0-S1369847825000129-main.pdf,18,doi=True exact=True title_head=100%,DB,1190,10.1016/j.trf.2025.01.012,moved,2025_TransRes_Wozniak et al_What’s your type A taxonomy of pedestrian route choice behaviour in ci.pdf
user,2_raksts_27.pdf,7,doi=True exact=True title_head=100%,DB,1169,10.22616/j.landarchart.2025.27.02,moved,2025_LandArch_Troshkina et al_Sound studies of the architectural environment urban soundscape and so.pdf
user,ID_2025-228.pdf,13,doi=True exact=True title_head=100%,DB,1191,10.32738/jeppm-2025-228,moved,2026_JourOf_Sun et al_A Perceived Acoustic Landscape Model for Zhangjiajie National Forest P.pdf
user,land-15-00811.pdf,26,doi=True exact=True title_head=100%,DB,1218,10.3390/land15050811,moved,2026_Land_Huang et al_Dynamic Perspectives Spatiotemporal Characteristics and Time-Segmented.pdf
user,land-15-00919-v2.pdf,19,doi=True exact=True title_head=100%,DB,1275,10.3390/land15060919,moved,2026_Land_Guedes et al_Public Perception of Urban Forests in Portugal.pdf
user,s12662-026-01101-z.pdf,9,doi=True exact=True title_head=100%,DB,1305,10.1007/s12662-026-01101-z,moved,2026_GermJour_Reuß & Huth_Transforming urban landscapes characteristics of urban green spaces fo.pdf
user,s41598-026-61794-y_reference.pdf,27,doi=True exact=True title_head=100%,DB,1200,10.1038/s41598-026-61794-y,moved,"2026_SciRep_Sackey et al_Assessing noise levels at social events within Kumasi Metropolis, Ghan.pdf"
user,s43621-024-00605-8.pdf,18,doi=True exact=True title_head=100%,DB,1002,10.1007/s43621-024-00605-8,moved,2024_Sustainability_Farooq et al_Comparison of current and proposed travel modes for students consideri.pdf
user,yang2022.pdf,11,no_match(best 89 doi=False title=18%),,,,left_in_place,
auto,0351_2016_Long-term transportation noise annoyance is associated with.pdf,9,doi=True exact=True title_head=100%,DB,351,10.1016/j.envint.2016.03.011,already_in_library,2016_EnvInt_Foraster et al_Long-term transportation noise annoyance is associated with subsequent.pdf
auto,0623_2020_How did the 'state of emergency' declaration in Japan due to.pdf,10,doi=True exact=True title_head=100%,DB,623,10.14324/111.444/ucloe.000009,already_in_library,2020_UclOpen_Sakagami_How did the ‘state of emergency’ declaration in Japan due to the COVID.pdf
auto,0639_2020_Noise at the time of COVID 19 The impact in some areas in Ro.pdf,17,doi=True exact=True title_head=100%,DB,639,10.1515/noise-2020-0021,already_in_library,2020_NoiseMapp_Pagès et al_Noise at the time of COVID 19 The impact in some areas in Rome and Mil.pdf
auto,0692_2021_Assessing Inequalities in Wellbeing at a Neighbourhood Scale.pdf,17,doi=True exact=True title_head=100%,DB,692,10.3389/fsoc.2021.729453,already_in_library,2021_FronIn_Cinderby et al_Assessing Inequalities in Wellbeing at a Neighbourhood Scale in Low-Mi.pdf
auto,0823_2022_Enhancing the park experience by giving visitors control ove.pdf,18,doi=False exact=True title_head=100%,DB,823,10.3233/ais-220621,already_in_library,2022_JourOf_De Pessemier et al_Enhancing the park experience by giving visitors control over the park.pdf
auto,0888_2023_A Perceptual Structure of Soundscapes in Urban Public Spaces.pdf,14,doi=True exact=True title_head=100%,DB,888,10.3390/ijerph20042932,already_in_library,2023_IJERPH_Cao & Kang_A Perceptual Structure of Soundscapes in Urban Public Spaces Using Sem.pdf
auto,0932_2023_Negotiating the city during the dark season a study of recre.pdf,17,doi=True exact=True title_head=100%,DB,932,10.1080/17450101.2023.2226357,already_in_library,2023_Mobi_Lepoša et al_Negotiating the city during the dark season a study of recreational ru.pdf
auto,1092_2025_A sensor-based study on the environmental determinants of sl.pdf,37,doi=False exact=True title_head=100%,DB,1092,10.1016/j.envres.2025.120874,already_in_library,2025_EnviRese_Montanari et al_A sensor-based study on the environmental determinants of sleep in old.pdf
auto,1182_2025_The role of neighbourhood-level sociodemographic and socioec.pdf,11,doi=True exact=True title_head=100%,DB,1182,10.1183/23120541.00132-2025,already_in_library,2025_ErjOpen_Vásquez-Andrade et al_The role of neighbourhood-level sociodemographic and socioeconomic cha.pdf
auto,1203_2026_Assessing the relationship between space-time behaviours and.pdf,34,doi=False exact=True title_head=100%,DB,1203,10.1038/s41370-025-00765-3,already_in_library,2026_JourOf_Fancello et al_Assessing the relationship between space-time behaviours and personal.pdf
