origin,file,pages,match,branch,id,doi,action,library_name
user,yang2022.pdf,11,no_match(best 89 doi=False title=18%),,,,left_in_place,
auto,0094_2009_Effects of noise pollution on traffic policemen.pdf,8,doi=False exact=True title_head=100%,DB,94,,copied,2009_InteJour_Omidvari & Nouri_Effects of noise pollution on traffic policemen.pdf
auto,0351_2016_Long-term transportation noise annoyance is associated with.pdf,9,doi=True exact=True title_head=100%,DB,351,10.1016/j.envint.2016.03.011,already_in_library,2016_EnvInt_Foraster et al_Long-term transportation noise annoyance is associated with subsequent.pdf
auto,0623_2020_How did the 'state of emergency' declaration in Japan due to.pdf,10,doi=True exact=True title_head=100%,DB,623,10.14324/111.444/ucloe.000009,already_in_library,2020_UclOpen_Sakagami_How did the ‘state of emergency’ declaration in Japan due to the COVID.pdf
auto,0639_2020_Noise at the time of COVID 19 The impact in some areas in Ro.pdf,17,doi=True exact=True title_head=100%,DB,639,10.1515/noise-2020-0021,already_in_library,2020_NoiseMapp_Pagès et al_Noise at the time of COVID 19 The impact in some areas in Rome and Mil.pdf
auto,0692_2021_Assessing Inequalities in Wellbeing at a Neighbourhood Scale.pdf,17,doi=True exact=True title_head=100%,DB,692,10.3389/fsoc.2021.729453,already_in_library,2021_FronIn_Cinderby et al_Assessing Inequalities in Wellbeing at a Neighbourhood Scale in Low-Mi.pdf
auto,0823_2022_Enhancing the park experience by giving visitors control ove.pdf,18,doi=False exact=True title_head=100%,DB,823,10.3233/ais-220621,already_in_library,2022_JourOf_De Pessemier et al_Enhancing the park experience by giving visitors control over the park.pdf
auto,0888_2023_A Perceptual Structure of Soundscapes in Urban Public Spaces.pdf,14,doi=True exact=True title_head=100%,DB,888,10.3390/ijerph20042932,already_in_library,2023_IJERPH_Cao & Kang_A Perceptual Structure of Soundscapes in Urban Public Spaces Using Sem.pdf
auto,0932_2023_Negotiating the city during the dark season a study of recre.pdf,17,doi=True exact=True title_head=100%,DB,932,10.1080/17450101.2023.2226357,already_in_library,2023_Mobi_Lepoša et al_Negotiating the city during the dark season a study of recreational ru.pdf
auto,1092_2025_A sensor-based study on the environmental determinants of sl.pdf,37,doi=False exact=True title_head=100%,DB,1092,10.1016/j.envres.2025.120874,already_in_library,2025_EnviRese_Montanari et al_A sensor-based study on the environmental determinants of sleep in old.pdf
auto,1182_2025_The role of neighbourhood-level sociodemographic and socioec.pdf,11,doi=True exact=True title_head=100%,DB,1182,10.1183/23120541.00132-2025,already_in_library,2025_ErjOpen_Vásquez-Andrade et al_The role of neighbourhood-level sociodemographic and socioeconomic cha.pdf
auto,1203_2026_Assessing the relationship between space-time behaviours and.pdf,34,doi=False exact=True title_head=100%,DB,1203,10.1038/s41370-025-00765-3,already_in_library,2026_JourOf_Fancello et al_Assessing the relationship between space-time behaviours and personal.pdf
auto,OAS0040_2016_Noise Pollution and Its Impact on Human Health and Social Be.pdf,11,doi=False exact=True title_head=100%,OAS,OAS0040,,copied,2016_CiviAnd_Preethi et al_Noise Pollution and Its Impact on Human Health and Social Behavior usi.pdf
