origin,file,pages,match,branch,id,doi,action,library_name
user,1-s2.0-S0003682X14000802-main.pdf,11,doi=True exact=True title_head=100%,DB,268,10.1016/j.apacoust.2014.03.016,moved,2014_ApplAcoust_Bruce & Davies_The effects of expectation on the perception of soundscapes.pdf
user,1-s2.0-S0003682X20306745-main.pdf,10,doi=True exact=True title_head=100%,DB,713,10.1016/j.apacoust.2020.107570,moved,2021_ApplAcoust_Ma et al_Effects of environmental sound quality on soundscape preference in a p.pdf
user,1-s2.0-S0003682X22005035-main.pdf,10,doi=True exact=True title_head=100%,DB,819,10.1016/j.apacoust.2022.109129,moved,2022_ApplAcoust_Guo et al_Does social perception data express the spatio-temporal pattern of per.pdf
user,1-s2.0-S0013935118303025-main.pdf,11,doi=True exact=True title_head=100%,DB,484,10.1016/j.envres.2018.06.004,moved,2018_EnviRese_Dzhambov et al_Multiple pathways link urban green- and bluespace to mental health in.pdf
user,1-s2.0-S0013935123008794-main.pdf,13,doi=True exact=True title_head=100%,DB,927,10.1016/j.envres.2023.116087,moved,"2023_EnviRese_Dzhambov et al_Joint associations and pathways from greenspace, traffic-related air p.pdf"
user,1-s2.0-S0048969716327486-main.pdf,10,doi=True exact=True title_head=100%,DB,387,10.1016/j.scitotenv.2016.12.061,moved,2017_STOTEN_Kogan et al_A comprehensive methodology for the multidimensional and synchronic da.pdf
user,1-s2.0-S0160412017312400-main.pdf,9,doi=True exact=True title_head=100%,DB,433,10.1016/j.envint.2017.09.009,moved,2017_EnvInt_Dzhambov et al_Residential road traffic noise and general mental health in youth The.pdf
user,1-s2.0-S1618866717305368-main.pdf,8,doi=True exact=True title_head=100%,DB,509,10.1016/j.ufug.2017.11.015,moved,2018_UrbaFore_Watts_Tranquillity Trails for urban areas.pdf
user,10.1121@1.1639333.pdf,11,doi=True exact=True title_head=100%,DB,55,10.1121/1.1639333,moved,2004_JASA_Öhrström_Longitudinal surveys on effects of changes in road traffic noise—annoy.pdf
user,CEA32-14827916.pdf,11,doi=True exact=True title_head=100%,DB,957,10.13189/cea.2023.110132,moved,2023_CiviEngi_Syamsiyah et al_The Difference of the Surrounding Environment's Function Complexity on.pdf
user,Daytime_Population_Tracking_for_Planning_and_Pollu.pdf,18,doi=False exact=True title_head=100%,DB,68,,moved,2007_RoadTran_Collins & Greaves_Daytime population tracking for planning and pollution exposure assess.pdf
user,Ecosystem_services_enhanced_th.pdf,15,doi=True exact=True title_head=100%,DB,709,10.1002/pan3.10156,moved,2021_PeopAnd_Levenhagen et al_Ecosystem services enhanced through soundscape management link people.pdf
user,Unintended-impacts-of-the-Open-Streets-program-on-noise-complaints-in-New-York-City.pdf,8,doi=True exact=True title_head=100%,DB,972,10.1016/j.envres.2023.115501,moved,2023_EnviRese_Benavides et al_Unintended impacts of the Open Streets program on noise complaints in.pdf
user,balfour2002.pdf,9,doi=False exact=True title_head=100%,DB,46,10.1093/aje/155.6.507,moved,2002_AmerJour_Balfour_Neighborhood Environment and Loss of Physical Function in Older Adults.pdf
user,bell2016.pdf,21,doi=True exact=True title_head=100%,DB,444,10.1080/14649365.2016.1228116,moved,2017_SociAmp_Bell_The role of fluctuating soundscapes in shaping the emotional geographi.pdf
user,belojevic1997.pdf,6,doi=False exact=True title_head=100%,DB,29,10.1016/s0160-4120(97)00008-1,moved,1997_EnvInt_Belojevic_Subjective reactions to traffic noise with regard to some personality.pdf
user,bunds2019.pdf,13,doi=True exact=True title_head=100%,DB,562,10.1016/j.trf.2019.08.006,moved,2019_TransRes_Bunds et al_Recreational walking decisions in urban away-from-home environments Th.pdf
user,calvo2012.pdf,5,doi=True exact=True title_head=100%,DB,186,10.1016/j.trd.2012.06.002,moved,2012_TransRes_Calvo et al_Influence of vehicle driving parameters on the noise caused by passeng.pdf
user,desouza2020.pdf,11,doi=True exact=True title_head=100%,DB,615,10.1016/j.apacoust.2019.107023,moved,2020_ApplAcoust_de Souza et al_Evaluation of noise pollution related to human perception in a univers.pdf
user,dzhambov2014.pdf,35,doi=True exact=False title_head=89%,DB,251,10.1016/j.ufug.2014.05.006,moved,"2014_UrbaFore_Dzhambov & Dimitrova_Elderly visitors of an urban park, health anxiety and individual aware.pdf"
user,dzhambov2018 (1).pdf,13,doi=True exact=True title_head=100%,DB,512,10.1016/j.envres.2017.09.015,moved,2018_EnviRese_Dzhambov et al_Urban residential greenspace and mental health in youth Different appr.pdf
user,dzhambov2018.pdf,8,doi=True exact=True title_head=100%,DB,489,10.1016/j.envres.2018.06.031,moved,2018_EnviRese_Dzhambov et al_Pathways linking residential noise and air pollution to mental ill-hea.pdf
user,geraghty2016.pdf,11,doi=False exact=True title_head=100%,DB,378,10.1061/(asce)te.1943-5436.0000843,moved,2016_JourOf_Geraghty & O’Mahony_Urban Noise Analysis Using Multinomial Logistic Regression.pdf
user,honold2012.pdf,13,doi=True exact=True title_head=100%,DB,188,10.1016/j.jenvp.2012.05.002,moved,2012_JEnvPsych_Honold et al_Multiple environmental burdens and neighborhood-related health of city.pdf
user,hu2020.pdf,14,doi=True exact=True title_head=100%,DB,624,10.1016/j.tmp.2020.100666,moved,2020_TourMana_Hu et al_How do Chinese tourists perceive tranquillity during the tour.pdf
