uid,source,final_verdict,orig_id
7,db-search,FINAL_INCLUDE,7
14,db-search,FINAL_INCLUDE,14
53,db-search,FINAL_INCLUDE,53
71,db-search,FINAL_INCLUDE,71
121,db-search,FINAL_INCLUDE,121
123,db-search,FINAL_INCLUDE,123
234,db-search,FINAL_EXCLUDE,234
271,db-search,FINAL_INCLUDE,271
323,db-search,FINAL_INCLUDE,323
341,db-search,FINAL_INCLUDE,341
372,db-search,FINAL_INCLUDE,372
379,db-search,FINAL_INCLUDE,379
406,db-search,FINAL_INCLUDE,406
435,db-search,FINAL_INCLUDE,435
461,db-search,FINAL_INCLUDE,461
469,db-search,SENS_ONLY,469
480,db-search,FINAL_INCLUDE,480
481,db-search,FINAL_INCLUDE,481
492,db-search,FINAL_INCLUDE,492
494,db-search,FINAL_INCLUDE,494
520,db-search,FINAL_INCLUDE,520
532,db-search,FINAL_INCLUDE,532
539,db-search,FINAL_INCLUDE,539
560,db-search,FINAL_INCLUDE,560
566,db-search,FINAL_INCLUDE,566
602,db-search,FINAL_INCLUDE,602
613,db-search,FINAL_EXCLUDE,613
617,db-search,FINAL_INCLUDE,617
648,db-search,FINAL_EXCLUDE,648
661,db-search,FINAL_INCLUDE,661
665,db-search,FINAL_INCLUDE,665
666,db-search,FINAL_INCLUDE,666
694,db-search,FINAL_INCLUDE,694
724,db-search,FINAL_INCLUDE,724
725,db-search,FINAL_INCLUDE,725
726,db-search,FINAL_INCLUDE,726
729,db-search,FINAL_EXCLUDE,729
732,db-search,FINAL_INCLUDE,732
746,db-search,FINAL_INCLUDE,746
760,db-search,FINAL_INCLUDE,760
761,db-search,FINAL_INCLUDE,761
762,db-search,FINAL_INCLUDE,762
770,db-search,FINAL_EXCLUDE,770
779,db-search,FINAL_EXCLUDE,779
791,db-search,FINAL_INCLUDE,791
799,db-search,FINAL_INCLUDE,799
804,db-search,FINAL_INCLUDE,804
811,db-search,FINAL_EXCLUDE,811
818,db-search,SENS_ONLY,818
821,db-search,FINAL_INCLUDE,821
833,db-search,FINAL_INCLUDE,833
858,db-search,FINAL_INCLUDE,858
862,db-search,FINAL_INCLUDE,862
880,db-search,FINAL_EXCLUDE,880
883,db-search,FINAL_INCLUDE,883
901,db-search,FINAL_INCLUDE,901
909,db-search,FINAL_EXCLUDE,909
912,db-search,FINAL_EXCLUDE,912
930,db-search,FINAL_INCLUDE,930
931,db-search,FINAL_INCLUDE,931
941,db-search,FINAL_INCLUDE,941
948,db-search,FINAL_EXCLUDE,948
951,db-search,FINAL_INCLUDE,951
964,db-search,FINAL_INCLUDE,964
971,db-search,FINAL_INCLUDE,971
979,db-search,FINAL_INCLUDE,979
980,db-search,FINAL_INCLUDE,980
981,db-search,FINAL_EXCLUDE,981
984,db-search,FINAL_INCLUDE,984
999,db-search,FINAL_INCLUDE,999
1005,db-search,FINAL_INCLUDE,1005
1009,db-search,SENS_ONLY,1009
1018,db-search,FINAL_INCLUDE,1018
1020,db-search,FINAL_INCLUDE,1020
1053,db-search,FINAL_INCLUDE,1053
1069,db-search,FINAL_INCLUDE,1069
1076,db-search,FINAL_INCLUDE,1076
1110,db-search,FINAL_INCLUDE,1110
1115,db-search,FINAL_INCLUDE,1115
1121,db-search,FINAL_INCLUDE,1121
1122,db-search,FINAL_INCLUDE,1122
1138,db-search,FINAL_INCLUDE,1138
1141,db-search,FINAL_EXCLUDE,1141
1149,db-search,FINAL_INCLUDE,1149
1154,db-search,FINAL_EXCLUDE,1154
1174,db-search,FINAL_INCLUDE,1174
1177,db-search,FINAL_INCLUDE,1177
1178,db-search,FINAL_INCLUDE,1178
1202,db-search,FINAL_INCLUDE,1202
1211,db-search,FINAL_INCLUDE,1211
1221,db-search,FINAL_INCLUDE,1221
1226,db-search,FINAL_INCLUDE,1226
1232,db-search,FINAL_INCLUDE,1232
1242,db-search,FINAL_INCLUDE,1242
1243,db-search,FINAL_EXCLUDE,1243
1253,db-search,FINAL_EXCLUDE,1253
1258,db-search,FINAL_INCLUDE,1258
1272,db-search,FINAL_INCLUDE,1272
1280,db-search,FINAL_INCLUDE,1280
1306,db-search,FINAL_INCLUDE,1306
CT0001,citation-tracking,FINAL_INCLUDE,1
CT0007,citation-tracking,FINAL_INCLUDE,7
CT0010,citation-tracking,FINAL_EXCLUDE,10
CT0018,citation-tracking,FINAL_EXCLUDE,18
CT0021,citation-tracking,FINAL_EXCLUDE,21
CT0025,citation-tracking,FINAL_INCLUDE,25
CT0040,citation-tracking,FINAL_EXCLUDE,40
CT0063,citation-tracking,FINAL_EXCLUDE,63
CT0080,citation-tracking,FINAL_EXCLUDE,80
CT0090,citation-tracking,FINAL_INCLUDE,90
CT0106,citation-tracking,FINAL_EXCLUDE,106
CT0123,citation-tracking,FINAL_EXCLUDE,123
CT0126,citation-tracking,FINAL_INCLUDE,126
CT0128,citation-tracking,FINAL_EXCLUDE,128
CT0137,citation-tracking,FINAL_INCLUDE,137
CT0166,citation-tracking,FINAL_INCLUDE,166
CT0175,citation-tracking,FINAL_INCLUDE,175
CT0182,citation-tracking,FINAL_EXCLUDE,182
CT0184,citation-tracking,FINAL_INCLUDE,184
CT0208,citation-tracking,FINAL_EXCLUDE,208
CT0209,citation-tracking,FINAL_EXCLUDE,209
CT0212,citation-tracking,FINAL_EXCLUDE,212
CT0219,citation-tracking,FINAL_EXCLUDE,219
CT0220,citation-tracking,FINAL_INCLUDE,220
CT0233,citation-tracking,FINAL_EXCLUDE,233
CT0241,citation-tracking,FINAL_EXCLUDE,241
CT0265,citation-tracking,FINAL_EXCLUDE,265
CT0267,citation-tracking,FINAL_EXCLUDE,267
CT0268,citation-tracking,FINAL_EXCLUDE,268
CT0269,citation-tracking,FINAL_EXCLUDE,269
CT0273,citation-tracking,FINAL_EXCLUDE,273
CT0274,citation-tracking,FINAL_EXCLUDE,274
CT0285,citation-tracking,FINAL_EXCLUDE,285
CT0296,citation-tracking,FINAL_EXCLUDE,296
CT0309,citation-tracking,FINAL_EXCLUDE,309
CT0320,citation-tracking,FINAL_EXCLUDE,320
CT0322,citation-tracking,FINAL_INCLUDE,322
CT0327,citation-tracking,FINAL_EXCLUDE,327
CT0328,citation-tracking,FINAL_EXCLUDE,328
CT0335,citation-tracking,FINAL_INCLUDE,335
CT0342,citation-tracking,FINAL_EXCLUDE,342
CT0343,citation-tracking,FINAL_EXCLUDE,343
CT0348,citation-tracking,FINAL_INCLUDE,348
CT0356,citation-tracking,SENS_ONLY,356
CT0365,citation-tracking,FINAL_EXCLUDE,365
CT0371,citation-tracking,FINAL_INCLUDE,371
CT0378,citation-tracking,FINAL_EXCLUDE,378
CT0382,citation-tracking,FINAL_EXCLUDE,382
CT0390,citation-tracking,FINAL_EXCLUDE,390
CT0395,citation-tracking,FINAL_EXCLUDE,395
CT0410,citation-tracking,FINAL_EXCLUDE,410
CT0413,citation-tracking,FINAL_EXCLUDE,413
CT0414,citation-tracking,FINAL_INCLUDE,414
CT0428,citation-tracking,FINAL_EXCLUDE,428
OAS0125,openalex-supplementary,FINAL_EXCLUDE,125
OAS0154,openalex-supplementary,FINAL_EXCLUDE,154
OAS0157,openalex-supplementary,FINAL_INCLUDE,157
OAS0198,openalex-supplementary,FINAL_INCLUDE,198
OAS0220,openalex-supplementary,FINAL_EXCLUDE,220
